Formula,Complexified_formula,Latex_formula,Latex_complexified_formula
"+,+,*,x_0,x_3,*,x_1,x_4,*,x_2,x_5","[+, +, *, x_0, x_3, *, x_1, x_4, *, x_2, **3, x_1]",x_{0} x_{3} + x_{1} x_{4} + x_{2} x_{5},x_{0} x_{3} + x_{1}^{3} x_{2} + x_{1} x_{4}
"*,x_0,x_1","[**3, log, log, x_3]",x_{0} x_{1},\log{\left(\left|{\log{\left(\left|{x_{3}}\right| \right)}}\right| \right)}^{3}
"*,x_0,x_1","[**3, *, x_3, max, x_3, x_0]",x_{0} x_{1},"\left(x_{3} \max\left(x_{0}, x_{3}\right)\right)^{3}"
"*,*,*,x_4,x_0,x_1,-,/,1,x_3,/,1,x_2","[*, *, max, x_0, x_1, x_1, -, /, 1.0, x_3, /, 1.0, x_2]",x_{0} x_{1} x_{4} \cdot \left(\frac{1.0}{x_{3}} - \frac{1.0}{x_{2}}\right),"x_{1} \cdot \left(\frac{1.0}{x_{3}} - \frac{1.0}{x_{2}}\right) \max\left(x_{0}, x_{1}\right)"
"*,*,x_0,x_1,x_2","[*, /, x_4, +, x_3, x_5, x_2]",x_{0} x_{1} x_{2},\frac{x_{2} x_{4}}{x_{3} + x_{5}}
"/,+,*,x_0,x_2,*,x_1,x_3,+,x_0,x_1","[/, +, *, x_0, x_2, *, x_1, x_3, -, log, 4.27, 4.22]",\frac{x_{0} x_{2} + x_{1} x_{3}}{x_{0} + x_{1}},\frac{x_{0} x_{2} + x_{1} x_{3}}{\left(-1\right) 4.22 + \log{\left(4.27 \right)}}
"/,x_0,x_1","[/, **3, -, x_3, x_0, x_1]",\frac{x_{0}}{x_{1}},\frac{\left(- x_{0} + x_{3}\right)^{3}}{x_{1}}
"/,1,+,/,1,x_0,/,x_2,x_1","[max, max, *, x_2, -4.26, +, x_1, -4.05, *, x_2, x_5]",\frac{1.0}{\frac{x_{2}}{x_{1}} + \frac{1.0}{x_{0}}},"\max\left(x_{2} \left(-4.26\right), x_{2} x_{5}, x_{1} - 4.05\right)"
"/,x_0,x_1","[max, -2.44, x_4]",\frac{x_{0}}{x_{1}},"\max\left(-2.44, x_{4}\right)"
"/,*,*,x_0,x_1,x_2,x_3","[*, max, x_1, x_4, /, -, x_0, x_0, +, x_0, x_5]",\frac{x_{0} x_{1} x_{2}}{x_{3}},"\frac{\left(- x_{0} + x_{0}\right) \max\left(x_{1}, x_{4}\right)}{x_{0} + x_{5}}"
"/,x_2,-,1,/,x_1,x_0","[/, x_2, -, 1.0, /, x_4, x_0]",\frac{x_{2}}{1.0 - \frac{x_{1}}{x_{0}}},\frac{x_{2}}{1.0 - \frac{x_{4}}{x_{0}}}
"*,/,x_1,*,2,3.14,x_0","[max, +, x_1, x_1, +, /, x_4, x_0, x_3]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14},"\max\left(x_{1} + x_{1}, x_{3} + \frac{x_{4}}{x_{0}}\right)"
"*,*,/,3,2,x_0,x_1","[*, *, /, 3.0, 2.0, x_0, max, max, x_4, x_5, +, x_2, x_4]",\frac{3.0 x_{0} x_{1}}{2.0},"\frac{3.0 x_{0} \max\left(x_{4}, x_{5}, x_{2} + x_{4}\right)}{2.0}"
"/,*,*,x_0,x_3,x_1,x_2","[/, *, *, x_0, x_3, -, x_2, -1.51, x_2]",\frac{x_{0} x_{1} x_{3}}{x_{2}},\frac{x_{0} x_{3} \left(x_{2} - -1.51\right)}{x_{2}}
"/,*,*,x_0,x_1,x_2,x_3","[/, *, *, 1.91, x_1, x_2, x_3]",\frac{x_{0} x_{1} x_{2}}{x_{3}},\frac{1.91 x_{1} x_{2}}{x_{3}}
"*,*,x_0,x_2,x_1","[*, *, x_0, x_2, +, -, x_3, x_0, +, x_3, x_2]",x_{0} x_{1} x_{2},x_{0} x_{2} \left(- x_{0} + x_{2} + x_{3} + x_{3}\right)
"*,*,*,x_0,x_1,x_2,log,/,x_4,x_3","[*, *, *, x_5, x_3, x_2, log, /, x_4, x_3]",x_{0} x_{1} x_{2} \log{\left(\left|{\frac{x_{4}}{x_{3}}}\right| \right)},x_{2} x_{3} x_{5} \log{\left(\left|{\frac{x_{4}}{x_{3}}}\right| \right)}
"/,*,/,x_0,x_1,1,+,1,x_2","[/, *, /, x_5, x_0, 1.0, +, 1.0, x_2]",x_{0} \cdot \frac{1}{x_{1}} \cdot 1.0 \cdot \frac{1}{x_{2} + 1.0},x_{5} \cdot \frac{1}{x_{0}} \cdot 1.0 \cdot \frac{1}{x_{2} + 1.0}
"/,*,x_0,x_1,*,*,2,3.14,x_2","[-, +, x_5, max, x_0, x_2, log, *, x_2, x_4]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14 x_{2}},"x_{5} - \log{\left(\left|{x_{2} x_{4}}\right| \right)} + \max\left(x_{0}, x_{2}\right)"
"/,*,*,x_0,x_1,x_2,2","[/, *, *, x_0, x_4, x_2, 2.0]",\frac{x_{0} x_{1} x_{2}}{2.0},\frac{x_{0} x_{2} x_{4}}{2.0}
"/,*,*,x_0,x_1,x_2,*,2,x_3","[/, *, *, x_2, x_1, x_2, *, 2.0, x_3]",\frac{x_{0} x_{1} x_{2}}{2.0 x_{3}},\frac{x_{1} x_{2} x_{2}}{2.0 x_{3}}
"/,*,x_0,x_1,*,*,4,3.14,x_2","[/, *, x_0, x_1, *, *, 4.0, 0.57, x_2]",\frac{x_{0} x_{1}}{3.14 \cdot 4.0 x_{2}},\frac{x_{0} x_{1}}{0.57 \cdot 4.0 x_{2}}
"*,*,x_0,+,1,x_2,x_1","[*, *, x_0, +, 1.0, x_2, -, -, x_1, x_0, log, x_4]",x_{0} x_{1} \left(x_{2} + 1.0\right),x_{0} \left(x_{2} + 1.0\right) \left(- x_{0} + x_{1} - \log{\left(\left|{x_{4}}\right| \right)}\right)
"/,x_0,*,2,+,1,x_1","[/, **3, x_3, *, 2.0, +, 1.0, x_1]",\frac{x_{0}}{2.0 \left(x_{1} + 1.0\right)},\frac{x_{3}^{3}}{2.0 \left(x_{1} + 1.0\right)}
"/,*,*,2,x_0,x_1,/,x_2,*,2,3.14","[/, *, *, 2.0, x_0, x_1, /, **3, x_1, *, 2.0, 3.14]",\frac{2.0 x_{0} x_{1}}{x_{2} \cdot \frac{1}{2.0 \cdot 3.14}},\frac{2.0 x_{0} x_{1}}{x_{1}^{3} \cdot \frac{1}{2.0 \cdot 3.14}}
"*,x_0,/,x_1,*,2,3.14","[*, /, -, 4.63, x_3, +, x_5, x_0, /, x_1, *, 2.0, 3.14]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14},\frac{x_{1} \cdot \left(4.63 - x_{3}\right)}{2.0 \cdot 3.14 \left(x_{0} + x_{5}\right)}
"/,*,*,2,3.14,x_0,*,x_1,x_2","[/, *, *, x_4, 3.14, x_0, *, x_1, x_2]",2.0 \cdot 3.14 x_{0} \cdot \frac{1}{x_{1} x_{2}},x_{4} \cdot 3.14 x_{0} \cdot \frac{1}{x_{1} x_{2}}
