parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[+, cos, *, x_10, +, x_12, x_12, x_12]",(cos((x_10*(x_12+x_12)))+x_12),29.24659538269043,0.0814785733819007,200,not_specified,feynman,boston,x_{12} + \cos{\left(x_{10} \left(x_{12} + x_{12}\right) \right)}
"[+, +, *, *, *, x_0, x_7, x_7, x_2, x_9, x_12]",(((((x_0*x_7)*x_7)*x_2)+x_9)+x_12),46.96690368652344,0.0765286386013031,200,not_specified,feynman,boston,x_{0} x_{2} x_{7} x_{7} + x_{12} + x_{9}
"[+, +, x_12, cos, *, x_2, *, x_9, x_7, x_12]",((x_12+cos((x_2*(x_9*x_7))))+x_12),39.50717926025391,0.0779308751225471,200,not_specified,feynman,boston,x_{12} + x_{12} + \cos{\left(x_{2} x_{7} x_{9} \right)}
"[+, +, cos, x_5, x_10, x_12]",((cos(x_5)+x_10)+x_12),26.228376388549805,0.0845466405153274,200,not_specified,feynman,boston,x_{10} + x_{12} + \cos{\left(x_{5} \right)}
"[+, x_10, +, x_12, +, cos, *, x_9, x_12, x_12]",(x_10+(x_12+(cos((x_9*x_12))+x_12))),31.901203155517575,0.0808849409222602,200,not_specified,feynman,boston,x_{10} + x_{12} + x_{12} + \cos{\left(x_{12} x_{9} \right)}
"[*, *, x_0, *, x_10, *, x_0, *, x_2, x_7, x_2]",((x_0*(x_10*(x_0*(x_2*x_7))))*x_2),84.42557525634766,0.0747266635298729,200,not_specified,feynman,boston,x_{0} x_{0} x_{10} x_{2} x_{2} x_{7}
"[+, +, cos, *, x_0, *, x_2, x_7, x_12, x_10]",((cos((x_0*(x_2*x_7)))+x_12)+x_10),38.9313850402832,0.0780231431126594,200,not_specified,feynman,boston,x_{10} + x_{12} + \cos{\left(x_{0} x_{2} x_{7} \right)}
"[+, log, +, cos, -, x_11, x_11, x_12, +, +, cos, x_5, x_10, x_12]",(log(abs((cos((x_11-x_11))+x_12)))+((cos(x_5)+x_10)+x_12)),21.908655166625977,0.0913437828421592,200,not_specified,feynman,boston,x_{10} + x_{12} + \log{\left(\left|{x_{12} + \cos{\left(- x_{11} + x_{11} \right)}}\right| \right)} + \cos{\left(x_{5} \right)}
"[*, *, x_0, *, x_10, *, *, x_12, x_7, x_9, x_2]",((x_0*(x_10*((x_12*x_7)*x_9)))*x_2),74.44742584228516,0.0755694434046745,200,not_specified,feynman,boston,x_{0} x_{10} x_{12} x_{2} x_{7} x_{9}
"[+, *, *, *, x_0, x_7, x_7, x_2, x_12]",((((x_0*x_7)*x_7)*x_2)+x_12),47.1343994140625,0.0757826119661331,200,not_specified,feynman,boston,x_{0} x_{2} x_{7} x_{7} + x_{12}
"[*, *, *, x_0, *, x_10, *, x_11, x_0, x_11, x_2]",(((x_0*(x_10*(x_11*x_0)))*x_11)*x_2),86.32347869873047,0.074583999812603,200,not_specified,feynman,boston,x_{0} x_{0} x_{10} x_{11} x_{11} x_{2}
"[+, +, cos, x_10, cos, x_5, x_12]",((cos(x_10)+cos(x_5))+x_12),23.02560043334961,0.0857555270195007,200,not_specified,feynman,boston,x_{12} + \cos{\left(x_{10} \right)} + \cos{\left(x_{5} \right)}
"[+, cos, +, *, x_12, *, x_7, x_9, x_10, x_12]",(cos(((x_12*(x_7*x_9))+x_10))+x_12),32.176639556884766,0.0782311931252479,200,not_specified,feynman,boston,x_{12} + \cos{\left(x_{10} + x_{12} x_{7} x_{9} \right)}
"[+, +, cos, *, *, x_0, x_7, x_9, x_12, x_10]",((cos(((x_0*x_7)*x_9))+x_12)+x_10),40.62433624267578,0.0775416791439056,200,not_specified,feynman,boston,x_{10} + x_{12} + \cos{\left(x_{0} x_{7} x_{9} \right)}
"[+, *, cos, *, x_0, *, x_10, x_7, x_12, x_12]",((cos((x_0*(x_10*x_7)))*x_12)+x_12),40.72382354736328,0.076777882874012,200,not_specified,feynman,boston,x_{12} \cos{\left(x_{0} x_{10} x_{7} \right)} + x_{12}
"[+, cos, *, x_7, *, x_10, *, x_10, x_0, x_12]",(cos((x_7*(x_10*(x_10*x_0))))+x_12),40.573577880859375,0.0777414813637733,200,not_specified,feynman,boston,x_{12} + \cos{\left(x_{0} x_{10} x_{10} x_{7} \right)}
"[+, log, +, cos, *, x_9, x_10, x_12, +, +, cos, x_10, cos, x_5, x_12]",(log(abs((cos((x_9*x_10))+x_12)))+((cos(x_10)+cos(x_5))+x_12)),20.664705276489254,0.0923289656639099,200,not_specified,feynman,boston,x_{12} + \log{\left(\left|{x_{12} + \cos{\left(x_{10} x_{9} \right)}}\right| \right)} + \cos{\left(x_{10} \right)} + \cos{\left(x_{5} \right)}
"[+, +, cos, x_10, -, cos, x_5, cos, *, x_9, x_10, x_12]",((cos(x_10)+(cos(x_5)-cos((x_9*x_10))))+x_12),22.953561782836918,0.0901174992322921,200,not_specified,feynman,boston,x_{12} + \cos{\left(x_{10} \right)} + \cos{\left(x_{5} \right)} - \cos{\left(x_{10} x_{9} \right)}
"[*, *, x_0, *, x_0, *, x_7, *, x_11, x_0, x_2]",((x_0*(x_0*(x_7*(x_11*x_0))))*x_2),86.92738342285156,0.0743451416492462,200,not_specified,feynman,boston,x_{0} x_{0} x_{0} x_{11} x_{2} x_{7}
"[+, log, +, cos, *, x_9, x_12, x_12, +, +, cos, x_10, cos, x_5, x_12]",(log(abs((cos((x_9*x_12))+x_12)))+((cos(x_10)+cos(x_5))+x_12)),20.898542404174805,0.0918255522847175,200,not_specified,feynman,boston,x_{12} + \log{\left(\left|{x_{12} + \cos{\left(x_{12} x_{9} \right)}}\right| \right)} + \cos{\left(x_{10} \right)} + \cos{\left(x_{5} \right)}
