parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
[x_6],x_6,75.39015197753906,0.0397217124700546,200,not_specified,neuralnet-counts-elastic_model,boston,x_{6}
[x_12],x_12,39.54974365234375,0.0426592864096164,200,not_specified,neuralnet-counts-elastic_model,boston,x_{12}
[x_4],x_4,72.19047546386719,0.0403773672878742,200,not_specified,neuralnet-counts-elastic_model,boston,x_{4}
"[exp, exp, exp, u-, exp, x_12]",exp(exp(exp(-(exp(x_12))))),30.94961166381836,0.04640693962574,200,not_specified,neuralnet-counts-elastic_model,boston,e^{e^{e^{- e^{x_{12}}}}}
"[exp, exp, exp, exp, -, -3.62, x_12]",exp(exp(exp(exp((-3.62-x_12))))),29.93026351928711,0.0472577661275863,200,not_specified,neuralnet-counts-elastic_model,boston,e^{e^{e^{e^{- x_{12} - 3.62}}}}
"[+, exp, cos, sqrt, u-, x_5, x_12]",(exp(cos(sqrt(abs(-(x_5)))))+x_12),26.51930427551269,0.0565594658255577,200,not_specified,neuralnet-counts-elastic_model,boston,x_{12} + e^{\cos{\left(\sqrt{\left|{x_{5}}\right|} \right)}}
"[exp, u-, exp, +, x_12, exp, x_12]",exp(-(exp((x_12+exp(x_12))))),35.55134582519531,0.0458079166710376,200,not_specified,neuralnet-counts-elastic_model,boston,e^{- e^{x_{12} + e^{x_{12}}}}
"[+, exp, exp, u-, x_12, sqrt, -, *, exp, x_6, exp, x_5, x_6]",(exp(exp(-(x_12)))+sqrt(abs(((exp(x_6)*exp(x_5))-x_6)))),27.505624771118164,0.0555587001144886,200,not_specified,neuralnet-counts-elastic_model,boston,e^{e^{- x_{12}}} + \sqrt{\left|{x_{6} - e^{x_{5}} e^{x_{6}}}\right|}
"[+, x_6, +, exp, exp, u-, x_12, cos, exp, sin, x_12]",(x_6+(exp(exp(-(x_12)))+cos(exp(sin(x_12))))),28.832603454589844,0.0495022051036357,200,not_specified,neuralnet-counts-elastic_model,boston,x_{6} + e^{e^{- x_{12}}} + \cos{\left(e^{\sin{\left(x_{12} \right)}} \right)}
"[+, sqrt, -, *, cos, x_9, exp, x_5, exp, x_12, +, cos, exp, sin, x_12, -, cos, cos, x_10, x_12]",(sqrt(abs(((cos(x_9)*exp(x_5))-exp(x_12))))+(cos(exp(sin(x_12)))+(cos(cos(x_10))-x_12))),21.2791805267334,0.0800288170576095,200,not_specified,neuralnet-counts-elastic_model,boston,- x_{12} + \cos{\left(e^{\sin{\left(x_{12} \right)}} \right)} + \cos{\left(\cos{\left(x_{10} \right)} \right)} + \sqrt{\left|{e^{x_{12}} - e^{x_{5}} \cos{\left(x_{9} \right)}}\right|}
"[+, x_6, +, exp, exp, u-, x_12, -, cos, +, x_12, x_12, x_12]",(x_6+(exp(exp(-(x_12)))+(cos((x_12+x_12))-x_12))),28.333688735961918,0.0554152987897396,200,not_specified,neuralnet-counts-elastic_model,boston,- x_{12} + x_{6} + e^{e^{- x_{12}}} + \cos{\left(x_{12} + x_{12} \right)}
"[+, exp, exp, exp, u-, 0.68, +, exp, exp, u-, x_12, -, *, cos, x_4, exp, x_5, x_12]",(exp(exp(exp(-(0.68))))+(exp(exp(-(x_12)))+((cos(x_4)*exp(x_5))-x_12))),26.07174301147461,0.0583787932991981,200,not_specified,neuralnet-counts-elastic_model,boston,- x_{12} + e^{x_{5}} \cos{\left(x_{4} \right)} + e^{e^{- x_{12}}} + e^{e^{e^{-0.68}}}
"[+, u-, x_12, sqrt, -, *, cos, x_8, exp, x_5, x_8]",(-(x_12)+sqrt(abs(((cos(x_8)*exp(x_5))-x_8)))),22.966110229492188,0.060404036194086,200,not_specified,neuralnet-counts-elastic_model,boston,- x_{12} + \sqrt{\left|{x_{8} - e^{x_{5}} \cos{\left(x_{8} \right)}}\right|}
"[+, exp, u-, exp, log, x_5, x_12]",(exp(-(exp(log(abs(x_5)))))+x_12),28.64946174621582,0.0503987669944763,200,not_specified,neuralnet-counts-elastic_model,boston,x_{12} + e^{- e^{\log{\left(\left|{x_{5}}\right| \right)}}}
"[+, exp, u-, x_12, sqrt, -, *, cos, x_8, exp, x_5, **2, **3, x_8]",(exp(-(x_12))+sqrt(abs(((cos(x_8)*exp(x_5))-((x_8)**3)**2)))),22.436664581298828,0.0741150230169296,200,not_specified,neuralnet-counts-elastic_model,boston,\sqrt{\left|{\left(x_{8}^{3}\right)^{2} - e^{x_{5}} \cos{\left(x_{8} \right)}}\right|} + e^{- x_{12}}
"[+, x_6, +, exp, exp, u-, x_12, exp, exp, u-, x_12]",(x_6+(exp(exp(-(x_12)))+exp(exp(-(x_12))))),32.133636474609375,0.0462028346955776,200,not_specified,neuralnet-counts-elastic_model,boston,x_{6} + e^{e^{- x_{12}}} + e^{e^{- x_{12}}}
"[*, **, -1.48, x_5, +, exp, u-, exp, x_12, u-, x_12]",((-1.48**x_5)*(exp(-(exp(x_12)))+-(x_12))),23.34244537353516,0.1156269684433937,201,not_specified,neuralnet-counts-elastic_model,boston,- 1.48^{x_{5}} \left(- x_{12} + e^{- e^{x_{12}}}\right)
"[*, **, -1.48, x_5, exp, u-, exp, exp, x_12]",((-1.48**x_5)*exp(-(exp(exp(x_12))))),27.35951232910156,0.1102837398648262,201,not_specified,neuralnet-counts-elastic_model,boston,- 1.48^{x_{5}} e^{- e^{e^{x_{12}}}}
"[*, **, -1.48, x_5, u-, exp, u-, exp, x_12]",((-1.48**x_5)*-(exp(-(exp(x_12))))),24.77763557434082,0.1113964468240737,201,not_specified,neuralnet-counts-elastic_model,boston,- 1.48^{x_{5}} \left(- e^{- e^{x_{12}}}\right)
"[u-, +, exp, sin, log, x_5, u-, x_12]",-((exp(sin(log(abs(x_5))))+-(x_12))),29.1024169921875,0.1062866598367691,201,not_specified,neuralnet-counts-elastic_model,boston,x_{12} - e^{\sin{\left(\log{\left(\left|{x_{5}}\right| \right)} \right)}}
"[-, u-, exp, exp, u-, x_12, u-, u-, exp, u-, x_3]",(-(exp(exp(-(x_12))))--(-(exp(-(x_3))))),33.39805221557617,0.0989664644002914,201,not_specified,neuralnet-counts-elastic_model,boston,- e^{e^{- x_{12}}} - e^{- x_{3}}
"[-, log, exp, exp, u-, x_12, u-, u-, exp, u-, x_3]",(log(abs(exp(exp(-(x_12)))))--(-(exp(-(x_3))))),30.162790298461918,0.0999982878565788,201,not_specified,neuralnet-counts-elastic_model,boston,\log{\left(e^{e^{- \operatorname{re}{\left(x_{12}\right)}} \cos{\left(\operatorname{im}{\left(x_{12}\right)} \right)}} \right)} - e^{- x_{3}}
"[u-, +, exp, u-, x_12, exp, u-, exp, x_3]",-((exp(-(x_12))+exp(-(exp(x_3))))),32.92179107666016,0.0994773656129837,201,not_specified,neuralnet-counts-elastic_model,boston,- e^{- e^{x_{3}}} - e^{- x_{12}}
"[u-, -, u-, exp, u-, x_12, **, -1.48, x_5]",-((-(exp(-(x_12)))-(-1.48**x_5))),24.69217109680176,0.1115912273526191,201,not_specified,neuralnet-counts-elastic_model,boston,- 1.48^{x_{5}} + e^{- x_{12}}
"[*, **, -1.48, x_5, +, exp, u-, exp, x_3, u-, x_12]",((-1.48**x_5)*(exp(-(exp(x_3)))+-(x_12))),24.177488327026367,0.1141672730445861,201,not_specified,neuralnet-counts-elastic_model,boston,- 1.48^{x_{5}} \left(- x_{12} + e^{- e^{x_{3}}}\right)
