parsable_tree,readable_tree,accuracy,interpretability,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,latex_tree
[x_12],x_12,39.54974365234375,-78.9000015258789,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{12}
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,-78.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{12} - x_{5}
"[*, x_12, +, 2.31, x_5]",(x_12*(2.31+x_5)),29.43780899047852,-77.0999984741211,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{12} \left(x_{5} + 2.31\right)
"[-, +, x_12, *, x_12, +, x_5, 1.18, x_5]",((x_12+(x_12*(x_5+1.18)))-x_5),24.576663970947266,-75.30000305175781,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{12} \left(x_{5} + 1.18\right) + x_{12} - x_{5}
"[+, *, x_12, +, +, max, x_5, x_4, 2.31, x_5, x_10]","((x_12*((max(x_5,x_4)+2.31)+x_5))+x_10)",22.44077682495117,-66.5,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,"x_{10} + x_{12} \left(x_{5} + \max\left(x_{4}, x_{5}\right) + 2.31\right)"
"[+, -, -, *, x_12, +, 2.31, x_5, max, x_5, *, x_1, x_4, x_5, x_10]","((((x_12*(2.31+x_5))-max(x_5,(x_1*x_4)))-x_5)+x_10)",22.348848342895508,-64.69999694824219,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,"x_{10} + x_{12} \left(x_{5} + 2.31\right) - x_{5} - \max\left(x_{5}, x_{1} x_{4}\right)"
"[-, *, +, x_10, *, x_12, +, 1.18, 1.18, +, 2.31, max, *, x_3, x_8, x_5, max, x_5, x_12]","(((x_10+(x_12*(1.18+1.18)))*(2.31+max((x_3*x_8),x_5)))-max(x_5,x_12))",20.558198928833008,-59.5,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,"\left(x_{10} + x_{12} \cdot \left(1.18 + 1.18\right)\right) \left(\max\left(x_{5}, x_{3} x_{8}\right) + 2.31\right) - \max\left(x_{12}, x_{5}\right)"
"[+, -, -, *, x_12, +, 2.31, x_5, max, x_5, *, x_12, x_7, x_5, +, 2.31, x_5]","((((x_12*(2.31+x_5))-max(x_5,(x_12*x_7)))-x_5)+(2.31+x_5))",21.06178092956543,-63.79999923706055,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,"x_{12} \left(x_{5} + 2.31\right) - x_{5} + x_{5} - \max\left(x_{5}, x_{12} x_{7}\right) + 2.31"
"[+, -, -, *, x_12, +, 2.31, x_5, 2.31, x_5, x_10]",((((x_12*(2.31+x_5))-2.31)-x_5)+x_10),22.70597267150879,-74.4000015258789,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{10} + x_{12} \left(x_{5} + 2.31\right) - x_{5} - 2.31
[x_12],x_12,39.54974365234375,-78.9000015258789,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{12}
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,-78.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,- x_{12} + x_{5}
"[-, max, -, x_8, x_8, x_5, x_12]","(max((x_8-x_8),x_5)-x_12)",23.76173973083496,-68.30000305175781,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,"- x_{12} + \max\left(x_{5}, - x_{8} + x_{8}\right)"
"[-, max, -, x_8, x_8, -, x_5, x_8, x_12]","(max((x_8-x_8),(x_5-x_8))-x_12)",21.66238594055176,-67.4000015258789,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,"- x_{12} + \max\left(x_{5} - x_{8}, - x_{8} + x_{8}\right)"
"[*, +, x_5, 2.66, x_12]",((x_5+2.66)*x_12),29.1662540435791,-77.0999984741211,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{12} \left(x_{5} + 2.66\right)
"[-, max, log, -, 2.66, x_9, -, x_5, x_10, x_12]","(max(log(abs((2.66-x_9))),(x_5-x_10))-x_12)",20.77786636352539,-58.79999923706055,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,"- x_{12} + \max\left(- x_{10} + x_{5}, \log{\left(\left|{x_{9} - 2.66}\right| \right)}\right)"
"[-, max, -, max, x_12, *, 0.89, x_2, x_12, -, x_5, x_10, x_12]","(max((max(x_12,(0.89*x_2))-x_12),(x_5-x_10))-x_12)",19.726259231567383,-57.70000076293945,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,"- x_{12} + \max\left(- x_{10} + x_{5}, - x_{12} + \max\left(x_{12}, 0.89 x_{2}\right)\right)"
"[-, *, -, -4.33, +, x_8, -, x_3, x_12, x_12, -, +, x_10, x_7, -, x_0, x_0]",(((-4.33-(x_8+(x_3-x_12)))*x_12)-((x_10+x_7)-(x_0-x_0))),25.276103973388672,-71.69999694824219,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{12} \left(- (- x_{12} + x_{3} + x_{8}) - 4.33\right) - \left(x_{10} + x_{7} - \left(- x_{0} + x_{0}\right)\right)
"[*, +, x_5, 2.66, -, 2.66, x_12]",((x_5+2.66)*(2.66-x_12)),29.002870559692383,-76.19999694824219,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,\left(2.66 - x_{12}\right) \left(x_{5} + 2.66\right)
"[*, -, 3.52, +, x_12, x_10, -, x_5, -3.27]",((3.52-(x_12+x_10))*(x_5--3.27)),25.350048065185547,-75.30000305175781,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,\left(3.52 - \left(x_{10} + x_{12}\right)\right) \left(x_{5} - -3.27\right)
[x_12],x_12,39.54974365234375,-78.9000015258789,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{12}
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,-78.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,x_{12} - x_{5}
