parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,-78.0,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} + x_{5},boston
[x_12],x_12,32.10724639892578,-78.9000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,-78.0,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} - x_{5},boston
"[+, *, +, 2.07, x_5, x_12, -, *, x_12, x_9, +, x_3, x_5]",(((2.07+x_5)*x_12)+((x_12*x_9)-(x_3+x_5))),14.35395336151123,-73.5,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} x_{9} + x_{12} \left(x_{5} + 2.07\right) - \left(x_{3} + x_{5}\right),boston
"[*, +, 2.07, x_5, x_12]",((2.07+x_5)*x_12),22.47724914550781,-77.0999984741211,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} \left(x_{5} + 2.07\right),boston
"[-, x_5, *, +, 2.07, x_5, x_12]",(x_5-((2.07+x_5)*x_12)),16.864013671875,-76.19999694824219,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} \left(x_{5} + 2.07\right) + x_{5},boston
"[-, *, +, x_2, x_5, x_12, -, x_5, x_12]",(((x_2+x_5)*x_12)-(x_5-x_12)),16.595670700073242,-75.30000305175781,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} \left(x_{2} + x_{5}\right) - \left(- x_{12} + x_{5}\right),boston
"[+, *, +, 2.07, x_5, x_12, -, -, x_10, x_3, x_5]",(((2.07+x_5)*x_12)+((x_10-x_3)-x_5)),15.749472618103027,-74.4000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} \left(x_{5} + 2.07\right) - x_{3} - x_{5},boston
"[+, +, *, +, 2.07, x_5, x_12, -, *, x_7, 0.04, +, x_3, x_5, +, *, +, x_5, x_12, x_9, -, x_10, x_5]",((((2.07+x_5)*x_12)+((x_7*0.04)-(x_3+x_5)))+(((x_5+x_12)*x_9)+(x_10-x_5))),13.55550479888916,-69.0,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} \left(x_{5} + 2.07\right) - x_{5} + x_{7} \cdot 0.04 + x_{9} \left(x_{12} + x_{5}\right) - \left(x_{3} + x_{5}\right),boston
"[+, +, *, +, 2.07, x_5, x_12, -, *, x_12, x_9, max, x_5, x_12, -, x_12, +, x_3, x_5]","((((2.07+x_5)*x_12)+((x_12*x_9)-max(x_5,x_12)))+(x_12-(x_3+x_5)))",13.286638259887695,-62.900001525878906,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"x_{12} x_{9} + x_{12} \left(x_{5} + 2.07\right) + x_{12} - \left(x_{3} + x_{5}\right) - \max\left(x_{12}, x_{5}\right)",boston
[x_12],x_12,32.10724639892578,-78.9000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,-78.0,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} + x_{5},boston
"[-, x_5, +, x_10, x_12]",(x_5-(x_10+x_12)),23.24850845336914,-77.0999984741211,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{5} - \left(x_{10} + x_{12}\right),boston
