parsable_tree,readable_tree,accuracy,interpretability,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,latex_tree
[x_12],x_12,39.54974365234375,1.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12}
"[-, x_5, +, x_12, x_10]",(x_5-(x_12+x_10)),29.503374099731445,5.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{5} - \left(x_{10} + x_{12}\right)
"[-, +, x_12, x_10, x_5]",((x_12+x_10)-x_5),29.503374099731445,5.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{10} + x_{12} - x_{5}
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,3.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12} - x_{5}
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,3.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,- x_{12} + x_{5}
"[-, +, log, log, 2.31, *, x_12, +, +, x_2, x_5, 1.04, -, x_5, x_12]",((log(abs(log(abs(2.31))))+(x_12*((x_2+x_5)+1.04)))-(x_5-x_12)),23.733266830444336,15.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12} \left(x_{2} + x_{5} + 1.04\right) - \left(- x_{12} + x_{5}\right) + \log{\left(\log{\left(2.31 \right)} \right)}
"[-, +, x_12, *, x_12, +, +, x_6, x_5, 1.18, x_5]",((x_12+(x_12*((x_6+x_5)+1.18)))-x_5),23.73630142211914,11.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12} \left(x_{5} + x_{6} + 1.18\right) + x_{12} - x_{5}
"[-, x_5, *, x_12, +, +, x_6, x_5, 1.18]",(x_5-(x_12*((x_6+x_5)+1.18))),27.14235115051269,9.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,- x_{12} \left(x_{5} + x_{6} + 1.18\right) + x_{5}
"[+, -, **3, -, 2.31, x_12, +, x_12, x_10, -, max, *, +, x_4, x_10, -, x_10, x_6, log, **3, x_5, +, *, x_10, max, x_12, x_5, +, x_1, x_10]","((((2.31-x_12))**3-(x_12+x_10))+(max(((x_4+x_10)*(x_10-x_6)),log(abs((x_5)**3)))-((x_10*max(x_12,x_5))+(x_1+x_10))))",22.473865509033203,30.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,"\left(2.31 - x_{12}\right)^{3} - \left(x_{10} + x_{12}\right) - \left(x_{1} + x_{10} \max\left(x_{12}, x_{5}\right) + x_{10}\right) + \max\left(\left(x_{10} + x_{4}\right) \left(x_{10} - x_{6}\right), \log{\left(\left|{x_{5}^{3}}\right| \right)}\right)"
"[+, -, **3, max, log, x_12, -, 2.31, x_12, *, +, x_12, x_10, +, +, x_6, 2.31, x_5, -, -1.41, +, 4.44, +, x_7, x_10]","(((max(log(abs(x_12)),(2.31-x_12)))**3-((x_12+x_10)*((x_6+2.31)+x_5)))+(-1.41-(4.44+(x_7+x_10))))",22.61794662475586,25.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,"- \left(x_{10} + x_{12}\right) \left(x_{5} + x_{6} + 2.31\right) - \left(x_{10} + x_{7} + 4.44\right) + \max\left(2.31 - x_{12}, \log{\left(\left|{x_{12}}\right| \right)}\right)^{3} - 1.41"
"[-, +, max, x_9, -, 1.18, -, x_1, x_7, *, x_12, +, +, x_9, x_5, 1.18, -, x_5, x_12]","((max(x_9,(1.18-(x_1-x_7)))+(x_12*((x_9+x_5)+1.18)))-(x_5-x_12))",22.82513427734375,19.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,"x_{12} \left(x_{5} + x_{9} + 1.18\right) - \left(- x_{12} + x_{5}\right) + \max\left(x_{9}, 1.18 - \left(x_{1} - x_{7}\right)\right)"
"[*, +, x_12, x_10, +, 2.31, x_5]",((x_12+x_10)*(2.31+x_5)),27.58423614501953,7.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,\left(x_{10} + x_{12}\right) \left(x_{5} + 2.31\right)
"[+, -, **3, max, -, x_9, 1.04, -, 2.31, x_12, +, x_12, +, **3, x_10, x_10, -, max, log, max, x_8, x_12, log, **3, x_5, +, *, x_10, max, x_11, x_5, +, x_1, x_10]","(((max((x_9-1.04),(2.31-x_12)))**3-(x_12+((x_10)**3+x_10)))+(max(log(abs(max(x_8,x_12))),log(abs((x_5)**3)))-((x_10*max(x_11,x_5))+(x_1+x_10))))",19.628780364990234,34.0,700,200,50,200,not_spcified,size,not_specified,not_specified,boston,"- (x_{1} + x_{10} \max\left(x_{11}, x_{5}\right) + x_{10}) - \left(x_{10}^{3} + x_{10} + x_{12}\right) + \max\left(2.31 - x_{12}, x_{9} - 1.04\right)^{3} + \max\left(\log{\left(\left|{x_{5}^{3}}\right| \right)}, \log{\left(\left|{\max\left(x_{12}, x_{8}\right)}\right| \right)}\right)"
[x_12],x_12,39.54974365234375,1.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12}
"[+, *, x_5, x_10, x_12]",((x_5*x_10)+x_12),28.573686599731445,5.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{10} x_{5} + x_{12}
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,3.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12} - x_{5}
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,3.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,- x_{12} + x_{5}
"[-, max, +, x_3, **3, -0.03, x_5, x_12]","(max((x_3+(-0.03)**3),x_5)-x_12)",23.511816024780277,8.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,"- x_{12} + \max\left(x_{5}, x_{3} + \left(-0.03\right)^{3}\right)"
"[+, *, max, x_5, x_3, x_10, x_12]","((max(x_5,x_3)*x_10)+x_12)",24.237585067749023,7.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,"x_{10} \max\left(x_{3}, x_{5}\right) + x_{12}"
"[-, max, log, 0.85, x_5, x_12]","(max(log(abs(0.85)),x_5)-x_12)",24.73321533203125,6.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,"- x_{12} + \max\left(x_{5}, \log{\left(0.85 \right)}\right)"
"[-, -, -, max, max, x_10, x_12, x_5, x_12, +, x_10, x_12, x_12]","(((max(max(x_10,x_12),x_5)-x_12)-(x_10+x_12))-x_12)",22.27153205871582,13.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,"- x_{12} - x_{12} - \left(x_{10} + x_{12}\right) + \max\left(x_{10}, x_{12}, x_{5}\right)"
"[-, x_12, max, +, *, **3, x_9, x_7, -, x_5, x_10, *, x_3, x_9]","(x_12-max((((x_9)**3*x_7)+(x_5-x_10)),(x_3*x_9)))",21.050315856933597,14.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,"x_{12} - \max\left(x_{3} x_{9}, - x_{10} + x_{5} + x_{7} x_{9}^{3}\right)"
"[-, max, +, *, x_9, -2.18, -, x_5, *, x_5, x_10, *, max, max, x_6, x_9, x_10, x_3, x_12]","(max(((x_9*-2.18)+(x_5-(x_5*x_10))),(max(max(x_6,x_9),x_10)*x_3))-x_12)",19.96420288085937,19.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,"- x_{12} + \max\left(x_{3} \max\left(x_{10}, x_{6}, x_{9}\right), - x_{10} x_{5} + x_{5} + x_{9} \left(-2.18\right)\right)"
"[-, max, +, x_5, -, x_5, x_8, /, x_7, 3.17, x_12]","(max((x_5+(x_5-x_8)),(x_7/3.17))-x_12)",22.8775577545166,11.0,701,200,50,200,not_spcified,size,not_specified,not_specified,boston,"- x_{12} + \max\left(\frac{x_{7}}{3.17}, x_{5} + x_{5} - x_{8}\right)"
[x_12],x_12,39.54974365234375,1.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12}
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,3.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,- x_{12} + x_{5}
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,3.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12} - x_{5}
"[-, max, log, x_5, x_5, x_12]","(max(log(abs(x_5)),x_5)-x_12)",24.88224601745605,6.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,"- x_{12} + \max\left(x_{5}, \log{\left(\left|{x_{5}}\right| \right)}\right)"
"[-, x_12, max, log, x_5, max, x_5, log, x_12]","(x_12-max(log(abs(x_5)),max(x_5,log(abs(x_12)))))",24.85749053955078,9.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,"x_{12} - \max\left(x_{5}, \log{\left(\left|{x_{12}}\right| \right)}, \log{\left(\left|{x_{5}}\right| \right)}\right)"
"[-, +, x_12, x_9, max, -, +, x_12, x_8, max, log, x_5, max, x_5, x_8, max, x_5, x_8]","((x_12+x_9)-max(((x_12+x_8)-max(log(abs(x_5)),max(x_5,x_8))),max(x_5,x_8)))",19.883729934692383,18.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,"x_{12} + x_{9} - \max\left(x_{5}, x_{8}, x_{12} + x_{8} - \max\left(x_{5}, x_{8}, \log{\left(\left|{x_{5}}\right| \right)}\right)\right)"
"[**3, -, 2.96, x_12]",((2.96-x_12))**3,31.238191604614254,4.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,\left(2.96 - x_{12}\right)^{3}
"[-, *, -, +, x_12, x_8, max, log, x_12, max, x_5, x_8, max, **3, max, x_5, 3.49, **3, x_5, +, -, +, x_11, +, x_6, x_3, -, **3, x_10, *, x_3, 4.18, -, +, x_12, x_8, max, log, x_5, max, x_5, x_8]","((((x_12+x_8)-max(log(abs(x_12)),max(x_5,x_8)))*max((max(x_5,3.49))**3,(x_5)**3))-(((x_11+(x_6+x_3))-((x_10)**3-(x_3*4.18)))+((x_12+x_8)-max(log(abs(x_5)),max(x_5,x_8)))))",19.287019729614254,42.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,"\left(x_{12} + x_{8} - \max\left(x_{5}, x_{8}, \log{\left(\left|{x_{12}}\right| \right)}\right)\right) \max\left(x_{5}^{3}, \max\left(3.49, x_{5}\right)^{3}\right) - \left(x_{11} + x_{12} + x_{3} + x_{6} + x_{8} - \left(x_{10}^{3} - x_{3} \cdot 4.18\right) - \max\left(x_{5}, x_{8}, \log{\left(\left|{x_{5}}\right| \right)}\right)\right)"
"[-, +, x_12, x_8, max, log, x_12, max, x_5, x_8]","((x_12+x_8)-max(log(abs(x_12)),max(x_5,x_8)))",20.28069496154785,10.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,"x_{12} + x_{8} - \max\left(x_{5}, x_{8}, \log{\left(\left|{x_{12}}\right| \right)}\right)"
"[-, x_12, -, x_5, x_10]",(x_12-(x_5-x_10)),29.503374099731445,5.0,702,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12} - \left(- x_{10} + x_{5}\right)
[x_12],x_12,39.54974365234375,1.0,703,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12}
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,3.0,703,200,50,200,not_spcified,size,not_specified,not_specified,boston,x_{12} - x_{5}
"[**3, -, x_12, 3.04]",((x_12-3.04))**3,31.33169174194336,4.0,703,200,50,200,not_spcified,size,not_specified,not_specified,boston,\left(x_{12} - 3.04\right)^{3}
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,3.0,703,200,50,200,not_spcified,size,not_specified,not_specified,boston,- x_{12} + x_{5}
"[*, -, x_12, max, x_5, *, *, 2.65, x_3, +, x_10, x_6, 3.04]","((x_12-max(x_5,((2.65*x_3)*(x_10+x_6))))*3.04)",23.15846443176269,13.0,703,200,50,200,not_spcified,size,not_specified,not_specified,boston,"\left(x_{12} - \max\left(x_{5}, 2.65 x_{3} \left(x_{10} + x_{6}\right)\right)\right) 3.04"
"[-, x_12, max, x_5, x_3]","(x_12-max(x_5,x_3))",23.511693954467773,5.0,703,200,50,200,not_spcified,size,not_specified,not_specified,boston,"x_{12} - \max\left(x_{3}, x_{5}\right)"
