parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
[x_12],x_12,32.10724639892578,1.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,3.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12}-x_5,boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,3.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_5-x_{12},boston
"[-, x_12, max, x_6, x_5]","(x_12-max(x_6,x_5))",19.511449813842773,5.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(x_6, x_5\right)",boston
"[**3, -, 2.91, x_12]",((2.91-x_12))**3,25.4782829284668,4.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,\left(2.91-x_{12}\right)^3,boston
"[-, x_12, max, **3, x_6, x_5]","(x_12-max((x_6)**3,x_5))",17.896711349487305,6.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left({x_6}^3, x_5\right)",boston
"[-, x_12, max, **3, **3, x_3, x_5]","(x_12-max(((x_3)**3)**3,x_5))",15.75085163116455,7.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(\left({x_3}^3\right)^3, x_5\right)",boston
"[-, x_12, max, *, x_12, x_3, +, x_5, -, x_3, x_12]","(x_12-max((x_12*x_3),(x_5+(x_3-x_12))))",14.272963523864746,11.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(x_{12} x_3, x_5+x_3-x_{12}\right)",boston
"[-, x_12, max, *, *, x_9, x_3, log, x_0, +, x_5, -, x_3, x_12]","(x_12-max(((x_9*x_3)*log(abs(x_0))),(x_5+(x_3-x_12))))",14.238412857055664,14.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(x_9 x_3 \ln\left(|x_0|\right), x_5+x_3-x_{12}\right)",boston
[x_12],x_12,32.10724639892578,1.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12},boston
