parsable_tree,readable_tree,accuracy,interpretability,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,latex_tree
[x_12],x_12,39.54974365234375,0.0426592864096164,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,x_{12}
[x_6],x_6,75.39015197753906,0.0397217124700546,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,x_{6}
[x_4],x_4,72.19047546386719,0.0403773672878742,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,x_{4}
"[+, cos, u-, exp, log, x_5, x_12]",(cos(-(exp(log(abs(x_5)))))+x_12),24.221834182739254,0.0527269802987575,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,x_{12} + \cos{\left(- e^{\log{\left(\left|{x_{5}}\right| \right)}} \right)}
"[+, +, cos, -, x_12, +, x_9, x_5, x_12, x_12]",((cos((x_12-(x_9+x_5)))+x_12)+x_12),24.040367126464844,0.0556174740195274,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,x_{12} + x_{12} + \cos{\left(x_{12} - \left(x_{5} + x_{9}\right) \right)}
"[exp, u-, +, exp, x_12, x_12]",exp(-((exp(x_12)+x_12))),30.956933975219727,0.0475583896040916,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,e^{- x_{12} - e^{x_{12}}}
"[+, +, cos, x_5, +, x_12, **2, cos, x_10, +, cos, -, x_12, +, x_9, x_5, x_12]",((cos(x_5)+(x_12+(cos(x_10))**2))+(cos((x_12-(x_9+x_5)))+x_12)),21.91594886779785,0.0785165950655937,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,x_{12} + x_{12} + \cos^{2}{\left(x_{10} \right)} + \cos{\left(x_{5} \right)} + \cos{\left(x_{12} - \left(x_{5} + x_{9}\right) \right)}
"[+, +, cos, x_5, x_12, +, cos, x_12, x_12]",((cos(x_5)+x_12)+(cos(x_12)+x_12)),23.361326217651367,0.0623895078897476,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,x_{12} + x_{12} + \cos{\left(x_{12} \right)} + \cos{\left(x_{5} \right)}
"[+, +, cos, -, x_12, +, x_9, x_5, x_12, exp, /, x_12, 4.21]",((cos((x_12-(x_9+x_5)))+x_12)+exp((x_12/4.21))),23.586061477661133,0.0613550841808319,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,x_{12} + e^{\frac{x_{12}}{4.21}} + \cos{\left(x_{12} - \left(x_{5} + x_{9}\right) \right)}
"[+, x_5, exp, +, exp, u-, x_12, cos, x_12]",(x_5+exp((exp(-(x_12))+cos(x_12)))),26.924028396606445,0.0490557551383972,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,boston,x_{5} + e^{\cos{\left(x_{12} \right)} + e^{- x_{12}}}
