parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[+, *, -4.4, x_0, *, **, +, x_2, x_4, *, -0.46, x_7, x_0]",((-4.4*x_0)+(((x_2+x_4)**(-0.46*x_7))*x_0)),0.6978789567947388,-0.0809551328420639,200,not_specified,feynman,california,- 4.4 x_{0} + x_{0} \left(x_{2} + x_{4}\right)^{- 0.46 x_{7}}
"[**, *, *, x_0, 3.4, -4.4, **, *, **, x_2, x_7, 3.4, x_0]",(((x_0*3.4)*-4.4)**(((x_2**x_7)*3.4)**x_0)),1.0636868476867676,-0.0825785547494888,200,not_specified,feynman,california,\left(x_{0} \cdot 3.4 \left(-4.4\right)\right)^{\left(x_{2}^{x_{7}} \cdot 3.4\right)^{x_{0}}}
"[**, *, -0.46, x_7, *, -4.4, x_0]",((-0.46*x_7)**(-4.4*x_0)),1.150496482849121,-0.083556018769741,200,not_specified,feynman,california,\left(- 0.46 x_{7}\right)^{- 4.4 x_{0}}
"[+, x_0, **, cos, sqrt, exp, x_5, **, *, -0.46, x_7, *, -0.46, -, x_2, x_7]",(x_0+(cos(sqrt(abs(exp(x_5))))**((-0.46*x_7)**(-0.46*(x_2-x_7))))),0.6186510324478149,-0.064646802842617,200,not_specified,feynman,california,x_{0} + \cos^{\left(- 0.46 x_{7}\right)^{- 0.46 \left(x_{2} - x_{7}\right)}}{\left(\sqrt{e^{\operatorname{re}{\left(x_{5}\right)}}} \right)}
"[+, +, +, x_0, **, +, x_2, -1.87, *, -0.46, -0.46, +, -4.4, x_0, +, sin, log, *, -0.46, x_7, cos, sqrt, exp, x_5]",(((x_0+((x_2+-1.87)**(-0.46*-0.46)))+(-4.4+x_0))+(sin(log(abs((-0.46*x_7))))+cos(sqrt(abs(exp(x_5)))))),0.5746042728424072,-0.0401847623288631,200,not_specified,feynman,california,x_{0} + x_{0} + \sin{\left(\log{\left(0.46 \left|{x_{7}}\right| \right)} \right)} + \cos{\left(\sqrt{e^{\operatorname{re}{\left(x_{5}\right)}}} \right)} - 4.4 + \left(x_{2} - 1.87\right)^{\left(-0.46\right) \left(-0.46\right)}
"[**, *, x_5, x_7, *, -4.4, x_0]",((x_5*x_7)**(-4.4*x_0)),1.105574607849121,-0.0825844034552574,200,not_specified,feynman,california,\left(x_{5} x_{7}\right)^{- 4.4 x_{0}}
"[+, +, *, **, *, x_2, x_7, *, -0.46, x_7, x_0, +, -4.4, x_0, +, sin, log, *, -0.46, x_7, cos, sqrt, exp, x_5]",(((((x_2*x_7)**(-0.46*x_7))*x_0)+(-4.4+x_0))+(sin(log(abs((-0.46*x_7))))+cos(sqrt(abs(exp(x_5)))))),0.6041944622993469,-0.054502747952938,200,not_specified,feynman,california,x_{0} + x_{0} \left(x_{2} x_{7}\right)^{- 0.46 x_{7}} + \sin{\left(\log{\left(0.46 \left|{x_{7}}\right| \right)} \right)} + \cos{\left(\sqrt{e^{\operatorname{re}{\left(x_{5}\right)}}} \right)} - 4.4
"[*, **, *, -1.87, -4.4, *, -0.46, x_7, x_0]",(((-1.87*-4.4)**(-0.46*x_7))*x_0),0.8133112788200378,-0.0825677067041397,200,not_specified,feynman,california,x_{0} \left(\left(-1.87\right) \left(-4.4\right)\right)^{- 0.46 x_{7}}
"[*, **, **, 1.03, *, x_7, -4.4, *, -0.99, -0.46, x_0]",(((1.03**(x_7*-4.4))**(-0.99*-0.46))*x_0),0.6999819874763489,-0.0814413949847221,200,not_specified,feynman,california,x_{0} \left(1.03^{x_{7} \left(-4.4\right)}\right)^{\left(-0.99\right) \left(-0.46\right)}
"[+, +, +, x_0, **, *, -0.46, x_7, *, -0.46, -0.46, x_0, +, sin, log, *, -0.46, x_7, cos, sqrt, exp, x_5]",(((x_0+((-0.46*x_7)**(-0.46*-0.46)))+x_0)+(sin(log(abs((-0.46*x_7))))+cos(sqrt(abs(exp(x_5)))))),0.5793722867965698,-0.0515908449888229,200,not_specified,feynman,california,x_{0} + x_{0} + \sin{\left(\log{\left(0.46 \left|{x_{7}}\right| \right)} \right)} + \cos{\left(\sqrt{e^{\operatorname{re}{\left(x_{5}\right)}}} \right)} + \left(- 0.46 x_{7}\right)^{\left(-0.46\right) \left(-0.46\right)}
