parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
[x_0],x_0,0.701570987701416,-78.9000015258789,200,not_specified,phi,california,x_{0}
"[-, x_0, +, x_7, x_6]",(x_0-(x_7+x_6)),0.5919253826141357,-77.0999984741211,200,not_specified,phi,california,x_{0} - \left(x_{6} + x_{7}\right)
"[-, +, x_7, x_6, x_0]",((x_7+x_6)-x_0),0.5919253826141357,-77.0999984741211,200,not_specified,phi,california,- x_{0} + x_{6} + x_{7}
"[-, x_1, -, -, sin, +, x_5, x_6, x_0, x_0]",(x_1-((sin((x_5+x_6))-x_0)-x_0)),0.5561845898628235,-66.69999694824219,200,not_specified,phi,california,x_{1} - \left(- x_{0} - x_{0} + \sin{\left(x_{5} + x_{6} \right)}\right)
"[-, u-, -, sin, +, x_7, x_6, x_0, u-, /, -, x_1, x_0, +, x_6, 4.35]",(-((sin((x_7+x_6))-x_0))--(((x_1-x_0)/(x_6+4.35)))),0.548467218875885,-63.5,200,not_specified,phi,california,- \frac{\left(-1\right) \left(- x_{0} + x_{1}\right)}{x_{6} + 4.35} + \left(x_{0} - \sin{\left(x_{6} + x_{7} \right)}\right)
"[-, u-, -, sin, +, x_7, x_6, x_0, u-, /, -, x_1, sin, x_5, +, x_6, 4.35]",(-((sin((x_7+x_6))-x_0))--(((x_1-sin(x_5))/(x_6+4.35)))),0.5064878463745117,-59.400001525878906,200,not_specified,phi,california,\left(x_{0} - \sin{\left(x_{6} + x_{7} \right)}\right) - - \frac{x_{1} - \sin{\left(x_{5} \right)}}{x_{6} + 4.35}
[x_0],x_0,0.701570987701416,-78.9000015258789,201,not_specified,phi,california,x_{0}
"[+, +, x_0, x_1, x_0]",((x_0+x_1)+x_0),0.6577156782150269,-77.0999984741211,201,not_specified,phi,california,x_{0} + x_{0} + x_{1}
"[+, x_1, u-, +, x_6, +, x_0, *, x_0, -4.8]",(x_1+-((x_6+(x_0+(x_0*-4.8))))),0.6437389850616455,-74.5999984741211,201,not_specified,phi,california,x_{1} - \left(x_{0} \left(-4.8\right) + x_{0} + x_{6}\right)
"[+, u-, +, -3.58, u-, -, x_0, x_7, u-, x_6]",(-((-3.58+-((x_0-x_7))))+-(x_6)),0.5919253826141357,-74.0999984741211,201,not_specified,phi,california,- x_{6} + \left(x_{0} - x_{7} + 3.58\right)
"[+, +, +, 3.44, +, x_0, x_0, x_1, x_0]",(((3.44+(x_0+x_0))+x_1)+x_0),0.6502489447593689,-75.30000305175781,201,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} + 3.44
"[+, +, 3.44, x_1, +, u-, sin, x_5, +, x_0, x_0]",((3.44+x_1)+(-(sin(x_5))+(x_0+x_0))),0.5766317844390869,-66.0,201,not_specified,phi,california,x_{0} + x_{0} + x_{1} - \sin{\left(x_{5} \right)} + 3.44
"[+, +, 1.16, x_1, +, u-, sin, x_5, +, x_0, x_0]",((1.16+x_1)+(-(sin(x_5))+(x_0+x_0))),0.5766317844390869,-66.0,201,not_specified,phi,california,x_{0} + x_{0} + x_{1} - \sin{\left(x_{5} \right)} + 1.16
"[+, x_1, u-, *, u-, 3.91, x_0]",(x_1+-((-(3.91)*x_0))),0.6542307138442993,-75.69999694824219,201,not_specified,phi,california,3.91 x_{0} + x_{1}
"[+, u-, +, x_6, +, x_0, *, x_0, -4.8, +, u-, -4.8, +, exp, u-, x_5, u-, -, x_7, x_1]",(-((x_6+(x_0+(x_0*-4.8))))+(-(-4.8)+(exp(-(x_5))+-((x_7-x_1))))),0.5253099799156189,-61.20000076293945,201,not_specified,phi,california,\left(x_{1} - x_{7}\right) - \left(x_{0} \left(-4.8\right) + x_{0} + x_{6}\right) + 4.8 + e^{- x_{5}}
"[+, u-, -, x_6, x_0, +, 3.44, +, *, -0.75, x_0, u-, -, x_7, -1.24]",(-((x_6-x_0))+(3.44+((-0.75*x_0)+-((x_7--1.24))))),0.5886849761009216,-72.0999984741211,201,not_specified,phi,california,- 0.75 x_{0} + \left(x_{0} - x_{6}\right) - \left(x_{7} + 1.24\right) + 3.44
"[+, u-, -, x_6, x_0, +, +, x_0, x_1, u-, sin, x_5]",(-((x_6-x_0))+((x_0+x_1)+-(sin(x_5)))),0.5650988817214966,-65.30000305175781,201,not_specified,phi,california,x_{0} + x_{1} + \left(x_{0} - x_{6}\right) - \sin{\left(x_{5} \right)}
[x_0],x_0,0.701570987701416,-78.9000015258789,202,not_specified,phi,california,x_{0}
"[-, x_7, -, x_0, x_6]",(x_7-(x_0-x_6)),0.5919253826141357,-77.0999984741211,202,not_specified,phi,california,x_{7} - \left(x_{0} - x_{6}\right)
"[-, -, x_0, sin, x_5, -, x_7, u-, x_6]",((x_0-sin(x_5))-(x_7--(x_6))),0.5411871075630188,-66.9000015258789,202,not_specified,phi,california,x_{0} - \left(- \left(-1\right) x_{6} + x_{7}\right) - \sin{\left(x_{5} \right)}
"[-, u-, -, -, x_0, sin, x_5, -, x_7, u-, x_6, -, x_0, -, x_7, u-, x_6]",(-(((x_0-sin(x_5))-(x_7--(x_6))))-(x_0-(x_7--(x_6)))),0.504120409488678,-62.79999923706055,202,not_specified,phi,california,- (x_{0} - \left(- \left(-1\right) x_{6} + x_{7}\right)) - \left(x_{0} - x_{6} - x_{7} - \sin{\left(x_{5} \right)}\right)
"[-, u-, -, -, x_0, sin, x_5, -, -, x_7, x_0, u-, x_6, x_1]",(-(((x_0-sin(x_5))-((x_7-x_0)--(x_6))))-x_1),0.5263108611106873,-64.4000015258789,202,not_specified,phi,california,- x_{1} - \left(2 x_{0} - x_{6} - x_{7} - \sin{\left(x_{5} \right)}\right)
"[-, u-, -, u-, x_6, -, x_7, u-, x_7, -, x_0, x_6]",(-((-(x_6)-(x_7--(x_7))))-(x_0-x_6)),0.5545043349266052,-73.19999694824219,202,not_specified,phi,california,- (x_{0} - x_{6}) + \left(x_{6} + x_{7} - - x_{7}\right)
"[-, u-, -, -, x_0, 1.6, -, x_7, u-, x_6, -, -, -, x_0, sin, x_5, -, x_7, u-, x_6, -, x_7, u-, x_6]",(-(((x_0-1.6)-(x_7--(x_6))))-(((x_0-sin(x_5))-(x_7--(x_6)))-(x_7--(x_6)))),0.4781504571437835,-59.400001525878906,202,not_specified,phi,california,\left(- x_{0} - - x_{6} + x_{7} + 1.6\right) - \left(x_{0} - \left(- \left(-1\right) x_{6} + x_{7}\right) - \left(- \left(-1\right) x_{6} + x_{7}\right) - \sin{\left(x_{5} \right)}\right)
[x_0],x_0,0.701570987701416,-78.9000015258789,203,not_specified,phi,california,x_{0}
"[+, +, x_1, x_0, x_0]",((x_1+x_0)+x_0),0.6577156782150269,-77.0999984741211,203,not_specified,phi,california,x_{0} + x_{0} + x_{1}
"[+, +, +, x_1, x_0, x_0, x_0]",(((x_1+x_0)+x_0)+x_0),0.6502489447593689,-76.19999694824219,203,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1}
"[-, **3, sin, sin, +, x_5, x_6, -, cos, x_6, -, exp, x_7, x_0]",((sin(sin((x_5+x_6))))**3-(cos(x_6)-(exp(x_7)-x_0))),0.533581018447876,-41.29999923706055,203,not_specified,phi,california,- (- (- x_{0} + e^{x_{7}}) + \cos{\left(x_{6} \right)}) + \sin^{3}{\left(\sin{\left(x_{5} + x_{6} \right)} \right)}
"[-, -, -, sin, +, x_5, x_6, x_0, x_0, x_1]",(((sin((x_5+x_6))-x_0)-x_0)-x_1),0.5561845898628235,-66.69999694824219,203,not_specified,phi,california,- x_{0} - x_{0} - x_{1} + \sin{\left(x_{5} + x_{6} \right)}
"[-, -, sin, x_5, x_0, x_0]",((sin(x_5)-x_0)-x_0),0.6141564846038818,-68.5,203,not_specified,phi,california,- x_{0} - x_{0} + \sin{\left(x_{5} \right)}
"[-, -, -, sin, x_5, x_0, x_0, x_1]",(((sin(x_5)-x_0)-x_0)-x_1),0.5766317844390869,-67.5999984741211,203,not_specified,phi,california,- x_{0} - x_{0} - x_{1} + \sin{\left(x_{5} \right)}
"[-, x_1, -, -, -, x_6, x_0, x_0, x_0]",(x_1-(((x_6-x_0)-x_0)-x_0)),0.6439526677131653,-75.30000305175781,203,not_specified,phi,california,x_{1} - \left(- x_{0} - x_{0} - x_{0} + x_{6}\right)
"[-, -, sin, +, x_5, x_6, x_0, -, sin, x_1, -, -2.98, x_0]",((sin((x_5+x_6))-x_0)-(sin(x_1)-(-2.98-x_0))),0.5528892278671265,-61.70000076293945,203,not_specified,phi,california,- x_{0} - \left(- (- x_{0} - 2.98) + \sin{\left(x_{1} \right)}\right) + \sin{\left(x_{5} + x_{6} \right)}
"[-, -, -, -, sin, x_5, x_0, x_0, +, -, x_1, x_0, cos, x_6, x_0]",((((sin(x_5)-x_0)-x_0)-((x_1-x_0)+cos(x_6)))-x_0),0.5500504970550537,-60.79999923706055,203,not_specified,phi,california,- x_{0} - x_{0} - x_{0} - \left(- x_{0} + x_{1} + \cos{\left(x_{6} \right)}\right) + \sin{\left(x_{5} \right)}
"[-, -, -, sin, +, x_5, x_6, x_0, x_1, x_0]",(((sin((x_5+x_6))-x_0)-x_1)-x_0),0.5561845898628235,-66.69999694824219,203,not_specified,phi,california,- x_{0} - x_{0} - x_{1} + \sin{\left(x_{5} + x_{6} \right)}
"[-, -, -, sin, +, x_5, x_6, x_0, +, x_0, x_1, cos, u-, +, /, x_7, x_7, x_7]",(((sin((x_5+x_6))-x_0)-(x_0+x_1))-cos(-(((x_7/x_7)+x_7)))),0.5381979942321777,-59.20000076293945,203,not_specified,phi,california,- x_{0} - \left(x_{0} + x_{1}\right) + \sin{\left(x_{5} + x_{6} \right)} - \cos{\left(- x_{7} - \frac{x_{7}}{x_{7}} \right)}
[x_0],x_0,0.701570987701416,-78.9000015258789,204,not_specified,phi,california,x_{0}
"[-, x_6, -, x_0, x_7]",(x_6-(x_0-x_7)),0.5919253826141357,-77.0999984741211,204,not_specified,phi,california,x_{6} - \left(x_{0} - x_{7}\right)
"[+, +, -, x_0, x_7, sin, -, -, x_0, x_5, x_6, -, +, x_1, x_0, x_6]",(((x_0-x_7)+sin(((x_0-x_5)-x_6)))+((x_1+x_0)-x_6)),0.522312581539154,-64.0,204,not_specified,phi,california,x_{0} + x_{0} + x_{1} - x_{6} - x_{7} + \sin{\left(x_{0} - x_{5} - x_{6} \right)}
"[+, u-, +, x_0, -, +, x_1, x_0, x_6, sin, x_5]",(-((x_0+((x_1+x_0)-x_6)))+sin(x_5)),0.5650988817214966,-66.0,204,not_specified,phi,california,\left(- 2 x_{0} - x_{1} + x_{6}\right) + \sin{\left(x_{5} \right)}
"[+, -, +, +, -, x_0, x_7, -, x_5, x_5, 2.0, x_6, /, x_0, -3.47]",(((((x_0-x_7)+(x_5-x_5))+2.0)-x_6)+(x_0/-3.47)),0.5694688558578491,-72.5999984741211,204,not_specified,phi,california,\frac{x_{0}}{-3.47} + x_{0} - x_{5} + x_{5} - x_{6} - x_{7} + 2.0
"[+, +, +, -, -, x_0, x_6, x_7, x_0, -, +, x_1, x_0, x_6, -, -, u-, u-, -0.48, /, sin, x_5, exp, x_6, x_7]",(((((x_0-x_6)-x_7)+x_0)+((x_1+x_0)-x_6))+((-(-(-0.48))-(sin(x_5)/exp(x_6)))-x_7)),0.5153453350067139,-55.79999923706055,204,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} - x_{6} - x_{6} - x_{7} - x_{7} - 0.48 - \frac{\sin{\left(x_{5} \right)}}{e^{x_{6}}}
"[+, +, +, u-, x_7, -, x_0, x_6, -, +, +, x_1, x_0, x_0, x_6, -, -, u-, u-, -0.48, /, sin, x_5, exp, -0.66, x_7]",(((-(x_7)+(x_0-x_6))+(((x_1+x_0)+x_0)-x_6))+((-(-(-0.48))-(sin(x_5)/exp(-0.66)))-x_7)),0.501266360282898,-55.09999847412109,204,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} - x_{6} - x_{6} - x_{7} - x_{7} - \frac{\sin{\left(x_{5} \right)}}{e^{-0.66}} - 0.48
"[+, +, +, -, -, x_0, x_6, x_7, cos, 1.57, -, +, +, x_1, x_0, x_0, x_6, -, -, u-, u-, -0.48, /, sin, x_5, exp, x_5, x_7]",(((((x_0-x_6)-x_7)+cos(1.57))+(((x_1+x_0)+x_0)-x_6))+((-(-(-0.48))-(sin(x_5)/exp(x_5)))-x_7)),0.4842550456523895,-50.79999923706055,204,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} - x_{6} - x_{6} - x_{7} - x_{7} - 0.48 + \cos{\left(1.57 \right)} - \frac{\sin{\left(x_{5} \right)}}{e^{x_{5}}}
"[+, +, +, -, -, x_0, x_6, x_7, x_0, -, +, +, x_1, x_0, x_0, x_6, -, -, u-, u-, -0.48, /, sin, x_5, exp, x_5, x_7]",(((((x_0-x_6)-x_7)+x_0)+(((x_1+x_0)+x_0)-x_6))+((-(-(-0.48))-(sin(x_5)/exp(x_5)))-x_7)),0.4989317655563354,-54.900001525878906,204,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{0} + x_{1} - x_{6} - x_{6} - x_{7} - x_{7} - 0.48 - \frac{\sin{\left(x_{5} \right)}}{e^{x_{5}}}
[x_0],x_0,0.701570987701416,-78.9000015258789,205,not_specified,phi,california,x_{0}
"[+, u-, -, x_7, u-, x_6, x_0]",(-((x_7--(x_6)))+x_0),0.5919253826141357,-75.69999694824219,205,not_specified,phi,california,x_{0} - \left(x_{6} + x_{7}\right)
"[+, +, x_0, x_1, x_0]",((x_0+x_1)+x_0),0.6577156782150269,-77.0999984741211,205,not_specified,phi,california,x_{0} + x_{0} + x_{1}
"[+, +, 1.46, /, x_1, 2.82, x_0]",((1.46+(x_1/2.82))+x_0),0.6500144004821777,-76.19999694824219,205,not_specified,phi,california,x_{0} + \frac{x_{1}}{2.82} + 1.46
"[+, u-, -, x_7, u-, +, x_6, -3.55, +, u-, -, x_7, u-, x_6, x_0]",(-((x_7--((x_6+-3.55))))+(-((x_7--(x_6)))+x_0)),0.5545043349266052,-71.5999984741211,205,not_specified,phi,california,x_{0} - \left(x_{6} + x_{7}\right) - \left(x_{6} + x_{7} - 3.55\right)
[x_0],x_0,0.701570987701416,-78.9000015258789,206,not_specified,phi,california,x_{0}
"[+, x_0, +, x_0, +, x_1, x_0]",(x_0+(x_0+(x_1+x_0))),0.6502489447593689,-76.19999694824219,206,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1}
"[+, +, x_1, x_0, +, x_0, x_0]",((x_1+x_0)+(x_0+x_0)),0.6502489447593689,-76.19999694824219,206,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1}
"[+, x_0, +, x_1, +, x_0, x_0]",(x_0+(x_1+(x_0+x_0))),0.6502489447593689,-76.19999694824219,206,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1}
"[+, x_1, +, x_0, x_0]",(x_1+(x_0+x_0)),0.6577156782150269,-77.0999984741211,206,not_specified,phi,california,x_{0} + x_{0} + x_{1}
"[+, x_0, +, x_0, x_1]",(x_0+(x_0+x_1)),0.6577156782150269,-77.0999984741211,206,not_specified,phi,california,x_{0} + x_{0} + x_{1}
"[-, x_7, +, x_1, +, x_0, -, x_0, x_6]",(x_7-(x_1+(x_0+(x_0-x_6)))),0.6076698303222656,-75.30000305175781,206,not_specified,phi,california,x_{7} - \left(x_{0} + x_{0} + x_{1} - x_{6}\right)
"[+, +, x_1, x_0, +, exp, u-, x_5, +, x_0, -, x_0, x_6]",((x_1+x_0)+(exp(-(x_5))+(x_0+(x_0-x_6)))),0.5340834856033325,-65.0999984741211,206,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} - x_{6} + e^{- x_{5}}
"[+, u-, x_7, +, x_1, +, exp, u-, x_5, +, x_0, -, x_0, x_6]",(-(x_7)+(x_1+(exp(-(x_5))+(x_0+(x_0-x_6))))),0.5239924788475037,-64.4000015258789,206,not_specified,phi,california,x_{0} + x_{0} + x_{1} - x_{6} - x_{7} + e^{- x_{5}}
"[+, +, exp, u-, x_7, +, x_0, -, -0.93, x_6, +, x_1, +, exp, u-, x_5, +, x_0, -, x_0, x_6]",((exp(-(x_7))+(x_0+(-0.93-x_6)))+(x_1+(exp(-(x_5))+(x_0+(x_0-x_6))))),0.4919764101505279,-57.59999847412109,206,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} - x_{6} - x_{6} - 0.93 + e^{- x_{7}} + e^{- x_{5}}
"[-, +, x_0, -, 2.8, x_6, u-, u-, x_7]",((x_0+(2.8-x_6))--(-(x_7))),0.5919253826141357,-74.80000305175781,206,not_specified,phi,california,x_{0} - x_{6} - x_{7} + 2.8
"[+, x_0, +, x_1, +, exp, u-, x_5, +, x_0, -, x_0, x_6]",(x_0+(x_1+(exp(-(x_5))+(x_0+(x_0-x_6))))),0.5340834856033325,-65.0999984741211,206,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} - x_{6} + e^{- x_{5}}
"[+, +, x_1, x_0, +, exp, u-, x_5, x_0]",((x_1+x_0)+(exp(-(x_5))+x_0)),0.5714590549468994,-66.9000015258789,206,not_specified,phi,california,x_{0} + x_{0} + x_{1} + e^{- x_{5}}
"[+, x_1, +, x_0, +, exp, u-, x_5, +, x_0, -, x_0, x_6]",(x_1+(x_0+(exp(-(x_5))+(x_0+(x_0-x_6))))),0.5340834856033325,-65.0999984741211,206,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} - x_{6} + e^{- x_{5}}
"[+, x_0, +, +, x_1, exp, u-, x_5, x_0]",(x_0+((x_1+exp(-(x_5)))+x_0)),0.5714590549468994,-66.9000015258789,206,not_specified,phi,california,x_{0} + x_{0} + x_{1} + e^{- x_{5}}
"[+, +, 0.82, +, x_0, x_1, +, +, x_0, exp, u-, x_5, -, +, x_0, -, 2.8, x_6, u-, u-, x_7]",((0.82+(x_0+x_1))+((x_0+exp(-(x_5)))+((x_0+(2.8-x_6))--(-(x_7))))),0.5115856528282166,-61.0,206,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} - x_{6} - x_{7} + 0.82 + 2.8 + e^{- x_{5}}
"[+, +, x_0, -, exp, u-, x_5, exp, x_6, +, x_0, +, +, x_1, u-, x_7, x_0]",((x_0+(exp(-(x_5))-exp(x_6)))+(x_0+((x_1+-(x_7))+x_0))),0.4993689060211181,-59.400001525878906,206,not_specified,phi,california,x_{0} + x_{0} + x_{0} + x_{1} - x_{7} - e^{x_{6}} + e^{- x_{5}}
