parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
[x_0],x_0,0.701570987701416,1.0,200,not_specified,size,california,x_{0}
"[-, +, x_0, sin, x_1, -, **3, sin, x_5, x_0]",((x_0+sin(x_1))-((sin(x_5))**3-x_0)),0.5839551687240601,10.0,200,not_specified,size,california,x_{0} - \left(- x_{0} + \sin^{3}{\left(x_{5} \right)}\right) + \sin{\left(x_{1} \right)}
"[-, **3, sin, x_5, x_0]",((sin(x_5))**3-x_0),0.6322932243347168,5.0,200,not_specified,size,california,- x_{0} + \sin^{3}{\left(x_{5} \right)}
"[-, **3, sin, sin, x_5, x_0]",((sin(sin(x_5)))**3-x_0),0.6220711469650269,6.0,200,not_specified,size,california,- x_{0} + \sin^{3}{\left(\sin{\left(x_{5} \right)} \right)}
"[-, x_0, -, sin, +, x_5, sqrt, x_6, x_0]",(x_0-(sin((x_5+sqrt(abs(x_6))))-x_0)),0.5880964398384094,9.0,200,not_specified,size,california,x_{0} - \left(- x_{0} + \sin{\left(x_{5} + \sqrt{\left|{x_{6}}\right|} \right)}\right)
"[-, +, x_0, +, x_0, sin, x_1, -, sin, +, x_5, x_6, x_0]",((x_0+(x_0+sin(x_1)))-(sin((x_5+x_6))-x_0)),0.5667575597763062,13.0,200,not_specified,size,california,x_{0} + x_{0} - \left(- x_{0} + \sin{\left(x_{5} + x_{6} \right)}\right) + \sin{\left(x_{1} \right)}
"[-, +, x_0, +, x_0, sin, x_1, -, sin, +, x_5, sqrt, x_6, 3.54]",((x_0+(x_0+sin(x_1)))-(sin((x_5+sqrt(abs(x_6))))-3.54)),0.548934280872345,14.0,200,not_specified,size,california,x_{0} + x_{0} - \left(\sin{\left(x_{5} + \sqrt{\left|{x_{6}}\right|} \right)} - 3.54\right) + \sin{\left(x_{1} \right)}
"[-, +, x_0, +, x_0, sin, x_1, -, sin, +, x_5, sqrt, x_6, -3.9]",((x_0+(x_0+sin(x_1)))-(sin((x_5+sqrt(abs(x_6))))--3.9)),0.548934280872345,14.0,200,not_specified,size,california,x_{0} + x_{0} - \left(\sin{\left(x_{5} + \sqrt{\left|{x_{6}}\right|} \right)} - -3.9\right) + \sin{\left(x_{1} \right)}
"[-, sin, -, +, x_5, x_2, x_0, x_0]",(sin(((x_5+x_2)-x_0))-x_0),0.5892372131347656,8.0,200,not_specified,size,california,- x_{0} + \sin{\left(- x_{0} + x_{2} + x_{5} \right)}
"[-, +, x_0, +, x_0, sin, x_1, +, sin, x_2, sin, -, +, x_5, x_1, +, x_0, x_1]",((x_0+(x_0+sin(x_1)))-(sin(x_2)+sin(((x_5+x_1)-(x_0+x_1))))),0.5430400967597961,18.0,200,not_specified,size,california,x_{0} + x_{0} - \left(\sin{\left(x_{2} \right)} + \sin{\left(x_{1} + x_{5} - \left(x_{0} + x_{1}\right) \right)}\right) + \sin{\left(x_{1} \right)}
[x_0],x_0,0.701570987701416,1.0,201,not_specified,size,california,x_{0}
"[-, -, +, x_6, u-, -, x_1, x_7, x_0, -, x_0, sin, x_5]",(((x_6+-((x_1-x_7)))-x_0)-(x_0-sin(x_5))),0.5263108611106873,13.0,201,not_specified,size,california,- x_{0} + x_{6} - \left(x_{0} - \sin{\left(x_{5} \right)}\right) - \left(x_{1} - x_{7}\right)
"[-, x_0, sin, x_5]",(x_0-sin(x_5)),0.6507494449615479,4.0,201,not_specified,size,california,x_{0} - \sin{\left(x_{5} \right)}
"[-, x_0, sin, +, -, x_5, x_0, sqrt, x_7]",(x_0-sin(((x_5-x_0)+sqrt(abs(x_7))))),0.5855653882026672,9.0,201,not_specified,size,california,x_{0} - \sin{\left(- x_{0} + x_{5} + \sqrt{\left|{x_{7}}\right|} \right)}
"[-, -, +, x_6, x_7, 1.17, -, x_0, sin, x_5]",(((x_6+x_7)-1.17)-(x_0-sin(x_5))),0.5411871075630188,10.0,201,not_specified,size,california,x_{6} + x_{7} - \left(x_{0} - \sin{\left(x_{5} \right)}\right) - 1.17
"[+, x_6, u-, -, x_0, x_7]",(x_6+-((x_0-x_7))),0.5919253826141357,6.0,201,not_specified,size,california,x_{6} - \left(x_{0} - x_{7}\right)
"[-, x_0, sin, sin, x_5]",(x_0-sin(sin(x_5))),0.6379520297050476,5.0,201,not_specified,size,california,x_{0} - \sin{\left(\sin{\left(x_{5} \right)} \right)}
"[-, -, +, x_7, u-, -, x_1, x_6, x_0, -, x_0, sin, x_5]",(((x_7+-((x_1-x_6)))-x_0)-(x_0-sin(x_5))),0.5263108611106873,13.0,201,not_specified,size,california,- x_{0} + x_{7} - \left(x_{0} - \sin{\left(x_{5} \right)}\right) - \left(x_{1} - x_{6}\right)
"[-, -, +, -, +, x_6, x_7, 0.51, sin, x_5, x_0, +, x_0, sqrt, exp, x_1]",(((((x_6+x_7)-0.51)+sin(x_5))-x_0)-(x_0+sqrt(abs(exp(x_1))))),0.512901246547699,16.0,201,not_specified,size,california,- x_{0} + x_{6} + x_{7} - \left(x_{0} + \sqrt{e^{\operatorname{re}{\left(x_{1}\right)}}}\right) + \sin{\left(x_{5} \right)} - 0.51
"[-, -, +, x_6, sin, x_5, -, +, x_1, x_0, x_7, -, x_0, sin, +, -, x_5, x_0, sqrt, x_6]",(((x_6+sin(x_5))-((x_1+x_0)-x_7))-(x_0-sin(((x_5-x_0)+sqrt(abs(x_6)))))),0.4826441407203674,20.0,201,not_specified,size,california,x_{6} - \left(x_{0} - \sin{\left(- x_{0} + x_{5} + \sqrt{\left|{x_{6}}\right|} \right)}\right) - \left(x_{0} + x_{1} - x_{7}\right) + \sin{\left(x_{5} \right)}
[x_0],x_0,0.701570987701416,1.0,202,not_specified,size,california,x_{0}
"[-, x_0, sin, x_5]",(x_0-sin(x_5)),0.6507494449615479,4.0,202,not_specified,size,california,x_{0} - \sin{\left(x_{5} \right)}
"[+, x_0, -, x_0, sin, x_5]",(x_0+(x_0-sin(x_5))),0.6141564846038818,6.0,202,not_specified,size,california,x_{0} + x_{0} - \sin{\left(x_{5} \right)}
"[+, **, cos, cos, log, x_5, x_5, x_0]",((cos(cos(log(abs(x_5))))**x_5)+x_0),0.5990779399871826,8.0,202,not_specified,size,california,x_{0} + \cos^{x_{5}}{\left(\cos{\left(\log{\left(\left|{x_{5}}\right| \right)} \right)} \right)}
"[-, +, x_0, x_0, sin, x_5]",((x_0+x_0)-sin(x_5)),0.6141564846038818,6.0,202,not_specified,size,california,x_{0} + x_{0} - \sin{\left(x_{5} \right)}
"[-, x_0, sin, sin, x_5]",(x_0-sin(sin(x_5))),0.6379520297050476,5.0,202,not_specified,size,california,x_{0} - \sin{\left(\sin{\left(x_{5} \right)} \right)}
"[+, **, cos, cos, 2.67, x_5, x_0]",((cos(cos(2.67))**x_5)+x_0),0.6063106656074524,7.0,202,not_specified,size,california,x_{0} + \cos^{x_{5}}{\left(\cos{\left(2.67 \right)} \right)}
"[+, **, cos, cos, sqrt, x_7, sin, *, x_5, /, x_2, x_2, +, x_0, sqrt, exp, x_1]",((cos(cos(sqrt(abs(x_7))))**sin((x_5*(x_2/x_2))))+(x_0+sqrt(abs(exp(x_1))))),0.5703291296958923,17.0,202,not_specified,size,california,x_{0} + \sqrt{e^{\operatorname{re}{\left(x_{1}\right)}}} + \cos^{\sin{\left(\frac{x_{2} x_{5}}{x_{2}} \right)}}{\left(\cos{\left(\sqrt{\left|{x_{7}}\right|} \right)} \right)}
"[+, **, cos, cos, +, x_0, 2.67, x_5, x_0]",((cos(cos((x_0+2.67)))**x_5)+x_0),0.5911303162574768,9.0,202,not_specified,size,california,x_{0} + \cos^{x_{5}}{\left(\cos{\left(x_{0} + 2.67 \right)} \right)}
"[+, **, cos, -4.15, -, sin, x_5, sin, x_0, x_0]",((cos(-4.15)**(sin(x_5)-sin(x_0)))+x_0),0.5844985842704773,10.0,202,not_specified,size,california,x_{0} + \cos^{- \sin{\left(x_{0} \right)} + \sin{\left(x_{5} \right)}}{\left(-4.15 \right)}
[x_0],x_0,0.701570987701416,1.0,203,not_specified,size,california,x_{0}
"[+, cos, x_6, x_0]",(cos(x_6)+x_0),0.6931280493736267,4.0,203,not_specified,size,california,x_{0} + \cos{\left(x_{6} \right)}
"[sin, sqrt, exp, u-, x_0]",sin(sqrt(abs(exp(-(x_0))))),0.6894308924674988,5.0,203,not_specified,size,california,\sin{\left(\sqrt{e^{- \operatorname{re}{\left(x_{0}\right)}}} \right)}
