parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[*, cos, *, exp, -0.05, *, *, -4.53, -1.83, cos, 3.05, +, x_7, x_1]",(cos((exp(-0.05)*((-4.53*-1.83)*cos(3.05))))*(x_7+x_1)),3316.923095703125,-0.152029663324356,200,not_specified,feynman,diabets,\left(x_{1} + x_{7}\right) \cos{\left(e^{-0.05} \left(-4.53\right) \left(-1.83\right) \cos{\left(3.05 \right)} \right)}
"[*, cos, -2.26, *, x_1, *, -3.74, *, cos, 4.81, 3.05]",(cos(-2.26)*(x_1*(-3.74*(cos(4.81)*3.05)))),4031.79248046875,-0.15845687687397,200,not_specified,feynman,diabets,\cos{\left(-2.26 \right)} x_{1} \left(-3.74\right) \cos{\left(4.81 \right)} 3.05
"[*, cos, *, 3.05, *, -3.74, *, x_8, 3.05, cos, 3.76]",(cos((3.05*(-3.74*(x_8*3.05))))*cos(3.76)),6058.8427734375,-0.159514844417572,200,not_specified,feynman,diabets,\cos{\left(3.76 \right)} \cos{\left(3.05 \left(-3.74\right) x_{8} \cdot 3.05 \right)}
"[*, exp, +, *, *, -4.53, -1.83, cos, 3.05, exp, exp, x_2, +, x_7, x_1]",(exp((((-4.53*-1.83)*cos(3.05))+exp(exp(x_2))))*(x_7+x_1)),3187.177490234375,-0.1332148015499115,200,not_specified,feynman,diabets,\left(x_{1} + x_{7}\right) e^{e^{e^{x_{2}}} - 4.53 \left(-1.83\right) \cos{\left(3.05 \right)}}
"[*, cos, -2.26, cos, *, 3.05, *, -3.74, *, x_8, 3.05]",(cos(-2.26)*cos((3.05*(-3.74*(x_8*3.05))))),6058.8427734375,-0.159514844417572,200,not_specified,feynman,diabets,\cos{\left(-2.26 \right)} \cos{\left(3.05 \left(-3.74\right) x_{8} \cdot 3.05 \right)}
"[*, cos, *, exp, 4.81, *, *, -4.53, -1.83, cos, 3.05, x_1]",(cos((exp(4.81)*((-4.53*-1.83)*cos(3.05))))*x_1),4031.792236328125,-0.1573580801486969,200,not_specified,feynman,diabets,x_{1} \cos{\left(e^{4.81} \left(-4.53\right) \left(-1.83\right) \cos{\left(3.05 \right)} \right)}
"[*, cos, *, exp, -0.43, *, *, -4.53, -1.83, cos, 3.05, -, cos, x_8, x_1]",(cos((exp(-0.43)*((-4.53*-1.83)*cos(3.05))))*(cos(x_8)-x_1)),3998.877197265625,-0.1536854803562164,200,not_specified,feynman,diabets,\left(- x_{1} + \cos{\left(x_{8} \right)}\right) \cos{\left(e^{-0.43} \left(-4.53\right) \left(-1.83\right) \cos{\left(3.05 \right)} \right)}
"[cos, *, 3.05, *, -3.74, *, -0.74, *, -4.53, 3.05]",cos((3.05*(-3.74*(-0.74*(-4.53*3.05))))),6137.94873046875,-0.1616813987493515,200,not_specified,feynman,diabets,\cos{\left(3.05 \left(-3.74\right) \left(-0.74\right) \left(-4.53\right) 3.05 \right)}
"[*, cos, -2.26, *, x_1, *, -3.74, *, cos, x_0, 3.05]",(cos(-2.26)*(x_1*(-3.74*(cos(x_0)*3.05)))),4031.257080078125,-0.1572274416685104,200,not_specified,feynman,diabets,\cos{\left(-2.26 \right)} x_{1} \left(-3.74\right) \cos{\left(x_{0} \right)} 3.05
"[cos, *, 3.05, *, -3.74, *, 4.68, *, -4.53, x_9]",cos((3.05*(-3.74*(4.68*(-4.53*x_9))))),6123.3125,-0.1599063426256179,200,not_specified,feynman,diabets,\cos{\left(3.05 \left(-3.74\right) 4.68 \left(-4.53\right) x_{9} \right)}
"[*, *, *, cos, **, x_0, x_0, -3.74, +, x_1, cos, cos, 3.05, +, x_7, x_1]",(((cos((x_0**x_0))*-3.74)*(x_1+cos(cos(3.05))))*(x_7+x_1)),3207.728759765625,-0.1370133459568023,200,not_specified,feynman,diabets,\cos{\left(x_{0}^{x_{0}} \right)} \left(-3.74\right) \left(x_{1} + \cos{\left(\cos{\left(3.05 \right)} \right)}\right) \left(x_{1} + x_{7}\right)
"[*, -2.26, *, 3.05, *, -3.74, *, 3.05, cos, 3.05]",(-2.26*(3.05*(-3.74*(3.05*cos(3.05))))),6137.94873046875,-0.1616813987493515,200,not_specified,feynman,diabets,\left(-2.26\right) 3.05 \left(-3.74\right) 3.05 \cos{\left(3.05 \right)}
"[exp, +, sin, *, +, x_2, x_2, sqrt, x_1, +, x_7, x_1]",exp((sin(((x_2+x_2)*sqrt(abs(x_1))))+(x_7+x_1))),3151.81494140625,-0.1040054857730865,200,not_specified,feynman,diabets,e^{x_{1} + x_{7} + \sin{\left(\left(x_{2} + x_{2}\right) \sqrt{\left|{x_{1}}\right|} \right)}}
"[*, cos, -3.74, cos, *, 3.05, *, -3.74, *, x_8, 3.05]",(cos(-3.74)*cos((3.05*(-3.74*(x_8*3.05))))),6058.8427734375,-0.159514844417572,200,not_specified,feynman,diabets,\cos{\left(-3.74 \right)} \cos{\left(3.05 \left(-3.74\right) x_{8} \cdot 3.05 \right)}
"[cos, *, 3.05, *, 3.05, *, -3.74, *, x_8, -2.26]",cos((3.05*(3.05*(-3.74*(x_8*-2.26))))),6107.29150390625,-0.1598105132579803,200,not_specified,feynman,diabets,\cos{\left(3.05 \cdot 3.05 \left(-3.74\right) x_{8} \left(-2.26\right) \right)}
"[cos, *, 3.05, *, -3.74, *, x_0, *, 3.05, 3.05]",cos((3.05*(-3.74*(x_0*(3.05*3.05))))),6133.6259765625,-0.1603348553180694,200,not_specified,feynman,diabets,\cos{\left(3.05 \left(-3.74\right) x_{0} \cdot 3.05 \cdot 3.05 \right)}
