parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[u-, u-, u-, u-, exp, x_1]",-(-(-(-(exp(x_1))))),4026.849609375,-0.1408609449863433,200,not_specified,neuralnet-counts-elastic_model,diabets,e^{x_{1}}
"[u-, u-, u-, **2, u-, x_8]",-(-(-((-(x_8))**2))),5959.197265625,-0.1483522057533264,200,not_specified,neuralnet-counts-elastic_model,diabets,- \left(- x_{8}\right)^{2}
"[u-, u-, u-, u-, +, x_2, x_1]",-(-(-(-((x_2+x_1))))),3849.873291015625,-0.1395556777715683,200,not_specified,neuralnet-counts-elastic_model,diabets,x_{1} + x_{2}
"[**2, u-, u-, u-, u-, x_8]",(-(-(-(-(x_8)))))**2,5959.197265625,-0.1483522057533264,200,not_specified,neuralnet-counts-elastic_model,diabets,x_{8}^{2}
"[u-, u-, u-, **2, u-, x_2]",-(-(-((-(x_2))**2))),5986.51416015625,-0.1483929306268692,200,not_specified,neuralnet-counts-elastic_model,diabets,- \left(- x_{2}\right)^{2}
"[u-, u-, u-, u-, u-, x_7]",-(-(-(-(-(x_7))))),4205.56591796875,-0.1453734636306762,200,not_specified,neuralnet-counts-elastic_model,diabets,- x_{7}
"[u-, u-, u-, u-, u-, x_1]",-(-(-(-(-(x_1))))),4031.79248046875,-0.1447654664516449,200,not_specified,neuralnet-counts-elastic_model,diabets,- x_{1}
"[u-, u-, u-, *, u-, x_2, x_10]",-(-(-((-(x_2)*x_10)))),5308.68310546875,-0.1481870412826538,200,not_specified,neuralnet-counts-elastic_model,diabets,- x_{10} \left(- x_{2}\right)
"[u-, u-, *, u-, **2, x_8, x_10]",-(-((-((x_8)**2)*x_10))),5955.50390625,-0.1483226120471954,200,not_specified,neuralnet-counts-elastic_model,diabets,x_{10} \left(- x_{8}^{2}\right)
"[u-, u-, u-, *, cos, x_10, x_6]",-(-(-((cos(x_10)*x_6)))),4965.130859375,-0.1474390029907226,200,not_specified,neuralnet-counts-elastic_model,diabets,- x_{6} \cos{\left(x_{10} \right)}
"[u-, u-, u-, -, u-, x_6, x_1]",-(-(-((-(x_6)-x_1)))),3867.55517578125,-0.1400296837091446,200,not_specified,neuralnet-counts-elastic_model,diabets,x_{1} + x_{6}
"[u-, u-, u-, u-, **2, x_2]",-(-(-(-((x_2)**2)))),5986.51416015625,-0.1483929306268692,200,not_specified,neuralnet-counts-elastic_model,diabets,x_{2}^{2}
"[u-, u-, u-, -, u-, x_2, exp, x_1]",-(-(-((-(x_2)-exp(x_1))))),3833.263916015625,-0.1354359239339828,200,not_specified,neuralnet-counts-elastic_model,diabets,x_{2} + e^{x_{1}}
"[u-, +, x_2, **2, +, x_7, exp, x_1]",-((x_2+((x_7+exp(x_1)))**2)),3172.186279296875,-0.1199147477746009,200,not_specified,neuralnet-counts-elastic_model,diabets,- x_{2} - \left(x_{7} + e^{x_{1}}\right)^{2}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, u-, u-, u-, exp, x_6]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*-(-(-(exp(x_6))))),3127.212646484375,-0.1087579652667045,200,not_specified,neuralnet-counts-elastic_model,diabets,\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} \left(- e^{x_{6}}\right)
"[**2, u-, u-, *, u-, x_8, x_10]",(-(-((-(x_8)*x_10))))**2,5955.50390625,-0.1483226120471954,200,not_specified,neuralnet-counts-elastic_model,diabets,\left(x_{10} \left(- x_{8}\right)\right)^{2}
"[u-, u-, u-, -, x_6, u-, x_1]",-(-(-((x_6--(x_1))))),3867.55517578125,-0.1400296837091446,200,not_specified,neuralnet-counts-elastic_model,diabets,- x_{1} - x_{6}
"[u-, u-, u-, -, u-, x_7, exp, x_1]",-(-(-((-(x_7)-exp(x_1))))),3303.342529296875,-0.1318217068910598,200,not_specified,neuralnet-counts-elastic_model,diabets,x_{7} + e^{x_{1}}
"[u-, **2, u-, *, u-, x_8, x_10]",-((-((-(x_8)*x_10)))**2),5955.50390625,-0.1483226120471954,200,not_specified,neuralnet-counts-elastic_model,diabets,- \left(- x_{10} \left(- x_{8}\right)\right)^{2}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, /, **, exp, -, x_7, x_5, **3, exp, x_8, u-, cos, u-, 2.62]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*((exp((x_7-x_5))**(exp(x_8))**3)/-(cos(-(2.62))))),3052.740234375,-0.0884390622377395,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} \left(e^{- x_{5} + x_{7}}\right)^{\left(e^{x_{8}}\right)^{3}}}{\left(-1\right) \cos{\left(-2.62 \right)}}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, /, **, exp, -, x_7, x_5, cos, x_6, u-, cos, x_6]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*((exp((x_7-x_5))**cos(x_6))/-(cos(x_6)))),3059.31396484375,-0.090183138847351,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} \left(e^{- x_{5} + x_{7}}\right)^{\cos{\left(x_{6} \right)}}}{\left(-1\right) \cos{\left(x_{6} \right)}}
"[*, **2, u-, u-, exp, x_1, u-, u-, +, x_7, exp, x_2]",((-(-(exp(x_1))))**2*-(-((x_7+exp(x_2))))),3208.829833984375,-0.1236353367567062,200,not_specified,neuralnet-counts-elastic_model,diabets,\left(x_{7} + e^{x_{2}}\right) \left(e^{x_{1}}\right)^{2}
"[u-, u-, u-, u-, +, x_7, x_1]",-(-(-(-((x_7+x_1))))),3316.92431640625,-0.1349299252033233,200,not_specified,neuralnet-counts-elastic_model,diabets,x_{1} + x_{7}
"[-, u-, u-, -, u-, x_7, exp, x_1, u-, u-, u-, cos, x_2]",(-(-((-(x_7)-exp(x_1))))--(-(-(cos(x_2))))),3286.831298828125,-0.1283280998468399,200,not_specified,neuralnet-counts-elastic_model,diabets,\left(- x_{7} - e^{x_{1}}\right) - - \cos{\left(x_{2} \right)}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, /, **, exp, -, x_7, x_5, **3, exp, x_8, u-, cos, u-, x_2]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*((exp((x_7-x_5))**(exp(x_8))**3)/-(cos(-(x_2))))),3050.904541015625,-0.0879540741443634,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} \left(e^{- x_{5} + x_{7}}\right)^{\left(e^{x_{8}}\right)^{3}}}{\left(-1\right) \cos{\left(- x_{2} \right)}}
"[u-, u-, u-, -, u-, x_7, x_2]",-(-(-((-(x_7)-x_2)))),3963.15380859375,-0.1406519114971161,200,not_specified,neuralnet-counts-elastic_model,diabets,x_{2} + x_{7}
"[-, u-, u-, -, u-, x_7, exp, x_1, **2, u-, x_2]",(-(-((-(x_7)-exp(x_1))))-(-(x_2))**2),3272.1904296875,-0.127377837896347,200,not_specified,neuralnet-counts-elastic_model,diabets,- \left(- x_{2}\right)^{2} - \left(x_{7} + e^{x_{1}}\right)
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, /, **, exp, -, x_7, x_5, exp, -, x_7, x_5, u-, cos, u-, 2.62]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*((exp((x_7-x_5))**exp((x_7-x_5)))/-(cos(-(2.62))))),3072.709228515625,-0.0907091870903968,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} \left(e^{- x_{5} + x_{7}}\right)^{e^{- x_{5} + x_{7}}}}{\left(-1\right) \cos{\left(-2.62 \right)}}
"[u-, u-, *, *, u-, x_10, x_10, x_10]",-(-(((-(x_10)*x_10)*x_10))),6123.3125,-0.150748923420906,200,not_specified,neuralnet-counts-elastic_model,diabets,- x_{10} x_{10} x_{10}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, /, **, exp, -, x_7, x_5, **3, exp, x_8, u-, cos, sqrt, x_6]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*((exp((x_7-x_5))**(exp(x_8))**3)/-(cos(sqrt(abs(x_6)))))),3050.467041015625,-0.0827754586935043,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} \left(e^{- x_{5} + x_{7}}\right)^{\left(e^{x_{8}}\right)^{3}}}{\left(-1\right) \cos{\left(\sqrt{\left|{x_{6}}\right|} \right)}}
"[*, **2, -, +, x_7, cos, x_6, -, u-, x_1, **2, x_6, /, **, exp, -, x_2, x_5, **3, exp, x_3, u-, cos, x_6]",((((x_7+cos(x_6))-(-(x_1)-(x_6)**2)))**2*((exp((x_2-x_5))**(exp(x_3))**3)/-(cos(x_6)))),3084.00537109375,-0.0909502357244491,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{6}^{2}\right) + \cos{\left(x_{6} \right)}\right)^{2} \left(e^{x_{2} - x_{5}}\right)^{\left(e^{x_{3}}\right)^{3}}}{\left(-1\right) \cos{\left(x_{6} \right)}}
"[u-, u-, u-, u-, u-, x_8]",-(-(-(-(-(x_8))))),5173.40966796875,-0.1477482765913009,200,not_specified,neuralnet-counts-elastic_model,diabets,- x_{8}
"[*, **2, **2, +, x_7, exp, x_1, u-, u-, +, x_2, exp, x_2]",((((x_7+exp(x_1)))**2)**2*-(-((x_2+exp(x_2))))),3128.302001953125,-0.1120507195591926,200,not_specified,neuralnet-counts-elastic_model,diabets,\left(x_{2} + e^{x_{2}}\right) \left(\left(x_{7} + e^{x_{1}}\right)^{2}\right)^{2}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, /, exp, u-, x_5, u-, cos, -, x_0, x_4]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*(exp(-(x_5))/-(cos((x_0-x_4))))),3091.625732421875,-0.1008049398660659,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} e^{- x_{5}}}{\left(-1\right) \cos{\left(x_{0} - x_{4} \right)}}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, /, exp, u-, x_5, u-, **, **, x_0, 0.5, **2, x_6]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*(exp(-(x_5))/-(((x_0**0.5)**(x_6)**2)))),3087.653076171875,-0.0968038216233253,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} e^{- x_{5}}}{\left(-1\right) \left(x_{0}^{0.5}\right)^{x_{6}^{2}}}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, /, exp, u-, x_5, u-, cos, *, x_6, x_2]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*(exp(-(x_5))/-(cos((x_6*x_2))))),3091.65673828125,-0.102735549211502,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} e^{- x_{5}}}{\left(-1\right) \cos{\left(x_{2} x_{6} \right)}}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, x_1, /, **, exp, u-, x_5, **3, exp, x_8, u-, cos, x_6]",((((x_7+exp(x_2))-(-(x_1)-x_1)))**2*((exp(-(x_5))**(exp(x_8))**3)/-(cos(x_6)))),3073.830322265625,-0.0907588601112365,200,not_specified,neuralnet-counts-elastic_model,diabets,\frac{\left(x_{7} - \left(- x_{1} - x_{1}\right) + e^{x_{2}}\right)^{2} \left(e^{- x_{5}}\right)^{\left(e^{x_{8}}\right)^{3}}}{\left(-1\right) \cos{\left(x_{6} \right)}}
"[*, **2, -, +, x_7, exp, x_2, -, u-, x_1, u-, x_5, u-, u-, exp, **2, x_2]",((((x_7+exp(x_2))-(-(x_1)--(x_5))))**2*-(-(exp((x_2)**2)))),3130.786865234375,-0.1147718280553817,200,not_specified,neuralnet-counts-elastic_model,diabets,\left(x_{7} - \left(- x_{1} - - x_{5}\right) + e^{x_{2}}\right)^{2} e^{x_{2}^{2}}
"[**2, +, x_2, **2, +, x_7, exp, x_1]",((x_2+((x_7+exp(x_1)))**2))**2,3140.9169921875,-0.1170263290405273,200,not_specified,neuralnet-counts-elastic_model,diabets,\left(x_{2} + \left(x_{7} + e^{x_{1}}\right)^{2}\right)^{2}
"[+, *, *, **2, **2, x_8, **2, **2, x_9, **, /, **2, x_4, **2, x_4, **2, **2, x_9, +, x_1, cos, -, x_7, cos, x_8]",(((((x_8)**2)**2*((x_9)**2)**2)*(((x_4)**2/(x_4)**2)**((x_9)**2)**2))+(x_1+cos((x_7-cos(x_8))))),3294.23388671875,-0.049225628376007,201,not_specified,neuralnet-counts-elastic_model,diabets,x_{1} + \left(\frac{x_{4}^{2}}{x_{4}^{2}}\right)^{\left(x_{9}^{2}\right)^{2}} \left(x_{8}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2} + \cos{\left(x_{7} - \cos{\left(x_{8} \right)} \right)}
"[/, *, *, u-, x_1, **, **2, x_9, **2, x_4, **, /, **2, x_4, **2, x_4, **2, u-, x_4, *, *, **2, **2, x_4, **2, **2, x_4, *, **2, **2, x_4, **2, **2, x_9]",(((-(x_1)*((x_9)**2**(x_4)**2))*(((x_4)**2/(x_4)**2)**(-(x_4))**2))/((((x_4)**2)**2*((x_4)**2)**2)*(((x_4)**2)**2*((x_9)**2)**2))),4033.4013671875,-0.0789605602622032,201,not_specified,neuralnet-counts-elastic_model,diabets,\frac{- x_{1} x_{9}^{2^{x_{4}^{2}}} \left(\frac{x_{4}^{2}}{x_{4}^{2}}\right)^{\left(- x_{4}\right)^{2}}}{\left(x_{4}^{2}\right)^{2} \left(x_{4}^{2}\right)^{2} \left(x_{4}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2}}
"[+, *, *, **2, **2, x_4, **2, **2, x_9, **, /, **2, x_4, **2, x_4, **2, **2, x_9, +, x_1, cos, -, x_7, cos, x_8]",(((((x_4)**2)**2*((x_9)**2)**2)*(((x_4)**2/(x_4)**2)**((x_9)**2)**2))+(x_1+cos((x_7-cos(x_8))))),3294.519287109375,-0.0493058711290359,201,not_specified,neuralnet-counts-elastic_model,diabets,x_{1} + \left(\frac{x_{4}^{2}}{x_{4}^{2}}\right)^{\left(x_{9}^{2}\right)^{2}} \left(x_{4}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2} + \cos{\left(x_{7} - \cos{\left(x_{8} \right)} \right)}
"[/, *, *, **2, **2, x_4, **2, **2, x_9, *, *, u-, x_7, sqrt, x_9, **2, **2, x_9, *, *, **2, **2, x_4, **2, **2, x_9, *, **2, **2, x_9, **2, **2, x_9]",(((((x_4)**2)**2*((x_9)**2)**2)*((-(x_7)*sqrt(abs(x_9)))*((x_9)**2)**2))/((((x_4)**2)**2*((x_9)**2)**2)*(((x_9)**2)**2*((x_9)**2)**2))),5245.3271484375,-0.0852129384875297,201,not_specified,neuralnet-counts-elastic_model,diabets,\frac{- x_{7} \left(x_{4}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2} \sqrt{\left|{x_{9}}\right|}}{\left(x_{4}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2}}
"[/, *, *, u-, x_1, **, **2, x_9, **2, x_4, **, /, **2, x_4, *, x_9, x_4, **2, u-, x_4, *, *, **2, **2, x_4, **2, **2, x_9, *, **2, **2, x_4, **2, **2, x_9]",(((-(x_1)*((x_9)**2**(x_4)**2))*(((x_4)**2/(x_9*x_4))**(-(x_4))**2))/((((x_4)**2)**2*((x_9)**2)**2)*(((x_4)**2)**2*((x_9)**2)**2))),4186.59521484375,-0.07998026907444,201,not_specified,neuralnet-counts-elastic_model,diabets,\frac{- x_{1} x_{9}^{2^{x_{4}^{2}}} \left(\frac{x_{4}^{2}}{x_{4} x_{9}}\right)^{\left(- x_{4}\right)^{2}}}{\left(x_{4}^{2}\right)^{2} \left(x_{4}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2} \left(x_{9}^{2}\right)^{2}}
"[*, **, *, **2, u-, x_9, /, **2, x_4, **2, x_4, /, u-, *, x_9, x_9, /, **2, x_4, **2, x_9, +, x_1, cos, -, x_7, cos, x_8]",((((-(x_9))**2*((x_4)**2/(x_4)**2))**(-((x_9*x_9))/((x_4)**2/(x_9)**2)))*(x_1+cos((x_7-cos(x_8))))),3294.60546875,-0.0501425042748451,201,not_specified,neuralnet-counts-elastic_model,diabets,\left(\frac{x_{4}^{2} \left(- x_{9}\right)^{2}}{x_{4}^{2}}\right)^{\frac{\left(-1\right) x_{9} x_{9}}{x_{4}^{2} \cdot \frac{1}{x_{9}^{2}}}} \left(x_{1} + \cos{\left(x_{7} - \cos{\left(x_{8} \right)} \right)}\right)
"[+, *, +, u-, -, x_5, x_7, x_2, **, /, **2, x_4, **2, x_4, **2, **2, x_9, *, *, u-, x_1, u-, exp, x_4, **, /, u-, x_1, **2, x_10, **2, sin, x_6]",(((-((x_5-x_7))+x_2)*(((x_4)**2/(x_4)**2)**((x_9)**2)**2))+((-(x_1)*-(exp(x_4)))*((-(x_1)/(x_10)**2)**(sin(x_6))**2))),3212.596923828125,-0.0448524132370948,201,not_specified,neuralnet-counts-elastic_model,diabets,- x_{1} \left(\frac{\left(-1\right) x_{1}}{x_{10}^{2}}\right)^{\sin^{2}{\left(x_{6} \right)}} \left(- e^{x_{4}}\right) + \left(\frac{x_{4}^{2}}{x_{4}^{2}}\right)^{\left(x_{9}^{2}\right)^{2}} \left(x_{2} - \left(x_{5} - x_{7}\right)\right)
"[+, u-, +, u-, -, x_5, x_7, x_2, *, *, u-, x_1, **, x_6, *, x_6, x_2, **, sin, sin, x_5, u-, -, x_6, x_5]",(-((-((x_5-x_7))+x_2))+((-(x_1)*(x_6**(x_6*x_2)))*(sin(sin(x_5))**-((x_6-x_5))))),3161.8369140625,-0.0135291302576661,201,not_specified,neuralnet-counts-elastic_model,diabets,- x_{1} x_{6}^{x_{2} x_{6}} \sin^{x_{5} - x_{6}}{\left(\sin{\left(x_{5} \right)} \right)} - \left(x_{2} - x_{5} + x_{7}\right)
"[+, u-, +, u-, -, x_5, x_7, x_2, *, *, u-, x_1, **, x_4, *, x_6, x_2, **, sin, sin, x_5, u-, -, x_6, x_5]",(-((-((x_5-x_7))+x_2))+((-(x_1)*(x_4**(x_6*x_2)))*(sin(sin(x_5))**-((x_6-x_5))))),3162.0517578125,-0.015942845493555,201,not_specified,neuralnet-counts-elastic_model,diabets,- x_{1} x_{4}^{x_{2} x_{6}} \sin^{x_{5} - x_{6}}{\left(\sin{\left(x_{5} \right)} \right)} - \left(x_{2} - x_{5} + x_{7}\right)
"[+, *, +, u-, -, x_5, x_7, x_2, **, /, **2, x_4, **2, x_4, **2, **2, x_9, *, *, u-, x_1, u-, exp, x_4, **, /, u-, x_1, **2, x_5, **2, sin, x_6]",(((-((x_5-x_7))+x_2)*(((x_4)**2/(x_4)**2)**((x_9)**2)**2))+((-(x_1)*-(exp(x_4)))*((-(x_1)/(x_5)**2)**(sin(x_6))**2))),3214.129638671875,-0.0475778132677078,201,not_specified,neuralnet-counts-elastic_model,diabets,- x_{1} \left(\frac{\left(-1\right) x_{1}}{x_{5}^{2}}\right)^{\sin^{2}{\left(x_{6} \right)}} \left(- e^{x_{4}}\right) + \left(\frac{x_{4}^{2}}{x_{4}^{2}}\right)^{\left(x_{9}^{2}\right)^{2}} \left(x_{2} - \left(x_{5} - x_{7}\right)\right)
