parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
[x_7],x_7,4205.56591796875,-78.9000015258789,200,not_specified,phi,diabets,x_{7}
"[u-, x_1]",-(x_1),4031.79248046875,-78.19999694824219,200,not_specified,phi,diabets,- x_{1}
"[-, x_1, x_5]",(x_1-x_5),3982.12109375,-78.0,200,not_specified,phi,diabets,x_{1} - x_{5}
"[-, x_1, u-, x_7]",(x_1--(x_7)),3316.92431640625,-77.30000305175781,200,not_specified,phi,diabets,x_{1} - - x_{7}
"[-, x_2, u-, +, x_1, x_7]",(x_2--((x_1+x_7))),3316.5966796875,-76.4000015258789,200,not_specified,phi,diabets,x_{2} - \left(- x_{1} - x_{7}\right)
"[+, -, x_1, u-, x_2, x_7]",((x_1--(x_2))+x_7),3316.5966796875,-76.4000015258789,200,not_specified,phi,diabets,x_{1} - - x_{2} + x_{7}
"[u-, +, +, x_1, x_2, x_7]",-(((x_1+x_2)+x_7)),3316.5966796875,-76.4000015258789,200,not_specified,phi,diabets,- x_{1} - x_{2} - x_{7}
"[-, +, +, x_1, x_2, x_7, u-, +, -, x_1, x_3, x_7]",(((x_1+x_2)+x_7)--(((x_1-x_3)+x_7))),3166.2802734375,-73.69999694824219,200,not_specified,phi,diabets,x_{1} + x_{2} + x_{7} - \left(- x_{1} + x_{3} - x_{7}\right)
"[+, x_1, -, +, +, x_1, x_2, x_7, x_5]",(x_1+(((x_1+x_2)+x_7)-x_5)),3169.378662109375,-75.30000305175781,200,not_specified,phi,diabets,x_{1} + x_{1} + x_{2} - x_{5} + x_{7}
"[+, +, x_1, +, x_1, x_2, x_7]",((x_1+(x_1+x_2))+x_7),3267.9873046875,-76.19999694824219,200,not_specified,phi,diabets,x_{1} + x_{1} + x_{2} + x_{7}
"[+, -, -, -, -, x_1, x_3, u-, x_1, u-, +, x_7, x_7, u-, +, +, x_1, x_2, sqrt, x_2, -, x_1, u-, +, +, x_6, x_2, x_7]",(((((x_1-x_3)--(x_1))--((x_7+x_7)))--(((x_1+x_2)+sqrt(abs(x_2)))))+(x_1--(((x_6+x_2)+x_7)))),3062.512451171875,-57.59999847412109,200,not_specified,phi,diabets,x_{1} - - x_{1} + x_{1} - x_{3} - - 2 x_{7} - \left(- x_{1} - x_{2} - \sqrt{\left|{x_{2}}\right|}\right) - \left(- x_{2} - x_{6} - x_{7}\right)
