parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
[x_1],x_1,4031.79248046875,1.0,200,not_specified,size,diabets,x_{1}
"[+, x_7, x_1]",(x_7+x_1),3316.92431640625,3.0,200,not_specified,size,diabets,x_{1} + x_{7}
"[exp, x_1]",exp(x_1),4026.849609375,2.0,200,not_specified,size,diabets,e^{x_{1}}
"[**2, exp, +, +, x_2, x_7, x_1]",(exp(((x_2+x_7)+x_1)))**2,3231.925048828125,7.0,200,not_specified,size,diabets,\left(e^{x_{1} + x_{2} + x_{7}}\right)^{2}
"[**3, +, sin, +, +, x_7, x_2, x_1, exp, +, x_6, x_1]",((sin(((x_7+x_2)+x_1))+exp((x_6+x_1))))**3,3154.976318359375,12.0,200,not_specified,size,diabets,\left(e^{x_{1} + x_{6}} + \sin{\left(x_{1} + x_{2} + x_{7} \right)}\right)^{3}
"[+, exp, +, +, x_2, x_7, x_1, x_1]",(exp(((x_2+x_7)+x_1))+x_1),3225.38623046875,8.0,200,not_specified,size,diabets,x_{1} + e^{x_{1} + x_{2} + x_{7}}
"[*, +, x_7, x_1, exp, x_2]",((x_7+x_1)*exp(x_2)),3259.4921875,6.0,200,not_specified,size,diabets,\left(x_{1} + x_{7}\right) e^{x_{2}}
"[**2, +, exp, x_1, x_7]",((exp(x_1)+x_7))**2,3293.734375,5.0,200,not_specified,size,diabets,\left(x_{7} + e^{x_{1}}\right)^{2}
"[**3, +, sin, +, +, x_7, x_2, x_1, exp, sin, x_1]",((sin(((x_7+x_2)+x_1))+exp(sin(x_1))))**3,3181.810302734375,11.0,200,not_specified,size,diabets,\left(e^{\sin{\left(x_{1} \right)}} + \sin{\left(x_{1} + x_{2} + x_{7} \right)}\right)^{3}
"[*, +, sin, x_2, exp, exp, x_7, exp, x_1]",((sin(x_2)+exp(exp(x_7)))*exp(x_1)),3185.240478515625,9.0,200,not_specified,size,diabets,\left(e^{e^{x_{7}}} + \sin{\left(x_{2} \right)}\right) e^{x_{1}}
