parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[+, x_3, *, x_0, x_1]",(x_3+(x_0*x_1)),8.873188972473145,-0.1023987233638763,200,not_specified,feynman,friedman1,x_{0} x_{1} + x_{3}
"[+, +, sin, x_1, *, sin, x_0, x_3, +, +, x_0, x_3, x_4]",((sin(x_1)+(sin(x_0)*x_3))+((x_0+x_3)+x_4)),6.059526443481445,-0.0770902633666992,200,not_specified,feynman,friedman1,x_{0} + x_{3} \sin{\left(x_{0} \right)} + x_{3} + x_{4} + \sin{\left(x_{1} \right)}
"[+, +, sin, x_1, *, sin, sin, x_0, x_3, +, +, x_0, x_3, x_4]",((sin(x_1)+(sin(sin(x_0))*x_3))+((x_0+x_3)+x_4)),5.951157093048096,-0.0747515261173248,200,not_specified,feynman,friedman1,x_{0} + x_{3} \sin{\left(\sin{\left(x_{0} \right)} \right)} + x_{3} + x_{4} + \sin{\left(x_{1} \right)}
"[*, *, sin, *, **, x_1, x_0, x_0, x_3, 3.34]",((sin(((x_1**x_0)*x_0))*x_3)*3.34),11.307127952575684,-0.1055284067988395,200,not_specified,feynman,friedman1,\sin{\left(x_{0} x_{1}^{x_{0}} \right)} x_{3} \cdot 3.34
"[+, *, sin, sqrt, *, 2.16, x_0, x_4, +, +, sin, x_1, *, sin, x_0, x_3, **3, x_3]",((sin(sqrt(abs((2.16*x_0))))*x_4)+((sin(x_1)+(sin(x_0)*x_3))+(x_3)**3)),6.322237491607666,-0.0821562856435775,200,not_specified,feynman,friedman1,x_{3}^{3} + x_{3} \sin{\left(x_{0} \right)} + x_{4} \sin{\left(\sqrt{2.16 \left|{x_{0}}\right|} \right)} + \sin{\left(x_{1} \right)}
"[*, *, *, 2.18, *, *, -1.34, 3.34, x_4, x_0, x_3]",(((2.18*((-1.34*3.34)*x_4))*x_0)*x_3),13.58170223236084,-0.1098773181438446,200,not_specified,feynman,friedman1,2.18 \left(-1.34\right) 3.34 x_{4} x_{0} x_{3}
"[sqrt, *, x_3, sqrt, *, x_0, *, x_1, x_4]",sqrt(abs((x_3*sqrt(abs((x_0*(x_1*x_4))))))),7.0257439613342285,-0.097323402762413,200,not_specified,feynman,friedman1,\sqrt{\left|{x_{3}}\right| \sqrt{\left|{x_{0} x_{1} x_{4}}\right|}}
"[+, +, sin, x_1, *, sin, x_0, exp, *, -4.38, x_2, +, +, x_0, x_3, x_4]",((sin(x_1)+(sin(x_0)*exp((-4.38*x_2))))+((x_0+x_3)+x_4)),6.172701358795166,-0.0780521407723426,200,not_specified,feynman,friedman1,x_{0} + x_{3} + x_{4} + \sin{\left(x_{1} \right)} + e^{- 4.38 x_{2}} \sin{\left(x_{0} \right)}
"[+, +, +, x_1, x_3, sin, x_0, +, *, sin, x_1, **3, u-, x_1, +, +, sqrt, x_1, sin, x_0, +, x_3, x_4]",(((x_1+x_3)+sin(x_0))+((sin(x_1)*(-(x_1))**3)+((sqrt(abs(x_1))+sin(x_0))+(x_3+x_4)))),4.793233871459961,-0.0557281076908111,200,not_specified,feynman,friedman1,\left(- x_{1}\right)^{3} \sin{\left(x_{1} \right)} + x_{1} + x_{3} + x_{3} + x_{4} + \sin{\left(x_{0} \right)} + \sin{\left(x_{0} \right)} + \sqrt{\left|{x_{1}}\right|}
"[*, *, *, 2.18, *, *, x_5, x_4, x_0, x_0, x_2]",(((2.18*((x_5*x_4)*x_0))*x_0)*x_2),22.07138442993164,-0.1142957210540771,200,not_specified,feynman,friedman1,2.18 x_{0} x_{0} x_{2} x_{4} x_{5}
