parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[exp, u-, u-, exp, u-, x_0]",exp(-(-(exp(-(x_0))))),18.86622428894043,-0.1414405256509781,200,not_specified,neuralnet-counts-elastic_model,friedman1,e^{e^{- x_{0}}}
"[u-, exp, u-, exp, u-, x_3]",-(exp(-(exp(-(x_3))))),15.423136711120604,-0.1403721272945404,200,not_specified,neuralnet-counts-elastic_model,friedman1,- e^{- e^{- x_{3}}}
"[exp, u-, u-, exp, u-, x_1]",exp(-(-(exp(-(x_1))))),20.066755294799805,-0.1431171596050262,200,not_specified,neuralnet-counts-elastic_model,friedman1,e^{e^{- x_{1}}}
"[u-, exp, u-, u-, u-, x_1]",-(exp(-(-(-(x_1))))),20.265851974487305,-0.143297791481018,200,not_specified,neuralnet-counts-elastic_model,friedman1,- e^{- x_{1}}
"[u-, exp, u-, exp, exp, x_1]",-(exp(-(exp(exp(x_1))))),19.740625381469727,-0.1425511240959167,200,not_specified,neuralnet-counts-elastic_model,friedman1,- e^{- e^{e^{x_{1}}}}
"[u-, u-, u-, u-, exp, x_3]",-(-(-(-(exp(x_3))))),15.493168830871582,-0.140433520078659,200,not_specified,neuralnet-counts-elastic_model,friedman1,e^{x_{3}}
"[u-, exp, u-, +, x_3, sin, x_1]",-(exp(-((x_3+sin(x_1))))),11.88954734802246,-0.1350017786026001,200,not_specified,neuralnet-counts-elastic_model,friedman1,- e^{- x_{3} - \sin{\left(x_{1} \right)}}
"[u-, u-, exp, u-, +, x_1, x_3]",-(-(exp(-((x_1+x_3))))),12.298108100891112,-0.1366551667451858,200,not_specified,neuralnet-counts-elastic_model,friedman1,e^{- x_{1} - x_{3}}
"[u-, u-, u-, +, x_3, sin, x_1]",-(-(-((x_3+sin(x_1))))),11.86626148223877,-0.1349964141845703,200,not_specified,neuralnet-counts-elastic_model,friedman1,- x_{3} - \sin{\left(x_{1} \right)}
"[exp, exp, u-, exp, u-, x_3]",exp(exp(-(exp(-(x_3))))),15.39536952972412,-0.1400461196899414,200,not_specified,neuralnet-counts-elastic_model,friedman1,e^{e^{- e^{- x_{3}}}}
"[u-, u-, u-, +, x_3, +, x_1, x_0]",-(-(-((x_3+(x_1+x_0))))),8.435291290283203,-0.1300829201936721,200,not_specified,neuralnet-counts-elastic_model,friedman1,- x_{0} - x_{1} - x_{3}
"[u-, u-, +, x_3, sin, sin, x_0]",-(-((x_3+sin(sin(x_0))))),10.646788597106934,-0.1306686699390411,200,not_specified,neuralnet-counts-elastic_model,friedman1,x_{3} + \sin{\left(\sin{\left(x_{0} \right)} \right)}
"[u-, u-, u-, +, x_3, sin, x_0]",-(-(-((x_3+sin(x_0))))),10.81336784362793,-0.1336896121501922,200,not_specified,neuralnet-counts-elastic_model,friedman1,- x_{3} - \sin{\left(x_{0} \right)}
"[exp, u-, exp, u-, +, x_1, x_3]",exp(-(exp(-((x_1+x_3))))),12.20811367034912,-0.1360536813735962,200,not_specified,neuralnet-counts-elastic_model,friedman1,e^{- e^{- x_{1} - x_{3}}}
"[u-, u-, u-, +, +, x_1, x_3, +, x_0, x_4]",-(-(-(((x_1+x_3)+(x_0+x_4))))),6.859220027923584,-0.1230581775307655,200,not_specified,neuralnet-counts-elastic_model,friedman1,- x_{0} - x_{1} - x_{3} - x_{4}
"[u-, +, x_0, +, u-, u-, x_1, x_3]",-((x_0+(-(-(x_1))+x_3))),8.435291290283203,-0.1300829201936721,200,not_specified,neuralnet-counts-elastic_model,friedman1,- x_{0} - x_{1} - x_{3}
"[u-, u-, u-, +, +, x_1, x_0, +, x_3, x_4]",-(-(-(((x_1+x_0)+(x_3+x_4))))),6.859220027923584,-0.1230581775307655,200,not_specified,neuralnet-counts-elastic_model,friedman1,- x_{0} - x_{1} - x_{3} - x_{4}
"[sqrt, u-, u-, +, +, x_1, x_3, +, x_0, x_4]",sqrt(abs(-(-(((x_1+x_3)+(x_0+x_4)))))),6.726713180541992,-0.1177330985665321,200,not_specified,neuralnet-counts-elastic_model,friedman1,\sqrt{\left|{x_{0} + x_{1} + x_{3} + x_{4}}\right|}
"[exp, u-, exp, u-, +, x_0, x_3]",exp(-(exp(-((x_0+x_3))))),11.09840488433838,-0.1342957615852356,200,not_specified,neuralnet-counts-elastic_model,friedman1,e^{- e^{- x_{0} - x_{3}}}
"[u-, +, u-, u-, x_4, +, sqrt, x_0, +, sin, x_1, x_3]",-((-(-(x_4))+(sqrt(abs(x_0))+(sin(x_1)+x_3)))),6.119773387908936,-0.1176295652985572,200,not_specified,neuralnet-counts-elastic_model,friedman1,- x_{3} - x_{4} - \sin{\left(x_{1} \right)} - \sqrt{\left|{x_{0}}\right|}
"[u-, u-, +, sin, +, x_0, x_1, x_3]",-(-((sin((x_0+x_1))+x_3))),7.57717227935791,-0.1280400604009628,200,not_specified,neuralnet-counts-elastic_model,friedman1,x_{3} + \sin{\left(x_{0} + x_{1} \right)}
"[u-, u-, u-, u-, x_3]",-(-(-(-(x_3)))),15.392029762268066,-0.1391967535018921,200,not_specified,neuralnet-counts-elastic_model,friedman1,x_{3}
"[u-, +, sqrt, x_0, +, sin, +, x_1, x_4, x_3]",-((sqrt(abs(x_0))+(sin((x_1+x_4))+x_3))),5.146389484405518,-0.115317478775978,200,not_specified,neuralnet-counts-elastic_model,friedman1,- x_{3} - \sin{\left(x_{1} + x_{4} \right)} - \sqrt{\left|{x_{0}}\right|}
