parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
[x_3],x_3,15.392029762268066,-78.9000015258789,200,not_specified,phi,friedman1,x_{3}
"[+, x_0, x_3]",(x_0+x_3),11.248950004577637,-78.0,200,not_specified,phi,friedman1,x_{0} + x_{3}
"[+, x_3, +, +, x_0, +, x_4, x_1, x_3]",(x_3+((x_0+(x_4+x_1))+x_3)),6.236557960510254,-75.30000305175781,200,not_specified,phi,friedman1,x_{0} + x_{1} + x_{3} + x_{3} + x_{4}
"[+, +, x_3, x_4, +, x_0, x_1]",((x_3+x_4)+(x_0+x_1)),6.859220027923584,-76.19999694824219,200,not_specified,phi,friedman1,x_{0} + x_{1} + x_{3} + x_{4}
"[+, +, x_0, +, x_4, x_1, x_3]",((x_0+(x_4+x_1))+x_3),6.859220027923584,-76.19999694824219,200,not_specified,phi,friedman1,x_{0} + x_{1} + x_{3} + x_{4}
"[+, x_3, +, x_3, +, +, -3.08, sqrt, x_0, +, +, x_0, x_1, x_4]",(x_3+(x_3+((-3.08+sqrt(abs(x_0)))+((x_0+x_1)+x_4)))),5.777993679046631,-64.9000015258789,200,not_specified,phi,friedman1,x_{0} + x_{1} + x_{3} + x_{3} + x_{4} + \sqrt{\left|{x_{0}}\right|} - 3.08
"[u-, +, +, +, +, x_0, x_4, x_3, x_3, sqrt, x_1]",-(((((x_0+x_4)+x_3)+x_3)+sqrt(abs(x_1)))),6.117650985717773,-66.0,200,not_specified,phi,friedman1,- x_{0} - 2 x_{3} - x_{4} - \sqrt{\left|{x_{1}}\right|}
"[-, /, +, log, -, x_1, -3.05, sqrt, x_0, -1.21, +, +, +, sqrt, x_3, sqrt, x_1, +, x_0, x_4, x_3]",(((log(abs((x_1--3.05)))+sqrt(abs(x_0)))/-1.21)-(((sqrt(abs(x_3))+sqrt(abs(x_1)))+(x_0+x_4))+x_3)),5.417298316955566,-50.79999923706055,200,not_specified,phi,friedman1,\frac{\log{\left(\left|{x_{1} - -3.05}\right| \right)} + \sqrt{\left|{x_{0}}\right|}}{-1.21} - \left(x_{0} + x_{3} + x_{4} + \sqrt{\left|{x_{1}}\right|} + \sqrt{\left|{x_{3}}\right|}\right)
"[+, x_3, +, +, u-, cos, x_3, sqrt, x_1, +, x_0, x_4]",(x_3+((-(cos(x_3))+sqrt(abs(x_1)))+(x_0+x_4))),5.696732997894287,-61.900001525878906,200,not_specified,phi,friedman1,x_{0} + x_{3} + x_{4} - \cos{\left(x_{3} \right)} + \sqrt{\left|{x_{1}}\right|}
"[-, /, +, sqrt, x_3, sqrt, x_0, -1.21, +, +, +, sqrt, x_1, sqrt, x_1, +, x_0, x_4, x_3]",(((sqrt(abs(x_3))+sqrt(abs(x_0)))/-1.21)-(((sqrt(abs(x_1))+sqrt(abs(x_1)))+(x_0+x_4))+x_3)),5.533527851104736,-51.70000076293945,200,not_specified,phi,friedman1,\frac{\sqrt{\left|{x_{0}}\right|} + \sqrt{\left|{x_{3}}\right|}}{-1.21} - \left(x_{0} + x_{3} + x_{4} + \sqrt{\left|{x_{1}}\right|} + \sqrt{\left|{x_{1}}\right|}\right)
