parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
[x_3],x_3,15.392029762268066,1.0,200,not_specified,size,friedman1,x_{3}
"[+, x_0, x_3]",(x_0+x_3),11.248950004577637,3.0,200,not_specified,size,friedman1,x_{0} + x_{3}
"[+, x_3, sqrt, x_0]",(x_3+sqrt(abs(x_0))),10.588947296142578,4.0,200,not_specified,size,friedman1,x_{3} + \sqrt{\left|{x_{0}}\right|}
"[+, +, x_0, x_3, x_1]",((x_0+x_3)+x_1),8.435291290283203,5.0,200,not_specified,size,friedman1,x_{0} + x_{1} + x_{3}
"[+, +, sqrt, *, x_1, x_0, sqrt, x_1, +, +, x_0, x_3, +, x_4, x_3]",((sqrt(abs((x_1*x_0)))+sqrt(abs(x_1)))+((x_0+x_3)+(x_4+x_3))),4.963724613189697,15.0,200,not_specified,size,friedman1,x_{0} + x_{3} + x_{3} + x_{4} + \sqrt{\left|{x_{1}}\right|} + \sqrt{\left|{x_{0} x_{1}}\right|}
"[+, x_0, +, x_1, +, x_4, x_3]",(x_0+(x_1+(x_4+x_3))),6.859220027923584,7.0,200,not_specified,size,friedman1,x_{0} + x_{1} + x_{3} + x_{4}
"[+, +, x_0, x_1, x_3]",((x_0+x_1)+x_3),8.435291290283203,5.0,200,not_specified,size,friedman1,x_{0} + x_{1} + x_{3}
"[sqrt, +, sqrt, sqrt, x_1, +, x_0, +, x_3, sqrt, x_4]",sqrt(abs((sqrt(abs(sqrt(abs(x_1))))+(x_0+(x_3+sqrt(abs(x_4))))))),6.129603385925293,11.0,200,not_specified,size,friedman1,\sqrt{\left|{x_{0} + x_{3} + \sqrt{\sqrt{\left|{x_{1}}\right|}} + \sqrt{\left|{x_{4}}\right|}}\right|}
"[+, sqrt, sqrt, x_1, +, x_0, +, x_3, sqrt, x_4]",(sqrt(abs(sqrt(abs(x_1))))+(x_0+(x_3+sqrt(abs(x_4))))),6.136751174926758,10.0,200,not_specified,size,friedman1,x_{0} + x_{3} + \sqrt{\sqrt{\left|{x_{1}}\right|}} + \sqrt{\left|{x_{4}}\right|}
"[+, +, x_0, +, x_1, +, x_4, x_3, x_3]",((x_0+(x_1+(x_4+x_3)))+x_3),6.236557960510254,9.0,200,not_specified,size,friedman1,x_{0} + x_{1} + x_{3} + x_{3} + x_{4}
