parsable_tree,readable_tree,accuracy,interpretability,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,latex_tree
[x_4],x_4,22.431339263916016,-78.9000015258789,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4}
"[+, *, x_4, 3.41, x_6]",((x_4*3.41)+x_6),14.24818229675293,-77.0999984741211,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4} \cdot 3.41 + x_{6}
"[+, -, -, x_1, -, x_2, x_0, *, x_6, max, -, x_0, x_6, -2.25, -, -, -, x_1, +, x_4, -2.88, +, x_6, x_4, x_4]","(((x_1-(x_2-x_0))-(x_6*max((x_0-x_6),-2.25)))+(((x_1-(x_4+-2.88))-(x_6+x_4))-x_4))",8.968256950378418,-60.20000076293945,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,"x_{1} + x_{1} - x_{4} - x_{6} \max\left(-2.25, x_{0} - x_{6}\right) - \left(- x_{0} + x_{2}\right) - \left(x_{4} - 2.88\right) - \left(x_{4} + x_{6}\right)"
"[+, +, x_4, -, x_2, -, -, x_1, x_3, +, x_6, x_4, x_4]",((x_4+(x_2-((x_1-x_3)-(x_6+x_4))))+x_4),10.26939582824707,-73.5,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{2} + x_{4} + x_{4} - \left(x_{1} - x_{3} - \left(x_{4} + x_{6}\right)\right)
"[+, -, -, x_1, -, x_2, x_0, *, x_6, max, -, x_0, x_6, -2.25, -, -, -, x_1, +, x_4, 3.41, +, x_6, x_4, x_4]","(((x_1-(x_2-x_0))-(x_6*max((x_0-x_6),-2.25)))+(((x_1-(x_4+3.41))-(x_6+x_4))-x_4))",8.968256950378418,-60.20000076293945,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,"x_{1} + x_{1} - x_{4} - x_{6} \max\left(-2.25, x_{0} - x_{6}\right) - \left(- x_{0} + x_{2}\right) - \left(x_{4} + 3.41\right) - \left(x_{4} + x_{6}\right)"
"[+, x_4, +, -, -, -, x_1, x_3, +, x_6, x_2, +, +, x_6, -2.52, x_4, *, -4.96, x_4]",(x_4+((((x_1-x_3)-(x_6+x_2))-((x_6+-2.52)+x_4))+(-4.96*x_4))),9.352180480957031,-70.80000305175781,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{1} - x_{3} - 4.96 x_{4} + x_{4} - \left(x_{2} + x_{6}\right) - \left(x_{4} + x_{6} - 2.52\right)
"[+, -, -, -, *, -4.96, x_4, x_6, -, x_2, x_0, 3.41, -, -, -, -, 2.04, x_4, **3, x_6, +, x_6, x_4, x_4]",(((((-4.96*x_4)-x_6)-(x_2-x_0))-3.41)+((((2.04-x_4)-(x_6)**3)-(x_6+x_4))-x_4)),9.16922664642334,-60.400001525878906,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,- 4.96 x_{4} - x_{4} - x_{4} - x_{6}^{3} - x_{6} - \left(- x_{0} + x_{2}\right) - \left(x_{4} + x_{6}\right) - 3.41 + 2.04
"[+, +, -, -, x_4, +, x_6, x_2, +, +, x_6, x_7, x_4, *, -4.96, x_4, x_7]",((((x_4-(x_6+x_2))-((x_6+x_7)+x_4))+(-4.96*x_4))+x_7),9.5954008102417,-71.69999694824219,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,- 4.96 x_{4} + x_{4} + x_{7} - \left(x_{2} + x_{6}\right) - \left(x_{4} + x_{6} + x_{7}\right)
"[-, x_1, -, *, -4.96, x_4, x_6]",(x_1-((-4.96*x_4)-x_6)),11.021563529968262,-76.19999694824219,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{1} - \left(- 4.96 x_{4} - x_{6}\right)
"[-, -, x_4, -, x_3, x_6, +, x_3, x_0]",((x_4-(x_3-x_6))-(x_3+x_0)),9.8982515335083,-75.30000305175781,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4} - \left(x_{0} + x_{3}\right) - \left(x_{3} - x_{6}\right)
"[+, -, -, x_4, -, x_3, x_6, +, /, -4.29, -0.95, x_0, x_4]",(((x_4-(x_3-x_6))-((-4.29/-0.95)+x_0))+x_4),9.405673027038574,-73.5,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4} + x_{4} - \left(x_{0} - \frac{4.29}{-0.95}\right) - \left(x_{3} - x_{6}\right)
[x_4],x_4,22.431339263916016,-78.9000015258789,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4}
"[-, -, x_3, x_4, x_6]",((x_3-x_4)-x_6),15.57803726196289,-77.0999984741211,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{3} - x_{4} - x_{6}
"[+, x_4, +, x_6, *, 1.76, x_4]",(x_4+(x_6+(1.76*x_4))),13.93590259552002,-76.19999694824219,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4} + 1.76 x_{4} + x_{6}
"[+, -, /, x_4, x_3, -, -, x_3, x_4, x_6, x_1]",(((x_4/x_3)-((x_3-x_4)-x_6))+x_1),9.756271362304688,-74.4000015258789,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{1} - \left(x_{3} - x_{4} - x_{6}\right) + \frac{x_{4}}{x_{3}}
"[+, -, -, x_4, -, x_3, x_6, +, /, -0.31, -0.95, x_0, x_4]",(((x_4-(x_3-x_6))-((-0.31/-0.95)+x_0))+x_4),9.405673027038574,-73.5,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4} + x_{4} - \left(x_{0} - \frac{0.31}{-0.95}\right) - \left(x_{3} - x_{6}\right)
"[-, -, x_4, -, -, -, x_3, x_4, x_1, x_6, 4.24]",((x_4-(((x_3-x_4)-x_1)-x_6))-4.24),9.756271362304688,-74.4000015258789,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4} - \left(- x_{1} + x_{3} - x_{4} - x_{6}\right) - 4.24
"[-, -, x_4, -, -, -, x_3, x_4, x_1, x_6, 1.76]",((x_4-(((x_3-x_4)-x_1)-x_6))-1.76),9.756271362304688,-74.4000015258789,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4} - \left(- x_{1} + x_{3} - x_{4} - x_{6}\right) - 1.76
"[-, -, -, x_4, +, /, -4.29, -0.95, x_0, +, /, +, x_4, x_6, -0.95, x_3, /, x_4, *, 4.24, /, x_4, -, x_3, x_4]",(((x_4-((-4.29/-0.95)+x_0))-(((x_4+x_6)/-0.95)+x_3))-(x_4/(4.24*(x_4/(x_3-x_4))))),8.991070747375488,-68.0999984741211,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4} - \frac{x_{4}}{4.24 x_{4} \cdot \frac{1}{x_{3} - x_{4}}} - \left(x_{0} - \frac{4.29}{-0.95}\right) - \left(x_{3} + \frac{x_{4} + x_{6}}{-0.95}\right)
"[+, -, -, *, 1.76, x_4, -, x_3, x_6, +, /, -4.29, -0.95, x_0, x_4]",((((1.76*x_4)-(x_3-x_6))-((-4.29/-0.95)+x_0))+x_4),9.07793426513672,-72.5999984741211,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,x_{4} + 1.76 x_{4} - \left(x_{0} - \frac{4.29}{-0.95}\right) - \left(x_{3} - x_{6}\right)
