parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
[x_4],x_4,19.853561401367188,-78.9000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,x_{4},heating
"[-, -, *, -4.55, x_6, +, x_2, x_2, +, x_2, +, x_6, log, x_4]",(((-4.55*x_6)-(x_2+x_2))-(x_2+(x_6+log(abs(x_4))))),9.20844841003418,-64.9000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,- 4.55 x_{6} - \left(x_{2} + x_{2}\right) - \left(x_{2} + x_{6} + \log{\left(\left|{x_{4}}\right| \right)}\right),heating
"[-, -, *, -4.55, x_6, +, x_2, x_2, log, x_4]",(((-4.55*x_6)-(x_2+x_2))-log(abs(x_4))),10.119132041931152,-66.69999694824219,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,- 4.55 x_{6} - \left(x_{2} + x_{2}\right) - \log{\left(\left|{x_{4}}\right| \right)},heating
"[+, x_6, *, 3.08, x_4]",(x_6+(3.08*x_4)),13.384355545043944,-77.0999984741211,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,3.08 x_{4} + x_{6},heating
"[+, -, *, -2.98, x_6, +, x_2, x_2, -, -, *, -4.55, x_6, +, x_2, -4.55, +, -4.55, log, x_4]",(((-2.98*x_6)-(x_2+x_2))+(((-4.55*x_6)-(x_2+-4.55))-(-4.55+log(abs(x_4))))),8.89599609375,-62.20000076293945,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,- 4.55 x_{6} - 2.98 x_{6} - \left(x_{2} - 4.55\right) - \left(x_{2} + x_{2}\right) - \left(\log{\left(\left|{x_{4}}\right| \right)} - 4.55\right),heating
"[/, -, +, x_4, x_4, -4.55, -, *, -3.94, -2.14, x_6]",(((x_4+x_4)--4.55)/((-3.94*-2.14)-x_6)),13.209952354431152,-74.4000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,\frac{x_{4} + x_{4} - -4.55}{- x_{6} - 3.94 \left(-2.14\right)},heating
"[-, +, -, *, -2.98, x_6, +, x_2, x_7, -, *, -2.98, x_6, +, x_2, x_2, log, x_4]",((((-2.98*x_6)-(x_2+x_7))+((-2.98*x_6)-(x_2+x_2)))-log(abs(x_4))),8.923145294189453,-63.09999847412109,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,- 2.98 x_{6} - 2.98 x_{6} - \left(x_{2} + x_{2}\right) - \left(x_{2} + x_{7}\right) - \log{\left(\left|{x_{4}}\right| \right)},heating
"[-, *, -4.55, x_6, +, x_2, +, x_2, log, x_4]",((-4.55*x_6)-(x_2+(x_2+log(abs(x_4))))),10.119132041931152,-66.69999694824219,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,- 4.55 x_{6} - \left(x_{2} + x_{2} + \log{\left(\left|{x_{4}}\right| \right)}\right),heating
"[/, -, +, -, x_4, -4.16, x_4, -4.55, -, *, -3.94, -4.55, +, x_2, x_6]",((((x_4--4.16)+x_4)--4.55)/((-3.94*-4.55)-(x_2+x_6))),11.275471687316896,-72.5999984741211,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,\frac{x_{4} + x_{4} - -4.16 - -4.55}{- (x_{2} + x_{6}) - 3.94 \left(-4.55\right)},heating
"[-, +, -, *, -2.98, x_6, *, x_4, x_2, -, *, -2.98, x_6, +, x_2, x_1, +, x_2, +, *, -0.16, x_3, log, x_4]",((((-2.98*x_6)-(x_4*x_2))+((-2.98*x_6)-(x_2+x_1)))-(x_2+((-0.16*x_3)+log(abs(x_4))))),8.403677940368652,-60.400001525878906,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,- x_{2} x_{4} - 2.98 x_{6} - 2.98 x_{6} - \left(x_{1} + x_{2}\right) - \left(x_{2} - 0.16 x_{3} + \log{\left(\left|{x_{4}}\right| \right)}\right),heating
[x_4],x_4,19.853561401367188,-78.9000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,x_{4},heating
"[+, x_2, -, x_4, -, x_1, x_6]",(x_2+(x_4-(x_1-x_6))),13.739173889160156,-76.19999694824219,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,x_{2} + x_{4} - \left(x_{1} - x_{6}\right),heating
"[+, +, x_4, x_6, x_4]",((x_4+x_6)+x_4),15.01288604736328,-77.0999984741211,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,x_{4} + x_{4} + x_{6},heating
"[-, -, x_0, -, x_4, x_3, +, x_6, -, x_4, -, 2.7, x_4]",((x_0-(x_4-x_3))-(x_6+(x_4-(2.7-x_4)))),8.658544540405273,-73.5,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,x_{0} - \left(- x_{3} + x_{4}\right) - \left(x_{4} + x_{6} - \left(2.7 - x_{4}\right)\right),heating
"[+, x_6, -, x_4, -, x_0, -, x_4, x_3]",(x_6+(x_4-(x_0-(x_4-x_3)))),9.3976411819458,-75.30000305175781,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,x_{4} + x_{6} - \left(x_{0} - \left(- x_{3} + x_{4}\right)\right),heating
[x_4],x_4,19.853561401367188,-78.9000015258789,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,x_{4},heating
"[+, x_6, *, 4.52, x_4]",(x_6+(4.52*x_4)),13.98440933227539,-77.0999984741211,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,40,4.52 x_{4} + x_{6},heating
