parsable_tree,readable_tree,accuracy,interpretability,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,latex_tree
[x_4],x_4,22.431339263916016,1.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{4}
"[cos, **2, x_3]",cos((x_3)**2),22.010400772094727,3.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,\cos{\left(x_{3}^{2} \right)}
"[cos, log, **2, x_3]",cos(log(abs((x_3)**2))),20.835119247436523,4.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,\cos{\left(\log{\left(\left|{x_{3}^{2}}\right| \right)} \right)}
"[**3, **, x_3, exp, x_6]",((x_3**exp(x_6)))**3,19.45256805419922,5.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,\left(x_{3}^{e^{x_{6}}}\right)^{3}
"[-, x_6, **3, sqrt, exp, x_3]",(x_6-(sqrt(abs(exp(x_3))))**3),14.886675834655762,6.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{6} - \left(\sqrt{e^{\operatorname{re}{\left(x_{3}\right)}}}\right)^{3}
"[**, exp, sin, cos, +, 2.8, x_6, exp, /, x_4, cos, x_3]",(exp(sin(cos((2.8+x_6))))**exp((x_4/cos(x_3)))),13.709593772888184,12.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,\left(e^{\sin{\left(\cos{\left(x_{6} + 2.8 \right)} \right)}}\right)^{e^{\frac{x_{4}}{\cos{\left(x_{3} \right)}}}}
"[-, cos, cos, -, -1.21, x_6, **3, sqrt, **2, x_3]",(cos(cos((-1.21-x_6)))-(sqrt(abs((x_3)**2)))**3),13.86610984802246,10.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,\cos{\left(\cos{\left(- x_{6} - 1.21 \right)} \right)} - \left(\sqrt{\left|{x_{3}^{2}}\right|}\right)^{3}
"[+, **, sin, x_2, x_2, -, -, u-, x_6, x_4, **3, cos, x_4]",((sin(x_2)**x_2)+((-(x_6)-x_4)-(cos(x_4))**3)),10.131936073303224,13.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{4} - x_{6} + \sin^{x_{2}}{\left(x_{2} \right)} - \cos^{3}{\left(x_{4} \right)}
"[+, +, **, sin, x_2, x_2, -, **3, x_3, exp, x_4, -, -, u-, x_6, x_4, **3, cos, x_3]",(((sin(x_2)**x_2)+((x_3)**3-exp(x_4)))+((-(x_6)-x_4)-(cos(x_3))**3)),9.7012939453125,19.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{3}^{3} - x_{4} - x_{6} - e^{x_{4}} + \sin^{x_{2}}{\left(x_{2} \right)} - \cos^{3}{\left(x_{3} \right)}
"[+, +, +, **, sin, x_2, x_2, -, x_4, exp, x_4, -, -, u-, x_6, x_4, **3, cos, x_3, x_3]",((((sin(x_2)**x_2)+(x_4-exp(x_4)))+((-(x_6)-x_4)-(cos(x_3))**3))+x_3),8.471172332763672,20.0,200,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{3} - x_{4} + x_{4} - x_{6} - e^{x_{4}} + \sin^{x_{2}}{\left(x_{2} \right)} - \cos^{3}{\left(x_{3} \right)}
[x_4],x_4,22.431339263916016,1.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{4}
"[cos, **2, x_3]",cos((x_3)**2),22.010400772094727,3.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,\cos{\left(x_{3}^{2} \right)}
"[/, exp, x_1, x_4]",(exp(x_1)/x_4),20.595129013061523,4.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,\frac{e^{x_{1}}}{x_{4}}
"[-, u-, **3, x_6, x_4]",(-((x_6)**3)-x_4),13.271806716918944,5.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{4} - x_{6}^{3}
"[-, **, x_2, u-, cos, x_1, /, exp, **3, x_6, sin, x_4]",((x_2**-(cos(x_1)))-(exp((x_6)**3)/sin(x_4))),11.24468994140625,12.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,- \frac{e^{x_{6}^{3}}}{\sin{\left(x_{4} \right)}} + x_{2}^{- \cos{\left(x_{1} \right)}}
"[u-, -, **, x_2, u-, cos, x_1, /, exp, **3, x_6, x_4]",-(((x_2**-(cos(x_1)))-(exp((x_6)**3)/x_4))),11.24468994140625,12.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,\frac{e^{x_{6}^{3}}}{x_{4}} - x_{2}^{- \cos{\left(x_{1} \right)}}
"[-, -, **, x_2, u-, cos, x_0, /, exp, x_1, x_4, /, exp, x_6, x_4]",(((x_2**-(cos(x_0)))-(exp(x_1)/x_4))-(exp(x_6)/x_4)),9.843022346496582,15.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,- \frac{e^{x_{1}}}{x_{4}} - \frac{e^{x_{6}}}{x_{4}} + x_{2}^{- \cos{\left(x_{0} \right)}}
"[+, -, -, u-, *, x_7, x_2, /, exp, x_1, x_4, /, exp, x_6, x_4, -, **, x_2, u-, cos, x_1, x_4]",(((-((x_7*x_2))-(exp(x_1)/x_4))-(exp(x_6)/x_4))+((x_2**-(cos(x_1)))-x_4)),9.655219078063965,22.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{2} x_{7} - x_{4} - \frac{e^{x_{1}}}{x_{4}} - \frac{e^{x_{6}}}{x_{4}} + x_{2}^{- \cos{\left(x_{1} \right)}}
"[-, **, x_2, u-, cos, x_1, /, exp, **3, x_6, **2, x_4]",((x_2**-(cos(x_1)))-(exp((x_6)**3)/(x_4)**2)),11.24468994140625,12.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,- \frac{e^{x_{6}^{3}}}{x_{4}^{2}} + x_{2}^{- \cos{\left(x_{1} \right)}}
"[+, -, -, u-, *, x_7, x_1, /, exp, x_1, x_4, /, exp, x_6, x_4, -, **, x_2, u-, cos, x_1, x_4]",(((-((x_7*x_1))-(exp(x_1)/x_4))-(exp(x_6)/x_4))+((x_2**-(cos(x_1)))-x_4)),9.655219078063965,22.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{1} x_{7} - x_{4} - \frac{e^{x_{1}}}{x_{4}} - \frac{e^{x_{6}}}{x_{4}} + x_{2}^{- \cos{\left(x_{1} \right)}}
"[-, u-, x_4, exp, **3, x_6]",(-(x_4)-exp((x_6)**3)),13.149571418762209,6.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{4} - e^{x_{6}^{3}}
"[+, -, **, x_2, u-, cos, x_1, /, exp, **3, x_6, sin, sin, x_4, -, **, x_2, u-, cos, x_1, /, exp, x_1, sin, x_4]",(((x_2**-(cos(x_1)))-(exp((x_6)**3)/sin(sin(x_4))))+((x_2**-(cos(x_1)))-(exp(x_1)/sin(x_4)))),8.56085205078125,25.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,- \frac{e^{x_{1}}}{\sin{\left(x_{4} \right)}} - \frac{e^{x_{6}^{3}}}{\sin{\left(\sin{\left(x_{4} \right)} \right)}} + x_{2}^{- \cos{\left(x_{1} \right)}} + x_{2}^{- \cos{\left(x_{1} \right)}}
"[-, -, x_2, /, exp, x_1, x_4, /, exp, x_6, x_4]",((x_2-(exp(x_1)/x_4))-(exp(x_6)/x_4)),12.180953979492188,11.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{2} - \frac{e^{x_{1}}}{x_{4}} - \frac{e^{x_{6}}}{x_{4}}
"[+, -, -, u-, *, x_1, x_1, /, exp, x_1, x_4, /, exp, x_6, x_4, -, **, x_2, u-, cos, x_1, x_4]",(((-((x_1*x_1))-(exp(x_1)/x_4))-(exp(x_6)/x_4))+((x_2**-(cos(x_1)))-x_4)),9.655219078063965,22.0,201,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{1} x_{1} - x_{4} - \frac{e^{x_{1}}}{x_{4}} - \frac{e^{x_{6}}}{x_{4}} + x_{2}^{- \cos{\left(x_{1} \right)}}
[x_4],x_4,22.431339263916016,1.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{4}
"[**2, **2, x_3]",((x_3)**2)**2,22.0359001159668,3.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,\left(x_{3}^{2}\right)^{2}
"[-, x_6, exp, x_3]",(x_6-exp(x_3)),16.256275177001953,4.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{6} - e^{x_{3}}
"[-, exp, **2, x_3, -, -, x_6, +, x_0, *, x_4, x_4, x_3]",(exp((x_3)**2)-((x_6-(x_0+(x_4*x_4)))-x_3)),9.185194969177246,13.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,- (- x_{3} + x_{6} - \left(x_{0} + x_{4} x_{4}\right)) + e^{x_{3}^{2}}
"[-, u-, x_4, -, -, x_6, +, x_0, *, x_4, x_4, x_3]",(-(x_4)-((x_6-(x_0+(x_4*x_4)))-x_3)),9.405673027038574,12.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{4} - \left(- x_{3} + x_{6} - \left(x_{0} + x_{4} x_{4}\right)\right)
"[-, x_6, -, exp, x_3, x_4]",(x_6-(exp(x_3)-x_4)),14.333595275878906,6.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{6} - \left(- x_{4} + e^{x_{3}}\right)
"[-, exp, x_3, -, x_6, sin, log, x_3]",(exp(x_3)-(x_6-sin(log(abs(x_3))))),13.230356216430664,8.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,- (x_{6} - \sin{\left(\log{\left(\left|{x_{3}}\right| \right)} \right)}) + e^{x_{3}}
"[-, -, **2, x_3, -, -, x_6, **3, x_3, **2, **3, x_3, -, -, x_6, -, x_3, sin, x_2, **2, u-, x_3]",(((x_3)**2-((x_6-(x_3)**3)-((x_3)**3)**2))-((x_6-(x_3-sin(x_2)))-(-(x_3))**2)),8.955951690673828,22.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{3}^{2} - \left(- x_{3}^{3} - \left(x_{3}^{3}\right)^{2} + x_{6}\right) - \left(- \left(- x_{3}\right)^{2} + x_{6} - \left(x_{3} - \sin{\left(x_{2} \right)}\right)\right)
"[-, u-, x_4, -, -, x_6, +, x_0, x_3, x_3]",(-(x_4)-((x_6-(x_0+x_3))-x_3)),9.8982515335083,10.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{4} - \left(- x_{3} + x_{6} - \left(x_{0} + x_{3}\right)\right)
"[-, -, **2, x_3, -, -, x_6, **3, x_3, **2, x_4, -, -, x_6, -, x_3, sin, x_2, **2, u-, x_3]",(((x_3)**2-((x_6-(x_3)**3)-(x_4)**2))-((x_6-(x_3-sin(x_2)))-(-(x_3))**2)),8.9706392288208,21.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{3}^{2} - \left(- x_{3}^{3} - x_{4}^{2} + x_{6}\right) - \left(- \left(- x_{3}\right)^{2} + x_{6} - \left(x_{3} - \sin{\left(x_{2} \right)}\right)\right)
"[-, u-, x_4, -, -, x_6, +, x_0, exp, x_3, x_3]",(-(x_4)-((x_6-(x_0+exp(x_3)))-x_3)),9.47203540802002,11.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{4} - \left(- x_{3} + x_{6} - \left(x_{0} + e^{x_{3}}\right)\right)
"[-, **, **3, **2, sqrt, x_1, +, **3, cos, x_5, sqrt, sin, x_7, -, -, -, x_6, **3, x_3, -, x_3, sin, x_2, **2, u-, x_3]",((((sqrt(abs(x_1)))**2)**3**((cos(x_5))**3+sqrt(abs(sin(x_7)))))-(((x_6-(x_3)**3)-(x_3-sin(x_2)))-(-(x_3))**2)),8.579553604125977,26.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,- (- \left(- x_{3}\right)^{2} - x_{3}^{3} + x_{6} - \left(x_{3} - \sin{\left(x_{2} \right)}\right)) + \left(\left(\sqrt{\left|{x_{1}}\right|}\right)^{2}\right)^{3^{\cos^{3}{\left(x_{5} \right)} + \sqrt{\left|{\sin{\left(x_{7} \right)}}\right|}}}
"[-, -, -, x_6, +, x_0, *, x_4, x_4, x_3, exp, sqrt, u-, x_4]",(((x_6-(x_0+(x_4*x_4)))-x_3)-exp(sqrt(abs(-(x_4))))),9.046567916870115,14.0,202,256,50,256,not_spcified,size,not_specified,not_specified,heating,- x_{3} + x_{6} - \left(x_{0} + x_{4} x_{4}\right) - e^{\sqrt{\left|{x_{4}}\right|}}
[x_4],x_4,22.431339263916016,1.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{4}
"[/, +, -3.87, x_0, x_4]",((-3.87+x_0)/x_4),19.1269588470459,5.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,\frac{x_{0} - 3.87}{x_{4}}
"[cos, **2, x_3]",cos((x_3)**2),22.010400772094727,3.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,\cos{\left(x_{3}^{2} \right)}
"[/, +, **3, x_6, cos, x_1, x_4]",(((x_6)**3+cos(x_1))/x_4),12.68749713897705,7.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,\frac{x_{6}^{3} + \cos{\left(x_{1} \right)}}{x_{4}}
"[/, +, **3, x_6, cos, +, x_3, x_0, sin, x_4]",(((x_6)**3+cos((x_3+x_0)))/sin(x_4)),11.230853080749512,10.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,\frac{x_{6}^{3} + \cos{\left(x_{0} + x_{3} \right)}}{\sin{\left(x_{4} \right)}}
"[cos, log, **2, x_3]",cos(log(abs((x_3)**2))),20.835119247436523,4.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,\cos{\left(\log{\left(\left|{x_{3}^{2}}\right| \right)} \right)}
"[**3, +, +, **3, x_6, cos, +, x_3, x_0, **2, cos, x_4]",((((x_6)**3+cos((x_3+x_0)))+(cos(x_4))**2))**3,9.46767234802246,12.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,\left(x_{6}^{3} + \cos^{2}{\left(x_{4} \right)} + \cos{\left(x_{0} + x_{3} \right)}\right)^{3}
"[+, +, -, *, cos, x_1, **2, x_3, sqrt, u-, x_1, sin, /, 4.93, sqrt, x_1, +, -, *, cos, x_1, log, x_4, **2, +, 4.44, x_6, sin, /, 4.93, sqrt, x_1]",((((cos(x_1)*(x_3)**2)-sqrt(abs(-(x_1))))+sin((4.93/sqrt(abs(x_1)))))+(((cos(x_1)*log(abs(x_4)))-((4.44+x_6))**2)+sin((4.93/sqrt(abs(x_1)))))),9.42708969116211,32.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{3}^{2} \cos{\left(x_{1} \right)} - \left(x_{6} + 4.44\right)^{2} + \log{\left(\left|{x_{4}}\right| \right)} \cos{\left(x_{1} \right)} + \sin{\left(\frac{4.93}{\sqrt{\left|{x_{1}}\right|}} \right)} + \sin{\left(\frac{4.93}{\sqrt{\left|{x_{1}}\right|}} \right)} - \sqrt{\left|{x_{1}}\right|}
"[/, +, **3, x_6, cos, sin, x_1, sin, x_4]",(((x_6)**3+cos(sin(x_1)))/sin(x_4)),11.739005088806152,9.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,\frac{x_{6}^{3} + \cos{\left(\sin{\left(x_{1} \right)} \right)}}{\sin{\left(x_{4} \right)}}
"[+, **3, x_6, **2, cos, x_4]",((x_6)**3+(cos(x_4))**2),14.984527587890623,6.0,203,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{6}^{3} + \cos^{2}{\left(x_{4} \right)}
[x_4],x_4,22.431339263916016,1.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{4}
"[cos, **2, x_3]",cos((x_3)**2),22.010400772094727,3.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,\cos{\left(x_{3}^{2} \right)}
"[**3, -, log, x_4, x_6]",((log(abs(x_4))-x_6))**3,18.55851554870605,5.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,\left(- x_{6} + \log{\left(\left|{x_{4}}\right| \right)}\right)^{3}
"[+, +, x_6, x_2, exp, log, sqrt, log, x_4]",((x_6+x_2)+exp(log(abs(sqrt(abs(log(abs(x_4)))))))),11.793776512145996,9.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{2} + x_{6} + e^{\log{\left(\sqrt{\left|{\log{\left(\left|{x_{4}}\right| \right)}}\right|} \right)}}
"[**2, **3, -, log, *, x_4, x_4, x_6]",(((log(abs((x_4*x_4)))-x_6))**3)**2,16.124366760253906,8.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,\left(\left(- x_{6} + \log{\left(\left|{x_{4}^{2}}\right| \right)}\right)^{3}\right)^{2}
"[**3, -, log, x_4, exp, exp, x_6]",((log(abs(x_4))-exp(exp(x_6))))**3,16.363126754760742,7.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,\left(- e^{e^{x_{6}}} + \log{\left(\left|{x_{4}}\right| \right)}\right)^{3}
"[**3, -, x_2, log, **2, x_4]",((x_2-log(abs((x_4)**2))))**3,18.15850067138672,6.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,\left(x_{2} - \log{\left(\left|{x_{4}^{2}}\right| \right)}\right)^{3}
"[+, exp, sin, -, **2, 0.29, exp, x_6, +, sqrt, exp, x_0, exp, x_3]",(exp(sin(((0.29)**2-exp(x_6))))+(sqrt(abs(exp(x_0)))+exp(x_3))),10.682950019836426,14.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,e^{x_{3}} + e^{\sin{\left(- e^{x_{6}} + 0.29^{2} \right)}} + \sqrt{e^{\operatorname{re}{\left(x_{0}\right)}}}
"[**3, u-, -, x_2, log, x_4]",(-((x_2-log(abs(x_4)))))**3,18.15850067138672,6.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,\left(- x_{2} + \log{\left(\left|{x_{4}}\right| \right)}\right)^{3}
"[+, -, exp, -, **2, x_6, exp, x_6, exp, cos, **2, x_3, sin, sin, **2, **, x_4, x_2]",((exp(((x_6)**2-exp(x_6)))-exp(cos((x_3)**2)))+sin(sin(((x_4**x_2))**2))),6.455358982086182,18.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,e^{x_{6}^{2} - e^{x_{6}}} - e^{\cos{\left(x_{3}^{2} \right)}} + \sin{\left(\sin{\left(\left(x_{4}^{x_{2}}\right)^{2} \right)} \right)}
"[-, x_2, log, x_4]",(x_2-log(abs(x_4))),19.91425132751465,4.0,204,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{2} - \log{\left(\left|{x_{4}}\right| \right)}
[x_4],x_4,22.431339263916016,1.0,205,256,50,256,not_spcified,size,not_specified,not_specified,heating,x_{4}
