parsable_tree,readable_tree,accuracy,interpretability,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,latex_tree
"[-, *, exp, u-, u-, x_4, -4.18, exp, x_6]",((exp(-(-(x_4)))*-4.18)-exp(x_6)),14.855299949645996,-0.0543946772813797,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,e^{x_{4}} \left(-4.18\right) - e^{x_{6}}
"[log, /, u-, u-, exp, x_2, *, u-, u-, 1.97, u-, x_4]",log(abs((-(-(exp(x_2)))/(-(-(1.97))*-(x_4))))),19.977317810058597,-0.0592672638595104,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,\log{\left(\frac{0.50 e^{\operatorname{re}{\left(x_{2}\right)}}}{\left|{- x_{4}}\right|} \right)}
"[-, log, sqrt, **, /, x_4, x_0, exp, x_1, exp, exp, x_6]",(log(abs(sqrt(abs(((x_4/x_0)**exp(x_1))))))-exp(exp(x_6))),13.079849243164062,-0.0391855463385582,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,- e^{e^{x_{6}}} + \log{\left(\sqrt{\left|{\left(\frac{x_{4}}{x_{0}}\right)^{e^{x_{1}}}}\right|} \right)}
"[-, *, u-, u-, *, 0.85, x_4, -4.18, exp, x_6]",((-(-((0.85*x_4)))*-4.18)-exp(x_6)),15.055707931518556,-0.0572304464876651,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,0.85 x_{4} \left(-4.18\right) - e^{x_{6}}
"[u-, *, exp, u-, u-, x_4, exp, *, *, 1.15, x_6, sin, -3.62]",-((exp(-(-(x_4)))*exp(((1.15*x_6)*sin(-3.62))))),16.47342300415039,-0.0579058974981308,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,- e^{x_{4}} e^{1.15 x_{6} \sin{\left(-3.62 \right)}}
"[log, *, *, exp, u-, x_6, x_4, exp, *, x_6, x_2]",log(abs(((exp(-(x_6))*x_4)*exp((x_6*x_2))))),21.657697677612305,-0.061811726540327,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,\log{\left(e^{- \operatorname{re}{\left(x_{6}\right)}} e^{\operatorname{re}{\left(x_{2} x_{6}\right)}} \left|{x_{4}}\right| \right)}
"[log, *, exp, *, *, x_6, x_2, x_6, exp, u-, u-, x_4]",log(abs((exp(((x_6*x_2)*x_6))*exp(-(-(x_4)))))),25.41038703918457,-0.0622012540698051,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,\log{\left(e^{\operatorname{re}{\left(x_{4}\right)}} e^{\operatorname{re}{\left(x_{2} x_{6}^{2}\right)}} \right)}
"[log, /, exp, *, *, x_6, -0.17, x_6, *, u-, x_4, u-, *, x_6, x_6]",log(abs((exp(((x_6*-0.17)*x_6))/(-(x_4)*-((x_6*x_6)))))),56.30678176879883,-0.064182125031948,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,\log{\left(e^{- 0.17 \left(\operatorname{re}{\left(x_{6}\right)}\right)^{2} + 0.17 \left(\operatorname{im}{\left(x_{6}\right)}\right)^{2}} \left|{\frac{1}{- x_{4} \left(- x_{6} x_{6}\right)}}\right| \right)}
"[log, /, u-, u-, exp, x_6, *, exp, *, x_6, x_6, u-, x_4]",log(abs((-(-(exp(x_6)))/(exp((x_6*x_6))*-(x_4))))),20.225679397583008,-0.0615716017782688,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,\log{\left(\frac{e^{- \left(\operatorname{re}{\left(x_{6}\right)}\right)^{2} + \left(\operatorname{im}{\left(x_{6}\right)}\right)^{2}} e^{\operatorname{re}{\left(x_{6}\right)}}}{\left|{- x_{4}}\right|} \right)}
"[-, log, exp, cos, x_4, sqrt, cos, **2, **, x_4, x_1]",(log(abs(exp(cos(x_4))))-sqrt(abs(cos(((x_4**x_1))**2)))),12.935473442077637,-0.0253400243818759,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,\log{\left(e^{\cos{\left(\operatorname{re}{\left(x_{4}\right)} \right)} \cosh{\left(\operatorname{im}{\left(x_{4}\right)} \right)}} \right)} - \sqrt{\left|{\cos{\left(\left(x_{4}^{x_{1}}\right)^{2} \right)}}\right|}
"[log, /, u-, u-, exp, x_2, *, u-, exp, -4.18, u-, x_4]",log(abs((-(-(exp(x_2)))/(-(exp(-4.18))*-(x_4))))),19.44891929626465,-0.0585109591484069,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,\log{\left(\frac{65.36 e^{\operatorname{re}{\left(x_{2}\right)}}}{\left|{- x_{4}}\right|} \right)}
"[u-, *, exp, *, *, x_6, 0.85, x_6, exp, u-, x_4]",-((exp(((x_6*0.85)*x_6))*exp(-(x_4)))),23.571741104125977,-0.0618397444486618,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,- e^{- x_{4}} e^{x_{6} \cdot 0.85 x_{6}}
"[u-, *, u-, *, *, x_6, x_6, u-, x_4, *, x_6, x_6]",-((-(((x_6*x_6)*-(x_4)))*(x_6*x_6))),80.05573272705078,-0.0648226588964462,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,- x_{6} x_{6} \left(- - x_{4} x_{6} x_{6}\right)
"[/, exp, *, x_6, sqrt, *, x_6, x_6, **2, u-, x_4]",(exp((x_6*sqrt(abs((x_6*x_6)))))/(-(x_4))**2),14.447380065917969,-0.053966961801052,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,\frac{e^{x_{6} \sqrt{\left|{x_{6}^{2}}\right|}}}{\left(- x_{4}\right)^{2}}
"[u-, *, *, exp, log, 3.21, x_4, exp, *, x_6, *, x_6, x_6]",-(((exp(log(abs(3.21)))*x_4)*exp((x_6*(x_6*x_6))))),30.808887481689453,-0.0622161328792572,200,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,- x_{4} e^{x_{6} x_{6} x_{6}} e^{\log{\left(3.21 \right)}}
"[u-, x_6]",-(x_6),92.76863861083984,-0.1396161615848541,201,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,- x_{6}
"[+, u-, u-, cos, x_6, x_4]",(-(-(cos(x_6)))+x_4),19.64089012145996,-0.1329508125782013,201,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,x_{4} + \cos{\left(x_{6} \right)}
"[u-, x_2]",-(x_2),79.71253967285156,-0.1381759047508239,201,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,- x_{2}
"[**3, u-, x_2]",(-(x_2))**3,77.9101333618164,-0.1373853683471679,201,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,\left(- x_{2}\right)^{3}
"[u-, x_4]",-(x_4),22.431339263916016,-0.1366565972566604,201,256,50,256,counts,neuralnet_counts_elastic_model,not_specified,elastic_model,heating,- x_{4}
