parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[*, *, 0.36, *, x_0, *, *, x_2, 0.36, x_2, x_0]",((0.36*(x_0*((x_2*0.36)*x_2)))*x_0),0.0331354960799217,-0.1137381494045257,200,not_specified,feynman,vladislavleva,0.36 x_{0} x_{2} \cdot 0.36 x_{2} x_{0}
"[*, sin, *, +, cos, x_1, cos, x_0, -0.4, 0.36]",(sin(((cos(x_1)+cos(x_0))*-0.4))*0.36),0.0230881720781326,-0.0868908986449241,200,not_specified,feynman,vladislavleva,\sin{\left(\left(\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)}\right) \left(-0.4\right) \right)} 0.36
"[*, +, cos, x_1, sin, *, x_2, -0.4, 0.36]",((cos(x_1)+sin((x_2*-0.4)))*0.36),0.026720892637968,-0.0958538874983787,200,not_specified,feynman,vladislavleva,\left(\sin{\left(x_{2} \left(-0.4\right) \right)} + \cos{\left(x_{1} \right)}\right) 0.36
"[*, +, cos, x_0, sin, *, x_2, -0.4, 0.36]",((cos(x_0)+sin((x_2*-0.4)))*0.36),0.0269777774810791,-0.0964785292744636,200,not_specified,feynman,vladislavleva,\left(\sin{\left(x_{2} \left(-0.4\right) \right)} + \cos{\left(x_{0} \right)}\right) 0.36
"[*, *, x_0, *, x_0, *, *, x_2, 0.36, x_2, x_0]",((x_0*(x_0*((x_2*0.36)*x_2)))*x_0),0.0327692814171314,-0.1136809214949607,200,not_specified,feynman,vladislavleva,x_{0} x_{0} x_{2} \cdot 0.36 x_{2} x_{0}
"[*, *, 0.36, *, x_0, *, *, x_2, 2.03, x_2, x_0]",((0.36*(x_0*((x_2*2.03)*x_2)))*x_0),0.0331354960799217,-0.1137381494045257,200,not_specified,feynman,vladislavleva,0.36 x_{0} x_{2} \cdot 2.03 x_{2} x_{0}
"[*, *, 0.36, *, x_0, *, *, x_2, x_0, x_2, x_0]",((0.36*(x_0*((x_2*x_0)*x_2)))*x_0),0.0327692814171314,-0.1136809214949607,200,not_specified,feynman,vladislavleva,0.36 x_{0} x_{0} x_{0} x_{2} x_{2}
"[*, *, +, cos, x_3, +, cos, x_1, cos, x_0, 0.36, 0.36]",(((cos(x_3)+(cos(x_1)+cos(x_0)))*0.36)*0.36),0.0175953265279531,-0.0733777731657028,200,not_specified,feynman,vladislavleva,\left(\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{3} \right)}\right) 0.36 \cdot 0.36
"[+, cos, x_1, +, sin, +, cos, x_4, cos, x_3, +, cos, x_0, cos, x_2]",(cos(x_1)+(sin((cos(x_4)+cos(x_3)))+(cos(x_0)+cos(x_2)))),0.0079238452017307,-0.0470677800476551,200,not_specified,feynman,vladislavleva,\sin{\left(\cos{\left(x_{3} \right)} + \cos{\left(x_{4} \right)} \right)} + \cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{2} \right)}
"[*, 0.36, *, +, cos, x_1, cos, x_0, 0.36]",(0.36*((cos(x_1)+cos(x_0))*0.36)),0.023097300902009,-0.089262306690216,200,not_specified,feynman,vladislavleva,0.36 \left(\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)}\right) 0.36
"[*, *, 0.36, *, x_0, *, *, x_0, 0.36, x_0, x_0]",((0.36*(x_0*((x_0*0.36)*x_0)))*x_0),0.0325500816106796,-0.1121906638145446,200,not_specified,feynman,vladislavleva,0.36 x_{0} x_{0} \cdot 0.36 x_{0} x_{0}
"[*, *, 0.36, *, x_2, *, *, x_2, 0.36, x_0, x_0]",((0.36*(x_2*((x_2*0.36)*x_0)))*x_0),0.0331354960799217,-0.1137381494045257,200,not_specified,feynman,vladislavleva,0.36 x_{2} x_{2} \cdot 0.36 x_{0} x_{0}
"[*, *, +, +, cos, x_4, cos, x_1, +, cos, x_2, cos, x_0, 0.36, 0.36]",((((cos(x_4)+cos(x_1))+(cos(x_2)+cos(x_0)))*0.36)*0.36),0.0128415208309888,-0.069290742278099,200,not_specified,feynman,vladislavleva,\left(\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{2} \right)} + \cos{\left(x_{4} \right)}\right) 0.36 \cdot 0.36
"[*, *, 0.36, *, x_0, *, *, x_2, x_2, x_0, x_0]",((0.36*(x_0*((x_2*x_2)*x_0)))*x_0),0.0327692814171314,-0.1136809214949607,200,not_specified,feynman,vladislavleva,0.36 x_{0} x_{0} x_{0} x_{2} x_{2}
"[sin, *, *, 0.36, *, x_0, x_4, -0.4]",sin(((0.36*(x_0*x_4))*-0.4)),0.0297246314585208,-0.1077318117022514,200,not_specified,feynman,vladislavleva,\sin{\left(0.36 x_{0} x_{4} \left(-0.4\right) \right)}
"[*, 0.36, +, +, cos, x_1, sin, *, x_2, -0.4, sin, +, cos, x_4, cos, x_0]",(0.36*((cos(x_1)+sin((x_2*-0.4)))+sin((cos(x_4)+cos(x_0))))),0.0167657174170017,-0.0730308145284652,200,not_specified,feynman,vladislavleva,0.36 \left(\sin{\left(x_{2} \left(-0.4\right) \right)} + \sin{\left(\cos{\left(x_{0} \right)} + \cos{\left(x_{4} \right)} \right)} + \cos{\left(x_{1} \right)}\right)
"[*, *, x_2, *, x_0, *, *, x_0, 0.36, x_2, x_0]",((x_2*(x_0*((x_0*0.36)*x_2)))*x_0),0.0327692814171314,-0.1136809214949607,200,not_specified,feynman,vladislavleva,x_{2} x_{0} x_{0} \cdot 0.36 x_{2} x_{0}
"[*, *, x_0, *, 0.36, *, *, x_2, 0.36, x_2, x_0]",((x_0*(0.36*((x_2*0.36)*x_2)))*x_0),0.0331354960799217,-0.1137381494045257,200,not_specified,feynman,vladislavleva,x_{0} \cdot 0.36 x_{2} \cdot 0.36 x_{2} x_{0}
"[*, sin, *, *, 0.36, *, x_0, x_0, -0.4, x_0]",(sin(((0.36*(x_0*x_0))*-0.4))*x_0),0.0302223656326532,-0.1112236604094505,200,not_specified,feynman,vladislavleva,x_{0} \sin{\left(0.36 x_{0} x_{0} \left(-0.4\right) \right)}
"[*, *, x_2, *, x_0, *, *, x_2, 0.36, x_0, x_0]",((x_2*(x_0*((x_2*0.36)*x_0)))*x_0),0.0327692814171314,-0.1136809214949607,200,not_specified,feynman,vladislavleva,x_{2} x_{0} x_{2} \cdot 0.36 x_{0} x_{0}
"[*, 0.36, *, +, cos, x_1, cos, x_0, -0.4]",(0.36*((cos(x_1)+cos(x_0))*-0.4)),0.023097300902009,-0.089262306690216,200,not_specified,feynman,vladislavleva,0.36 \left(\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)}\right) \left(-0.4\right)
