parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[exp, u-, exp, u-, u-, x_1]",exp(-(exp(-(-(x_1))))),0.0318308547139167,-0.1431171596050262,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,e^{- e^{x_{1}}}
"[exp, cos, u-, u-, u-, x_1]",exp(cos(-(-(-(x_1))))),0.0282916352152824,-0.1416416317224502,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,e^{\cos{\left(- x_{1} \right)}}
"[u-, u-, +, exp, cos, x_1, cos, x_0]",-(-((exp(cos(x_1))+cos(x_0)))),0.022930784150958,-0.1303599774837494,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,e^{\cos{\left(x_{1} \right)}} + \cos{\left(x_{0} \right)}
"[exp, u-, exp, u-, exp, x_1]",exp(-(exp(-(exp(x_1))))),0.0317982658743858,-0.1425511240959167,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,e^{- e^{- e^{x_{1}}}}
"[u-, exp, u-, u-, u-, x_1]",-(exp(-(-(-(x_1))))),0.0322852581739425,-0.143297791481018,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,- e^{- x_{1}}
"[u-, u-, +, exp, cos, x_1, cos, x_4]",-(-((exp(cos(x_1))+cos(x_4)))),0.0235004927963018,-0.1326138079166412,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,e^{\cos{\left(x_{1} \right)}} + \cos{\left(x_{4} \right)}
"[u-, u-, +, cos, u-, x_1, cos, x_0]",-(-((cos(-(x_1))+cos(x_0)))),0.023097300902009,-0.1306089758872985,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(- x_{1} \right)}
"[u-, +, u-, +, cos, x_0, cos, x_3, u-, exp, cos, x_1]",-((-((cos(x_0)+cos(x_3)))+-(exp(cos(x_1))))),0.0175664965063333,-0.1193754523992538,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,e^{\cos{\left(x_{1} \right)}} + \cos{\left(x_{0} \right)} + \cos{\left(x_{3} \right)}
"[u-, u-, +, exp, cos, x_1, exp, u-, x_0]",-(-((exp(cos(x_1))+exp(-(x_0))))),0.0273227356374263,-0.1330393105745315,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,e^{\cos{\left(x_{1} \right)}} + e^{- x_{0}}
"[u-, u-, +, exp, cos, x_1, exp, cos, x_0]",-(-((exp(cos(x_1))+exp(cos(x_0))))),0.022909702733159,-0.1291763186454773,200,not_specified,neuralnet-counts-elastic_model,vladislavleva,e^{\cos{\left(x_{0} \right)}} + e^{\cos{\left(x_{1} \right)}}
