parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[cos, x_0]",cos(x_0),0.0288155246526002,-70.30000305175781,200,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)}
[x_3],x_3,0.0339635610580444,-78.9000015258789,200,not_specified,phi,vladislavleva,x_{3}
"[cos, u-, x_1]",cos(-(x_1)),0.0284855440258979,-69.5999984741211,200,not_specified,phi,vladislavleva,\cos{\left(- x_{1} \right)}
"[/, -1.3, x_1]",(-1.3/x_1),0.0327480696141719,-78.0,200,not_specified,phi,vladislavleva,- \frac{1.3}{x_{1}}
"[/, 2.3, x_1]",(2.3/x_1),0.0327480696141719,-78.0,200,not_specified,phi,vladislavleva,\frac{2.3}{x_{1}}
"[+, cos, u-, x_1, cos, x_0]",(cos(-(x_1))+cos(x_0)),0.023097300902009,-64.5999984741211,200,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(- x_{1} \right)}
"[/, /, -, -, x_2, x_1, *, x_2, 2.3, x_2, x_1]",((((x_2-x_1)-(x_2*2.3))/x_2)/x_1),0.0319579802453517,-74.4000015258789,200,not_specified,phi,vladislavleva,\frac{- x_{1} - x_{2} \cdot 2.3 + x_{2}}{x_{1} x_{2}}
"[-, u-, cos, x_1, cos, x_0]",(-(cos(x_1))-cos(x_0)),0.023097300902009,-64.5999984741211,200,not_specified,phi,vladislavleva,- \cos{\left(x_{0} \right)} - \cos{\left(x_{1} \right)}
"[+, -, -, -, 2.3, cos, x_4, cos, x_0, cos, x_3, u-, +, cos, x_1, -1.22]",((((2.3-cos(x_4))-cos(x_0))-cos(x_3))+-((cos(x_1)+-1.22))),0.0118846902623772,-52.79999923706055,200,not_specified,phi,vladislavleva,\left(1.22 - \cos{\left(x_{1} \right)}\right) - \cos{\left(x_{0} \right)} - \cos{\left(x_{3} \right)} - \cos{\left(x_{4} \right)} + 2.3
"[+, -, -, -, 0.96, cos, x_4, cos, x_0, cos, x_3, u-, +, cos, x_1, -1.22]",((((0.96-cos(x_4))-cos(x_0))-cos(x_3))+-((cos(x_1)+-1.22))),0.0118846902623772,-52.79999923706055,200,not_specified,phi,vladislavleva,\left(1.22 - \cos{\left(x_{1} \right)}\right) - \cos{\left(x_{0} \right)} - \cos{\left(x_{3} \right)} - \cos{\left(x_{4} \right)} + 0.96
"[/, -, -, x_2, 2.3, /, x_2, x_1, x_2]",(((x_2-2.3)-(x_2/x_1))/x_2),0.0324875526130199,-75.30000305175781,200,not_specified,phi,vladislavleva,\frac{x_{2} - 2.3 - \frac{x_{2}}{x_{1}}}{x_{2}}
"[+, -, -, -, 2.3, cos, x_1, cos, x_0, cos, x_2, -, cos, exp, cos, x_4, cos, x_3]",((((2.3-cos(x_1))-cos(x_0))-cos(x_2))+(cos(exp(cos(x_4)))-cos(x_3))),0.0066552371717989,-32.20000076293945,200,not_specified,phi,vladislavleva,- \cos{\left(x_{0} \right)} - \cos{\left(x_{1} \right)} - \cos{\left(x_{2} \right)} - \cos{\left(x_{3} \right)} + \cos{\left(e^{\cos{\left(x_{4} \right)}} \right)} + 2.3
"[/, x_2, -, -, u-, x_4, *, x_2, x_2, x_6]",(x_2/((-(x_4)-(x_2*x_2))-x_6)),0.0319747291505336,-74.5999984741211,200,not_specified,phi,vladislavleva,\frac{x_{2}}{- x_{2} x_{2} - x_{4} - x_{6}}
"[-, -, -, -, 2.3, cos, x_4, cos, x_1, cos, x_0, cos, x_2]",((((2.3-cos(x_4))-cos(x_1))-cos(x_0))-cos(x_2)),0.0128415208309888,-54.400001525878906,200,not_specified,phi,vladislavleva,- \cos{\left(x_{0} \right)} - \cos{\left(x_{1} \right)} - \cos{\left(x_{2} \right)} - \cos{\left(x_{4} \right)} + 2.3
"[+, cos, x_3, +, cos, u-, x_1, cos, x_0]",(cos(x_3)+(cos(-(x_1))+cos(x_0))),0.0175953265279531,-59.59999847412109,200,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(- x_{1} \right)} + \cos{\left(x_{3} \right)}
[x_3],x_3,0.0339635610580444,-78.9000015258789,201,not_specified,phi,vladislavleva,x_{3}
"[cos, u-, x_1]",cos(-(x_1)),0.0284855440258979,-69.5999984741211,201,not_specified,phi,vladislavleva,\cos{\left(- x_{1} \right)}
"[cos, x_2]",cos(x_2),0.0285136643797159,-70.30000305175781,201,not_specified,phi,vladislavleva,\cos{\left(x_{2} \right)}
"[u-, cos, x_1]",-(cos(x_1)),0.0284855440258979,-69.5999984741211,201,not_specified,phi,vladislavleva,- \cos{\left(x_{1} \right)}
"[sin, -, -1.59, x_2]",sin((-1.59-x_2)),0.028473637998104,-69.4000015258789,201,not_specified,phi,vladislavleva,\sin{\left(- x_{2} - 1.59 \right)}
"[/, -1.59, x_1]",(-1.59/x_1),0.0327480696141719,-78.0,201,not_specified,phi,vladislavleva,- \frac{1.59}{x_{1}}
"[-, sin, -, -1.59, x_1, cos, x_0]",(sin((-1.59-x_1))-cos(x_0)),0.0230812560766935,-64.4000015258789,201,not_specified,phi,vladislavleva,\sin{\left(- x_{1} - 1.59 \right)} - \cos{\left(x_{0} \right)}
"[+, cos, x_1, cos, u-, x_0]",(cos(x_1)+cos(-(x_0))),0.023097300902009,-64.5999984741211,201,not_specified,phi,vladislavleva,\cos{\left(- x_{0} \right)} + \cos{\left(x_{1} \right)}
"[-, cos, x_4, u-, +, cos, x_1, cos, u-, x_0]",(cos(x_4)--((cos(x_1)+cos(-(x_0))))),0.0179189350455999,-58.900001525878906,201,not_specified,phi,vladislavleva,- (- \cos{\left(- x_{0} \right)} - \cos{\left(x_{1} \right)}) + \cos{\left(x_{4} \right)}
"[-, cos, x_3, u-, +, cos, u-, x_1, cos, u-, x_0]",(cos(x_3)--((cos(-(x_1))+cos(-(x_0))))),0.0175953265279531,-58.20000076293945,201,not_specified,phi,vladislavleva,- (- \cos{\left(- x_{0} \right)} - \cos{\left(- x_{1} \right)}) + \cos{\left(x_{3} \right)}
"[-, x_1, u-, /, *, -2.07, -3.18, x_1]",(x_1--(((-2.07*-3.18)/x_1))),0.0325383581221103,-75.5,201,not_specified,phi,vladislavleva,x_{1} - 2.07 \left(-3.18\right) \frac{1}{x_{1}}
"[-, /, x_1, x_0, u-, /, *, -2.07, -3.18, x_1]",((x_1/x_0)--(((-2.07*-3.18)/x_1))),0.0318308696150779,-74.5999984741211,201,not_specified,phi,vladislavleva,- \frac{\left(-3.18\right) 2.07}{x_{1}} + \frac{x_{1}}{x_{0}}
"[/, +, cos, u-, x_0, -3.18, -, -1.59, exp, +, cos, x_3, cos, x_1]",((cos(-(x_0))+-3.18)/(-1.59-exp((cos(x_3)+cos(x_1))))),0.0171529054641723,-49.20000076293945,201,not_specified,phi,vladislavleva,\frac{\cos{\left(- x_{0} \right)} - 3.18}{- e^{\cos{\left(x_{1} \right)} + \cos{\left(x_{3} \right)}} - 1.59}
"[+, cos, x_2, cos, x_0]",(cos(x_2)+cos(x_0)),0.0234678201377391,-65.30000305175781,201,not_specified,phi,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{2} \right)}
"[-, cos, -, cos, x_1, -1.07, -, -, cos, x_2, u-, cos, x_4, u-, exp, cos, x_0]",(cos((cos(x_1)--1.07))-((cos(x_2)--(cos(x_4)))--(exp(cos(x_0))))),0.0131147298961877,-40.29999923706055,201,not_specified,phi,vladislavleva,- (- \left(-1\right) e^{\cos{\left(x_{0} \right)}} + \cos{\left(x_{2} \right)} - - \cos{\left(x_{4} \right)}) + \cos{\left(\cos{\left(x_{1} \right)} - -1.07 \right)}
"[/, -4.66, x_1]",(-4.66/x_1),0.0327480696141719,-78.0,201,not_specified,phi,vladislavleva,- \frac{4.66}{x_{1}}
"[cos, x_2]",cos(x_2),0.0285136643797159,-70.30000305175781,202,not_specified,phi,vladislavleva,\cos{\left(x_{2} \right)}
[x_3],x_3,0.0339635610580444,-78.9000015258789,202,not_specified,phi,vladislavleva,x_{3}
"[u-, cos, x_1]",-(cos(x_1)),0.0284855440258979,-69.5999984741211,202,not_specified,phi,vladislavleva,- \cos{\left(x_{1} \right)}
"[+, cos, x_1, cos, x_2]",(cos(x_1)+cos(x_2)),0.0233184769749641,-65.30000305175781,202,not_specified,phi,vladislavleva,\cos{\left(x_{1} \right)} + \cos{\left(x_{2} \right)}
"[u-, +, cos, x_1, cos, x_0]",-((cos(x_1)+cos(x_0))),0.023097300902009,-64.5999984741211,202,not_specified,phi,vladislavleva,- \cos{\left(x_{0} \right)} - \cos{\left(x_{1} \right)}
"[/, +, x_1, x_0, *, x_1, x_0]",((x_1+x_0)/(x_1*x_0)),0.0318633392453193,-76.19999694824219,202,not_specified,phi,vladislavleva,\frac{x_{0} + x_{1}}{x_{0} x_{1}}
