parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[cos, x_2]",cos(x_2),0.0285136643797159,2.0,200,not_specified,size,vladislavleva,\cos{\left(x_{2} \right)}
[x_3],x_3,0.0339635610580444,1.0,200,not_specified,size,vladislavleva,x_{3}
"[exp, cos, x_1]",exp(cos(x_1)),0.0282916352152824,3.0,200,not_specified,size,vladislavleva,e^{\cos{\left(x_{1} \right)}}
"[+, cos, x_1, cos, x_0]",(cos(x_1)+cos(x_0)),0.023097300902009,5.0,200,not_specified,size,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)}
"[+, cos, x_2, +, cos, x_0, cos, x_1]",(cos(x_2)+(cos(x_0)+cos(x_1))),0.0180714055895805,8.0,200,not_specified,size,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{2} \right)}
"[-, u-, +, **3, cos, x_0, +, cos, x_3, cos, x_4, +, cos, x_1, cos, x_2]",(-(((cos(x_0))**3+(cos(x_3)+cos(x_4))))-(cos(x_1)+cos(x_2))),0.0073851868510246,16.0,200,not_specified,size,vladislavleva,- (\cos{\left(x_{1} \right)} + \cos{\left(x_{2} \right)}) - \left(\cos^{3}{\left(x_{0} \right)} + \cos{\left(x_{3} \right)} + \cos{\left(x_{4} \right)}\right)
"[u-, +, +, cos, x_1, cos, x_0, cos, x_3]",-(((cos(x_1)+cos(x_0))+cos(x_3))),0.0175953265279531,9.0,200,not_specified,size,vladislavleva,- \cos{\left(x_{0} \right)} - \cos{\left(x_{1} \right)} - \cos{\left(x_{3} \right)}
"[-, u-, +, +, cos, x_4, cos, x_0, +, cos, x_3, cos, x_2, +, cos, x_1, cos, -4.74]",(-(((cos(x_4)+cos(x_0))+(cos(x_3)+cos(x_2))))-(cos(x_1)+cos(-4.74))),0.0065526342950761,18.0,200,not_specified,size,vladislavleva,- (\cos{\left(x_{1} \right)} + \cos{\left(-4.74 \right)}) - \left(\cos{\left(x_{0} \right)} + \cos{\left(x_{2} \right)} + \cos{\left(x_{3} \right)} + \cos{\left(x_{4} \right)}\right)
"[+, cos, x_3, +, +, cos, -, x_1, -0.04, cos, x_4, cos, x_0]",(cos(x_3)+((cos((x_1--0.04))+cos(x_4))+cos(x_0))),0.0118574807420372,13.0,200,not_specified,size,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{3} \right)} + \cos{\left(x_{4} \right)} + \cos{\left(x_{1} - -0.04 \right)}
"[-, u-, +, +, cos, x_4, cos, x_2, +, cos, x_3, sqrt, -4.78, +, cos, x_1, cos, x_0]",(-(((cos(x_4)+cos(x_2))+(cos(x_3)+sqrt(abs(-4.78)))))-(cos(x_1)+cos(x_0))),0.0065526342950761,18.0,200,not_specified,size,vladislavleva,- (\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)}) - \left(\cos{\left(x_{2} \right)} + \cos{\left(x_{3} \right)} + \cos{\left(x_{4} \right)} + 2.18632111090754\right)
"[-, u-, +, +, cos, x_4, cos, x_0, +, cos, x_3, cos, x_2, sin, +, -4.74, x_1]",(-(((cos(x_4)+cos(x_0))+(cos(x_3)+cos(x_2))))-sin((-4.74+x_1))),0.0066034016199409,17.0,200,not_specified,size,vladislavleva,\left(- \cos{\left(x_{0} \right)} - \cos{\left(x_{2} \right)} - \cos{\left(x_{3} \right)} - \cos{\left(x_{4} \right)}\right) - \sin{\left(x_{1} - 4.74 \right)}
"[+, cos, x_1, +, cos, x_0, cos, x_2]",(cos(x_1)+(cos(x_0)+cos(x_2))),0.0180714055895805,8.0,200,not_specified,size,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{2} \right)}
"[+, cos, x_4, +, cos, x_0, +, cos, x_1, cos, x_3]",(cos(x_4)+(cos(x_0)+(cos(x_1)+cos(x_3)))),0.0118846902623772,11.0,200,not_specified,size,vladislavleva,\cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} + \cos{\left(x_{3} \right)} + \cos{\left(x_{4} \right)}
[x_3],x_3,0.0339635610580444,1.0,201,not_specified,size,vladislavleva,x_{3}
"[cos, x_1]",cos(x_1),0.0284855440258979,2.0,201,not_specified,size,vladislavleva,\cos{\left(x_{1} \right)}
"[exp, cos, x_1]",exp(cos(x_1)),0.0282916352152824,3.0,201,not_specified,size,vladislavleva,e^{\cos{\left(x_{1} \right)}}
"[-, cos, x_0, u-, cos, x_1]",(cos(x_0)--(cos(x_1))),0.023097300902009,6.0,201,not_specified,size,vladislavleva,\cos{\left(x_{0} \right)} - - \cos{\left(x_{1} \right)}
"[+, -, cos, x_1, exp, sin, sqrt, x_3, -, cos, x_0, cos, exp, cos, x_4]",((cos(x_1)-exp(sin(sqrt(abs(x_3)))))+(cos(x_0)-cos(exp(cos(x_4))))),0.0137469870969653,15.0,201,not_specified,size,vladislavleva,- e^{\sin{\left(\sqrt{\left|{x_{3}}\right|} \right)}} + \cos{\left(x_{0} \right)} + \cos{\left(x_{1} \right)} - \cos{\left(e^{\cos{\left(x_{4} \right)}} \right)}
"[+, -, cos, exp, log, x_2, exp, sin, /, x_4, 1.75, -, cos, x_3, u-, cos, x_1]",((cos(exp(log(abs(x_2))))-exp(sin((x_4/1.75))))+(cos(x_3)--(cos(x_1)))),0.0130752017721533,17.0,201,not_specified,size,vladislavleva,- e^{\sin{\left(\frac{x_{4}}{1.75} \right)}} - - \cos{\left(x_{1} \right)} + \cos{\left(x_{3} \right)} + \cos{\left(e^{\log{\left(\left|{x_{2}}\right| \right)}} \right)}
"[-, cos, x_3, -, u-, cos, x_1, cos, x_2]",(cos(x_3)-(-(cos(x_1))-cos(x_2))),0.0182344485074281,9.0,201,not_specified,size,vladislavleva,- (- \cos{\left(x_{1} \right)} - \cos{\left(x_{2} \right)}) + \cos{\left(x_{3} \right)}
"[-, cos, x_0, -, cos, exp, cos, x_4, cos, x_1]",(cos(x_0)-(cos(exp(cos(x_4)))-cos(x_1))),0.017961548641324,10.0,201,not_specified,size,vladislavleva,- (- \cos{\left(x_{1} \right)} + \cos{\left(e^{\cos{\left(x_{4} \right)}} \right)}) + \cos{\left(x_{0} \right)}
