parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[*, x_4, *, /, x_0, *, x_2, 2.75, x_0]",(x_4*((x_0/(x_2*2.75))*x_0)),24.44067001342773,-0.1112529560923576,200,not_specified,feynman,windspeed,\frac{x_{0} x_{0} x_{4}}{2.75 x_{2}}
"[*, 2.49, *, 2.49, +, *, x_4, -1.82, x_5]",(2.49*(2.49*((x_4*-1.82)+x_5))),22.212574005126957,-0.1068874895572662,200,not_specified,feynman,windspeed,2.49 \cdot 2.49 \left(x_{4} \left(-1.82\right) + x_{5}\right)
"[*, 4.46, *, *, x_2, *, *, x_5, 2.75, x_5, x_0]",(4.46*((x_2*((x_5*2.75)*x_5))*x_0)),24.54891586303711,-0.1139654293656349,200,not_specified,feynman,windspeed,4.46 x_{2} x_{5} \cdot 2.75 x_{5} x_{0}
"[*, x_4, *, sin, **, x_0, *, x_2, 2.75, **, *, x_1, *, x_5, x_5, x_0]",(x_4*(sin((x_0**(x_2*2.75)))*((x_1*(x_5*x_5))**x_0))),22.683353424072266,-0.1091208457946777,200,not_specified,feynman,windspeed,x_{4} \left(x_{1} x_{5} x_{5}\right)^{x_{0}} \sin{\left(x_{0}^{x_{2} \cdot 2.75} \right)}
"[*, sin, *, sin, **, x_0, x_2, sin, **, 3.22, x_2, +, *, x_4, -1.82, x_5]",(sin((sin((x_0**x_2))*sin((3.22**x_2))))*((x_4*-1.82)+x_5)),21.9847469329834,-0.1021787747740745,200,not_specified,feynman,windspeed,\left(x_{4} \left(-1.82\right) + x_{5}\right) \sin{\left(\sin{\left(3.22^{x_{2}} \right)} \sin{\left(x_{0}^{x_{2}} \right)} \right)}
"[*, 4.46, *, *, x_2, *, *, x_5, x_5, 4.46, x_0]",(4.46*((x_2*((x_5*x_5)*4.46))*x_0)),24.54891586303711,-0.1139654293656349,200,not_specified,feynman,windspeed,4.46 x_{2} x_{5} x_{5} \cdot 4.46 x_{0}
"[*, 2.49, *, +, *, x_4, -1.82, x_5, *, sin, **, 2.75, x_0, sin, **, x_0, x_2]",(2.49*(((x_4*-1.82)+x_5)*(sin((2.75**x_0))*sin((x_0**x_2))))),22.018823623657227,-0.1054777055978775,200,not_specified,feynman,windspeed,2.49 \left(x_{4} \left(-1.82\right) + x_{5}\right) \sin{\left(2.75^{x_{0}} \right)} \sin{\left(x_{0}^{x_{2}} \right)}
"[+, /, -, x_4, x_6, *, sin, sin, x_2, x_1, +, +, *, *, x_4, 2.75, 2.75, *, x_2, x_0, /, -, x_4, sin, x_3, x_2]",(((x_4-x_6)/(sin(sin(x_2))*x_1))+((((x_4*2.75)*2.75)+(x_2*x_0))+((x_4-sin(x_3))/x_2))),20.65199089050293,-0.0779280588030815,200,not_specified,feynman,windspeed,x_{0} x_{2} + x_{4} \cdot 2.75 \cdot 2.75 + \frac{x_{4} - x_{6}}{x_{1} \sin{\left(\sin{\left(x_{2} \right)} \right)}} + \frac{x_{4} - \sin{\left(x_{3} \right)}}{x_{2}}
"[sin, *, x_5, *, *, 1.4, **, x_0, x_2, **, *, x_5, -1.82, x_0]",sin((x_5*((1.4*(x_0**x_2))*((x_5*-1.82)**x_0)))),24.16608047485352,-0.1096921861171722,200,not_specified,feynman,windspeed,\sin{\left(x_{5} \cdot 1.4 x_{0}^{x_{2}} \left(x_{5} \left(-1.82\right)\right)^{x_{0}} \right)}
"[*, 4.46, *, *, x_2, *, *, x_5, 2.75, x_0, x_0]",(4.46*((x_2*((x_5*2.75)*x_0))*x_0)),24.55023956298828,-0.114376001060009,200,not_specified,feynman,windspeed,4.46 x_{2} x_{5} \cdot 2.75 x_{0} x_{0}
"[+, /, -, x_4, x_6, *, x_2, *, *, x_0, 2.75, x_4, +, sin, **, *, x_0, x_5, x_1, /, -, x_4, sin, x_3, x_2]",(((x_4-x_6)/(x_2*((x_0*2.75)*x_4)))+(sin(((x_0*x_5)**x_1))+((x_4-sin(x_3))/x_2))),20.68900489807129,-0.0803843587636947,200,not_specified,feynman,windspeed,\sin{\left(\left(x_{0} x_{5}\right)^{x_{1}} \right)} + \frac{x_{4} - x_{6}}{2.75 x_{0} x_{2} x_{4}} + \frac{x_{4} - \sin{\left(x_{3} \right)}}{x_{2}}
"[*, x_4, *, sin, **, x_0, x_2, **, *, *, x_4, x_5, *, x_0, x_0, x_1]",(x_4*(sin((x_0**x_2))*(((x_4*x_5)*(x_0*x_0))**x_1))),22.43311309814453,-0.1084161475300788,200,not_specified,feynman,windspeed,x_{4} \left(x_{0} x_{0} x_{4} x_{5}\right)^{x_{1}} \sin{\left(x_{0}^{x_{2}} \right)}
"[+, /, -, x_4, x_6, *, x_2, x_0, +, +, *, *, x_4, 2.75, 2.75, *, x_2, *, x_2, x_4, /, x_4, x_2]",(((x_4-x_6)/(x_2*x_0))+((((x_4*2.75)*2.75)+(x_2*(x_2*x_4)))+(x_4/x_2))),21.389619827270508,-0.0858336687088012,200,not_specified,feynman,windspeed,x_{2} x_{2} x_{4} + x_{4} \cdot 2.75 \cdot 2.75 + \frac{x_{4} - x_{6}}{x_{0} x_{2}} + \frac{x_{4}}{x_{2}}
