parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[u-, u-, exp, u-, u-, x_1]",-(-(exp(-(-(x_1))))),24.611242294311523,-0.143297791481018,200,not_specified,neuralnet-counts-elastic_model,windspeed,e^{x_{1}}
"[u-, exp, u-, u-, u-, x_1]",-(exp(-(-(-(x_1))))),24.611242294311523,-0.143297791481018,200,not_specified,neuralnet-counts-elastic_model,windspeed,- e^{- x_{1}}
"[u-, exp, -, x_4, **3, sin, x_6]",-(exp((x_4-(sin(x_6))**3))),21.65382194519043,-0.1316936612129211,200,not_specified,neuralnet-counts-elastic_model,windspeed,- e^{x_{4} - \sin^{3}{\left(x_{6} \right)}}
"[exp, u-, exp, exp, exp, x_3]",exp(-(exp(exp(exp(x_3))))),22.57768821716309,-0.1391618251800537,200,not_specified,neuralnet-counts-elastic_model,windspeed,e^{- e^{e^{e^{x_{3}}}}}
"[exp, u-, exp, exp, u-, x_4]",exp(-(exp(exp(-(x_4))))),22.804203033447266,-0.1409024149179458,200,not_specified,neuralnet-counts-elastic_model,windspeed,e^{- e^{e^{- x_{4}}}}
"[u-, u-, u-, cos, exp, x_4]",-(-(-(cos(exp(x_4))))),22.876310348510746,-0.1410722434520721,200,not_specified,neuralnet-counts-elastic_model,windspeed,- \cos{\left(e^{x_{4}} \right)}
"[u-, u-, u-, u-, u-, x_4]",-(-(-(-(-(x_4))))),23.15311622619629,-0.1427589952945709,200,not_specified,neuralnet-counts-elastic_model,windspeed,- x_{4}
"[exp, sin, -, x_4, **3, sin, x_6]",exp(sin((x_4-(sin(x_6))**3))),21.526464462280277,-0.1297414153814315,200,not_specified,neuralnet-counts-elastic_model,windspeed,e^{\sin{\left(x_{4} - \sin^{3}{\left(x_{6} \right)} \right)}}
"[u-, u-, exp, u-, **, x_6, x_4]",-(-(exp(-((x_6**x_4))))),22.02663230895996,-0.1358600258827209,200,not_specified,neuralnet-counts-elastic_model,windspeed,e^{- x_{6}^{x_{4}}}
"[-, u-, exp, sin, -, x_4, x_6, u-, cos, exp, x_4]",(-(exp(sin((x_4-x_6))))--(cos(exp(x_4)))),21.220518112182617,-0.119899109005928,200,not_specified,neuralnet-counts-elastic_model,windspeed,- e^{\sin{\left(x_{4} - x_{6} \right)}} - - \cos{\left(e^{x_{4}} \right)}
"[exp, exp, **3, exp, u-, x_3]",exp(exp((exp(-(x_3)))**3)),22.536909103393555,-0.1376967132091522,200,not_specified,neuralnet-counts-elastic_model,windspeed,e^{e^{\left(e^{- x_{3}}\right)^{3}}}
"[-, u-, exp, sin, x_4, +, -, x_4, x_6, **3, sin, **, x_1, x_3]",(-(exp(sin(x_4)))-((x_4-x_6)+(sin((x_1**x_3)))**3)),20.347877502441406,-0.1080629080533981,200,not_specified,neuralnet-counts-elastic_model,windspeed,- (x_{4} - x_{6} + \sin^{3}{\left(x_{1}^{x_{3}} \right)}) - e^{\sin{\left(x_{4} \right)}}
"[-, u-, exp, sin, -, x_4, x_6, exp, sin, sin, sin, x_4]",(-(exp(sin((x_4-x_6))))-exp(sin(sin(sin(x_4))))),21.176937103271484,-0.1175901144742965,200,not_specified,neuralnet-counts-elastic_model,windspeed,- e^{\sin{\left(x_{4} - x_{6} \right)}} - e^{\sin{\left(\sin{\left(\sin{\left(x_{4} \right)} \right)} \right)}}
"[-, u-, -, x_4, **3, sin, x_6, sin, **, x_0, x_3]",(-((x_4-(sin(x_6))**3))-sin((x_0**x_3))),20.38298225402832,-0.110494926571846,200,not_specified,neuralnet-counts-elastic_model,windspeed,\left(- x_{4} + \sin^{3}{\left(x_{6} \right)}\right) - \sin{\left(x_{0}^{x_{3}} \right)}
"[u-, exp, u-, exp, **, x_6, x_4]",-(exp(-(exp((x_6**x_4))))),22.01519012451172,-0.1349984407424926,200,not_specified,neuralnet-counts-elastic_model,windspeed,- e^{- e^{x_{6}^{x_{4}}}}
"[exp, sin, exp, u-, **, x_6, x_4]",exp(sin(exp(-((x_6**x_4))))),22.004283905029297,-0.1331309378147125,200,not_specified,neuralnet-counts-elastic_model,windspeed,e^{\sin{\left(e^{- x_{6}^{x_{4}}} \right)}}
