parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
[x_4],x_4,23.15311622619629,1.0,200,not_specified,size,windspeed,x_{4}
"[exp, x_4]",exp(x_4),22.94882202148437,2.0,200,not_specified,size,windspeed,e^{x_{4}}
"[-, x_4, x_6]",(x_4-x_6),22.26861572265625,3.0,200,not_specified,size,windspeed,x_{4} - x_{6}
"[-, +, u-, -, x_4, x_6, cos, **, x_1, x_3, **, **2, sqrt, x_5, **, **3, x_2, sin, x_4]",((-((x_4-x_6))+cos((x_1**x_3)))-((sqrt(abs(x_5)))**2**((x_2)**3**sin(x_4)))),20.10643768310547,19.0,200,not_specified,size,windspeed,\left(- x_{4} + x_{6}\right) - \left(\sqrt{\left|{x_{5}}\right|}\right)^{2^{x_{2}^{3^{\sin{\left(x_{4} \right)}}}}} + \cos{\left(x_{1}^{x_{3}} \right)}
"[+, x_4, -, x_4, x_6]",(x_4+(x_4-x_6)),21.78754425048828,5.0,200,not_specified,size,windspeed,x_{4} + x_{4} - x_{6}
"[-, sin, x_3, -, x_4, x_6]",(sin(x_3)-(x_4-x_6)),21.516834259033203,6.0,200,not_specified,size,windspeed,- (x_{4} - x_{6}) + \sin{\left(x_{3} \right)}
"[sin, -, -, x_4, x_6, sin, x_3]",sin(((x_4-x_6)-sin(x_3))),21.21760368347168,7.0,200,not_specified,size,windspeed,\sin{\left(x_{4} - x_{6} - \sin{\left(x_{3} \right)} \right)}
"[-, cos, **, exp, +, -4.19, x_1, x_3, **, sin, x_6, **, **3, x_6, sin, x_4]",(cos((exp((-4.19+x_1))**x_3))-(sin(x_6)**((x_6)**3**sin(x_4)))),20.22624969482422,16.0,200,not_specified,size,windspeed,- \sin^{x_{6}^{3^{\sin{\left(x_{4} \right)}}}}{\left(x_{6} \right)} + \cos{\left(\left(e^{x_{1} - 4.19}\right)^{x_{3}} \right)}
"[-, +, u-, -, x_4, x_6, cos, **, x_1, x_3, +, **2, sqrt, x_4, x_4]",((-((x_4-x_6))+cos((x_1**x_3)))-((sqrt(abs(x_4)))**2+x_4)),20.393186569213867,15.0,200,not_specified,size,windspeed,\left(- x_{4} + x_{6}\right) - \left(x_{4} + \left(\sqrt{\left|{x_{4}}\right|}\right)^{2}\right) + \cos{\left(x_{1}^{x_{3}} \right)}
"[-, cos, **, x_1, x_3, +, x_4, x_2]",(cos((x_1**x_3))-(x_4+x_2)),21.18667221069336,8.0,200,not_specified,size,windspeed,- (x_{2} + x_{4}) + \cos{\left(x_{1}^{x_{3}} \right)}
