Formula,Complexified_formula,Latex_formula,Latex_complexified_formula
"/,exp,/,u-,**,x_0,2,2,sqrt,*,2,3.141592653589793","[/, exp, /, u-, **, x_0, 2.0, 2.0, sqrt, *, 2.0, -, -, x_4, x_1, +, x_6, x_3]",\frac{e^{\frac{\left(-1\right) x_{0}^{2.0}}{2.0}}}{\sqrt{2.0 \pi}},\frac{e^{\frac{\left(-1\right) x_{0}^{2.0}}{2.0}}}{\sqrt{\left|{2.0 x_{1} + 2.0 x_{3} - 2.0 x_{4} + 2.0 x_{6}}\right|}}
"sqrt,+,**,-,x_1,x_0,2,**,-,x_3,x_2,2","[sqrt, +, **, -, x_1, x_0, 2.0, **, -, x_3, x_2, *, sqrt, x_2, -, x_3, x_1]",\sqrt{\left|{\left(- x_{0} + x_{1}\right)^{2.0} + \left(- x_{2} + x_{3}\right)^{2.0}}\right|},\sqrt{\left|{\left(- x_{0} + x_{1}\right)^{2.0} + \left(- x_{2} + x_{3}\right)^{\left(- x_{1} + x_{3}\right) \sqrt{\left|{x_{2}}\right|}}}\right|}
"/,x_0,sqrt,-,1,/,**,x_1,2,**,x_2,2","[/, x_0, sqrt, -, 1.0, /, **, x_1, 2.0, **, x_1, 2.0]",\frac{x_{0}}{\sqrt{\left|{\frac{x_{1}^{2.0}}{x_{2}^{2.0}} - 1.0}\right|}},\frac{x_{0}}{\sqrt{0}}
"+,+,*,x_0,x_3,*,x_1,x_4,*,x_2,x_5","[+, +, *, x_0, x_3, *, x_1, x_4, *, exp, **2, /, x_6, x_6, x_5]",x_{0} x_{3} + x_{1} x_{4} + x_{2} x_{5},x_{0} x_{3} + x_{1} x_{4} + x_{5} e^{\left(\frac{x_{6}}{x_{6}}\right)^{2}}
"*,x_0,x_1","[**2, -, u-, sin, exp, x_0, sqrt, x_4]",x_{0} x_{1},\left(- \sin{\left(e^{x_{0}} \right)} - \sqrt{\left|{x_{4}}\right|}\right)^{2}
"/,*,*,x_0,x_1,x_3,*,*,*,4,3.141592653589793,x_2,**,x_3,3","[/, *, *, x_0, x_1, x_3, *, *, *, 4.0, **2, x_2, x_2, **, x_3, 3.0]",\frac{x_{0} x_{1} x_{3}}{4.0 \pi x_{2} x_{3}^{3.0}},\frac{x_{0} x_{1} x_{3}}{4.0 x_{2} x_{2}^{2} x_{3}^{3.0}}
"/,*,x_0,x_2,*,*,*,4,3.141592653589793,x_1,**,x_2,3","[/, *, /, +, cos, x_3, x_2, **2, **2, x_0, x_2, *, *, *, 4.0, 3.141592653589793, x_1, **, x_2, 3.0]",\frac{x_{0} x_{2}}{4.0 \pi x_{1} x_{2}^{3.0}},\frac{x_{2} \left(x_{2} + \cos{\left(x_{3} \right)}\right)}{4.0 \pi x_{1} x_{2}^{3.0} \left(x_{0}^{2}\right)^{2}}
"*,x_0,x_1","[**2, **2, sqrt, +, u-, x_6, -1.609702089512993]",x_{0} x_{1},\left(\left(\sqrt{\left|{x_{6} + 1.609702089512993}\right|}\right)^{2}\right)^{2}
"*,x_0,+,x_1,*,*,x_2,x_3,sin,x_4","[*, x_0, +, x_1, **3, /, *, x_0, x_4, x_1]",x_{0} \left(x_{1} + x_{2} x_{3} \sin{\left(x_{4} \right)}\right),x_{0} \left(x_{1} + \left(\frac{x_{0} x_{4}}{x_{1}}\right)^{3}\right)
"*,*,/,1,2,x_0,+,+,**,x_1,2,**,x_2,2,**,x_3,2","[*, *, /, 1.0, 2.0, x_0, +, +, **, x_1, 2.0, **, x_2, 2.0, /, /, *, x_0, x_2, x_5, *, -, x_0, 0.7690388462635909, 3.64167565071903]",\frac{1.0 x_{0} \left(x_{1}^{2.0} + x_{2}^{2.0} + x_{3}^{2.0}\right)}{2.0},\frac{1.0 x_{0} \left(\frac{x_{0} x_{2}}{x_{5} \left(x_{0} - 0.7690388462635909\right) 3.64167565071903} + x_{1}^{2.0} + x_{2}^{2.0}\right)}{2.0}
