Formula,Complexified_formula,Latex_formula,Latex_complexified_formula
"*,x_0,x_1","[**3, max, /, **3, log, -4.99, log, x_2, /, log, x_2, **3, x_2]",x_{0} x_{1},"\max\left(\frac{\log{\left(\left|{x_{2}}\right| \right)}}{x_{2}^{3}}, \frac{\log{\left(4.99 \right)}^{3}}{\log{\left(\left|{x_{2}}\right| \right)}}\right)^{3}"
"*,x_0,x_1","[*, x_0, -, /, /, x_1, -1.09, -, x_1, log, x_2, max, **3, x_0, /, x_2, x_0]",x_{0} x_{1},"x_{0} \left(\frac{x_{1}}{\left(-1\right) 1.09 \left(x_{1} - \log{\left(\left|{x_{2}}\right| \right)}\right)} - \max\left(x_{0}^{3}, \frac{x_{2}}{x_{0}}\right)\right)"
"*,*,x_0,x_1,x_2","[*, *, *, +, /, -1.69, x_1, log, x_0, *, max, x_2, x_2, *, x_2, x_0, x_1, x_2]",x_{0} x_{1} x_{2},x_{0} x_{1} x_{2} x_{2} x_{2} \left(\log{\left(\left|{x_{0}}\right| \right)} - \frac{1.69}{x_{1}}\right)
"/,x_0,x_1","[/, x_0, **3, **3, log, log, x_1]",\frac{x_{0}}{x_{1}},\frac{x_{0}}{\left(\log{\left(\left|{\log{\left(\left|{x_{1}}\right| \right)}}\right| \right)}^{3}\right)^{3}}
"/,1,+,/,1,x_0,/,x_2,x_1","[/, 1.0, +, /, 1.0, x_0, /, x_2, log, /, x_1, x_0]",\frac{1.0}{\frac{x_{2}}{x_{1}} + \frac{1.0}{x_{0}}},\frac{1.0}{\frac{x_{2}}{\log{\left(\left|{\frac{x_{1}}{x_{0}}}\right| \right)}} + \frac{1.0}{x_{0}}}
"/,x_0,x_1","[+, *, *, *, x_0, x_1, -, 2.12, -, x_2, x_0, **3, max, *, x_1, -1.32, x_2, /, *, *, /, 1.45, 4.41, +, x_0, x_2, max, +, x_0, -2.58, *, x_0, -1.51, log, *, /, 0.81, x_2, x_1]",\frac{x_{0}}{x_{1}},"x_{0} x_{1} \cdot \left(2.12 - \left(- x_{0} + x_{2}\right)\right) \max\left(x_{2}, x_{1} \left(-1.32\right)\right)^{3} + \frac{1.45 \left(x_{0} + x_{2}\right) \max\left(x_{0} \left(-1.51\right), x_{0} - 2.58\right)}{4.41 \log{\left(0.81 \left|{\frac{x_{1}}{x_{2}}}\right| \right)}}"
"/,x_2,-,1,/,x_1,x_0","[/, x_2, +, x_1, max, /, log, x_1, *, x_0, 0.03, /, x_2, 2.69]",\frac{x_{2}}{1.0 - \frac{x_{1}}{x_{0}}},"\frac{x_{2}}{x_{1} + \max\left(\frac{x_{2}}{2.69}, \frac{\log{\left(\left|{x_{1}}\right| \right)}}{0.03 x_{0}}\right)}"
"*,/,x_1,*,2,3.14,x_0","[*, /, x_1, *, 2.0, *, **3, x_0, /, x_0, x_0, x_0]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14},\frac{x_{0} x_{1}}{2.0 \cdot \frac{1}{x_{0}} x_{0} x_{0}^{3}}
"*,*,/,3,2,x_0,x_1","[*, *, /, max, log, -4.03, max, x_1, -1.77, 2.0, x_0, x_1]",\frac{3.0 x_{0} x_{1}}{2.0},"\frac{x_{0} x_{1} \max\left(x_{1}, \log{\left(4.03 \right)}\right)}{2.0}"
"*,*,/,1,-,x_0,1,x_1,x_2","[max, *, /, **3, x_1, max, max, x_2, x_2, -, -4.69, x_2, +, /, x_0, x_2, **3, *, x_2, x_1, **3, /, x_0, log, **3, x_0]",\frac{1.0 x_{1} x_{2}}{x_{0} - 1.0},"\max\left(\left(\frac{x_{0}}{\log{\left(\left|{x_{0}^{3}}\right| \right)}}\right)^{3}, \frac{x_{1}^{3} \left(\frac{x_{0}}{x_{2}} + \left(x_{1} x_{2}\right)^{3}\right)}{\max\left(x_{2}, - x_{2} - 4.69\right)}\right)"
"*,*,x_0,x_2,x_1","[*, *, x_0, max, *, x_1, x_1, /, **3, x_0, -, x_0, 3.87, x_1]",x_{0} x_{1} x_{2},"x_{0} x_{1} \max\left(\frac{x_{0}^{3}}{x_{0} - 3.87}, x_{1} x_{1}\right)"
"/,x_0,*,*,*,4,3.14,x_1,x_2","[/, x_0, **3, max, *, *, x_0, x_2, x_0, **3, x_1]",\frac{x_{0}}{3.14 \cdot 4.0 x_{1} x_{2}},"\frac{x_{0}}{\max\left(x_{1}^{3}, x_{0} x_{0} x_{2}\right)^{3}}"
"/,*,/,x_0,x_1,1,+,1,x_2","[+, -, +, -, /, x_0, x_1, *, 4.91, x_0, log, x_2, +, /, x_2, x_0, x_2, /, **3, /, max, x_2, x_1, -, x_2, x_2, -, log, -, x_2, x_0, **3, max, x_0, x_1]",x_{0} \cdot \frac{1}{x_{1}} \cdot 1.0 \cdot \frac{1}{x_{2} + 1.0},"- 4.91 x_{0} + \frac{x_{0}}{x_{1}} + \frac{\left(\frac{\max\left(x_{1}, x_{2}\right)}{- x_{2} + x_{2}}\right)^{3}}{\log{\left(\left|{x_{0} - x_{2}}\right| \right)} - \max\left(x_{0}, x_{1}\right)^{3}} - \left(x_{2} + \frac{x_{2}}{x_{0}}\right) + \log{\left(\left|{x_{2}}\right| \right)}"
"+,1,/,*,x_0,x_1,-,1,/,*,x_0,x_1,3","[+, 1.0, /, *, x_0, x_1, -, max, max, x_0, -4.89, **3, x_2, /, *, x_0, x_1, 3.0]",\frac{x_{0} x_{1}}{1.0 - \frac{x_{0} x_{1}}{3.0}} + 1.0,"\frac{x_{0} x_{1}}{- \frac{x_{0} x_{1}}{3.0} + \max\left(-4.89, x_{0}, x_{2}^{3}\right)} + 1.0"
"/,*,x_0,x_1,*,*,2,3.14,x_2","[+, +, /, max, *, 4.19, 0.54, x_0, **3, x_2, log, -, x_1, x_0, log, **3, **3, x_1]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14 x_{2}},"\log{\left(\left|{x_{0} - x_{1}}\right| \right)} + \log{\left(\left|{\left(x_{1}^{3}\right)^{3}}\right| \right)} + \frac{\max\left(4.19 \cdot 0.54, x_{0}\right)}{x_{2}^{3}}"
"/,*,*,x_0,x_1,x_2,2","[/, -, *, x_0, max, max, x_2, x_0, x_2, log, **3, **3, x_1, 2.0]",\frac{x_{0} x_{1} x_{2}}{2.0},"\frac{x_{0} \max\left(x_{0}, x_{2}\right) - \log{\left(\left|{\left(x_{1}^{3}\right)^{3}}\right| \right)}}{2.0}"
"/,*,x_0,x_1,*,*,4,3.14,x_2","[/, log, /, -, x_1, *, 0.2, 3.16, +, max, x_0, x_2, -2.87, *, *, 4.0, 3.14, x_2]",\frac{x_{0} x_{1}}{3.14 \cdot 4.0 x_{2}},"\frac{\log{\left(\left|{\frac{x_{1} - 0.632}{\max\left(x_{0}, x_{2}\right) - 2.87}}\right| \right)}}{3.14 \cdot 4.0 x_{2}}"
"*,*,x_0,+,1,x_2,x_1","[*, *, x_0, +, 1.0, x_2, max, /, max, *, x_0, -3.53, /, x_1, x_1, *, x_2, 0.85, +, **3, *, x_0, x_1, x_0]",x_{0} x_{1} \left(x_{2} + 1.0\right),"x_{0} \left(x_{2} + 1.0\right) \max\left(\frac{\max\left(x_{0} \left(-3.53\right), \frac{x_{1}}{x_{1}}\right)}{0.85 x_{2}}, x_{0} + \left(x_{0} x_{1}\right)^{3}\right)"
"/,x_0,*,2,+,1,x_1","[-, *, +, *, x_1, x_2, x_2, /, **3, x_2, log, x_1, max, /, max, +, 3.91, x_1, x_2, max, x_2, -1.21, *, +, x_1, x_2, max, x_2, max, 3.97, 4.69]",\frac{x_{0}}{2.0 \left(x_{1} + 1.0\right)},"\frac{x_{2}^{3} \left(x_{1} x_{2} + x_{2}\right)}{\log{\left(\left|{x_{1}}\right| \right)}} - \max\left(\left(x_{1} + x_{2}\right) \max\left(4.69, x_{2}\right), \frac{\max\left(x_{2}, x_{1} + 3.91\right)}{\max\left(-1.21, x_{2}\right)}\right)"
"/,*,*,2,x_0,x_1,/,x_2,*,2,3.14","[/, *, *, 2.0, x_0, log, max, **3, x_1, /, x_0, x_0, /, x_2, *, 2.0, 3.14]",\frac{2.0 x_{0} x_{1}}{x_{2} \cdot \frac{1}{2.0 \cdot 3.14}},"\frac{2.0 x_{0} \log{\left(\left|{\max\left(x_{1}^{3}, \frac{x_{0}}{x_{0}}\right)}\right| \right)}}{x_{2} \cdot \frac{1}{2.0 \cdot 3.14}}"
"*,x_0,/,x_1,*,2,3.14","[*, x_0, *, *, -, -, x_1, x_2, *, x_1, x_1, /, 4.65, x_2, log, *, x_1, x_2]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14},x_{0} \left(- x_{1} x_{1} + x_{1} - x_{2}\right) 4.65 \cdot \frac{1}{x_{2}} \log{\left(\left|{x_{1} x_{2}}\right| \right)}
"/,*,*,2,3.14,x_0,*,x_1,x_2","[/, *, *, 2.0, 3.14, **3, max, **3, x_2, +, x_2, x_0, *, x_1, x_2]",2.0 \cdot 3.14 x_{0} \cdot \frac{1}{x_{1} x_{2}},"2.0 \cdot 3.14 \max\left(x_{2}^{3}, x_{0} + x_{2}\right)^{3} \cdot \frac{1}{x_{1} x_{2}}"
